id	taxon	trait	dstate	value	units	country	state	created.by	created.date
66	Aspidotis californica	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
67	Aspidotis carlotta-halliae	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
68	Aspidotis densa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
69	Astrolepis cochisensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
70	Cheilanthes clevelandii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
71	Cheilanthes cooperae	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
72	Cheilanthes covillei	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
73	Cheilanthes feei	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
74	Cheilanthes gracillima	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
75	Cheilanthes intertexta	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
76	Cheilanthes newberryi	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
77	Cheilanthes parryi	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
78	Cheilanthes viscida	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
79	Cheilanthes wootonii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
80	Cryptogramma acrostichoides	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
81	Cryptogramma cascadensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
82	Notholaena californica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
83	Pellaea andromedifolia	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
84	Pellaea brachyptera	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
85	Pellaea breweri	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
86	Pellaea bridgesii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
87	Pellaea mucronata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
88	Pellaea mucronata var. californica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
89	Pellaea mucronata var. mucronata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
90	Pellaea truncata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
91	Pentagramma pallida	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
92	Pentagramma triangularis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
93	Pentagramma triangularis ssp. maxonii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
94	Pentagramma triangularis ssp. triangularis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
95	Pentagramma triangularis ssp. viscosa	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
96	Pteris cretica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
97	Pteris tremula	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
98	Pteris vittata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
99	Selaginella asprella	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
100	Selaginella bigelovii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
101	Selaginella cinerascens	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
102	Selaginella densa var. scopulorum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
103	Selaginella eremophila	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
104	Selaginella hansenii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
105	Selaginella leucobryoides	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
106	Selaginella oregana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
107	Selaginella wallacei	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
108	Selaginella watsonii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
109	Thelypteris nevadensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
110	Thelypteris puberula var. sonorensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
111	Calocedrus decurrens	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
112	Cupressus abramsiana	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
113	Cupressus arizonica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
114	Cupressus arizonica ssp. arizonica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
115	Cupressus arizonica ssp. nevadensis	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
116	Cupressus bakeri	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
117	Cupressus forbesii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
118	Cupressus goveniana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
119	Cupressus goveniana ssp. goveniana	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
120	Cupressus goveniana ssp. pygmaea	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
121	Cupressus lawsoniana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
122	Cupressus macnabiana	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
123	Cupressus macrocarpa	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
124	Cupressus nootkatensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
125	Cupressus sargentii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
126	Juniperus californica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
127	Juniperus communis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
128	Juniperus occidentalis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
129	Juniperus occidentalis var. australis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
130	Juniperus occidentalis var. occidentalis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
131	Juniperus osteosperma	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
132	Thuja plicata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
133	Ephedra aspera	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
134	Ephedra californica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
135	Ephedra fasciculata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
136	Ephedra fasciculata var. clokeyi	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
137	Ephedra fasciculata var. fasciculata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
138	Ephedra funerea	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
139	Ephedra nevadensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
140	Ephedra trifurca	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
141	Ephedra viridis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
142	Abies amabilis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
143	Abies bracteata	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
144	Abies concolor	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
145	Abies grandis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
146	Abies lasiocarpa var. lasiocarpa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
147	Abies magnifica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
148	Abies magnifica var. magnifica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
149	Abies magnifica var. shastensis	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
150	Abies procera	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
151	Picea breweriana	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
152	Picea engelmannii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
153	Picea sitchensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
154	Pinus albicaulis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
155	Pinus attenuata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
156	Pinus balfouriana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
157	Pinus balfouriana ssp. austrina	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
158	Pinus balfouriana ssp. balfouriana	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
159	Pinus contorta	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
160	Pinus contorta ssp. bolanderi	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
161	Pinus contorta ssp. contorta	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
162	Pinus contorta ssp. murrayana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
163	Pinus coulteri	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
164	Pinus edulis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
165	Pinus flexilis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
166	Pinus jeffreyi	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
167	Pinus lambertiana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
168	Pinus longaeva	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
169	Pinus monophylla	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
170	Pinus monticola	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
171	Pinus muricata	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
172	Pinus ponderosa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
173	Pinus quadrifolia	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
174	Pinus radiata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
175	Pinus sabiniana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
176	Pinus torreyana	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
177	Pinus washoensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
178	Pseudotsuga macrocarpa	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
179	Pseudotsuga menziesii var. menziesii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
180	Tsuga heterophylla	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
181	Tsuga mertensiana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
182	Taxus brevifolia	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
183	Torreya californica	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
184	Sequoia sempervirens	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
185	Sequoiadendron giganteum	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
186	Carlowrightia arizonica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
187	Justicia californica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
188	Acer circinatum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
189	Acer glabrum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
190	Acer glabrum var. diffusum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
191	Acer glabrum var. greenei	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
192	Acer glabrum var. torreyi	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
193	Acer macrophyllum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
194	Acer negundo var. californicum	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
195	Aptenia cordifolia	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
196	Carpobrotus chilensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
197	Carpobrotus edulis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
198	Conicosia pugioniformis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
199	Cypselea humifusa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
200	Delosperma litorale	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
201	Drosanthemum floribundum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
202	Malephora crocea	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
203	Mesembryanthemum crystallinum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
204	Mesembryanthemum nodiflorum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
205	Sesuvium verrucosum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
206	Tetragonia tetragonioides	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
207	Trianthema portulacastrum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
208	Alternanthera caracasana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
209	Alternanthera philoxeroides	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
210	Amaranthus albus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
211	Amaranthus arenicola	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
212	Amaranthus blitoides	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
213	Amaranthus californicus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
214	Amaranthus caudatus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
215	Amaranthus cruentus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
216	Amaranthus deflexus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
217	Amaranthus fimbriatus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
218	Amaranthus hybridus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
219	Amaranthus palmeri	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
220	Amaranthus powellii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
221	Amaranthus retroflexus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
222	Amaranthus spinosus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
223	Amaranthus torreyi	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
224	Amaranthus watsonii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
225	Guilleminea densa var. aggregata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
226	Tidestromia lanuginosa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
227	Tidestromia oblongifolia	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
228	Malosma laurina	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
229	Pistacia atlantica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
230	Rhus integrifolia	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
231	Rhus ovata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
232	Rhus trilobata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
233	Schinus molle	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
234	Schinus terebinthifolius	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
235	Toxicodendron diversilobum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
236	Ammi majus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
237	Ammi visnaga	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
238	Ammoselinum giganteum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
