id	taxon	trait	dstate	value	units	country	state	created.by	created.date
2197	Streptanthus insignis ssp. lyonii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2198	Streptanthus morrisonii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2199	Streptanthus niger	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2200	Streptanthus oliganthus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2201	Streptanthus polygaloides	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2202	Streptanthus tortuosus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2203	Streptanthus tortuosus var. flavescens	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2204	Streptanthus tortuosus var. orbiculatus	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2205	Streptanthus tortuosus var. suffrutescens	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2206	Streptanthus tortuosus var. tortuosus	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2207	Subularia aquatica var. americana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2208	Teesdalia coronopifolia	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2209	Thelypodium brachycarpum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2210	Thelypodium crispum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2211	Thelypodium flexuosum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2212	Thelypodium howellii ssp. howellii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2213	Thelypodium integrifolium	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2214	Thelypodium integrifolium ssp. affine	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2215	Thelypodium integrifolium ssp. complanatum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2216	Thelypodium laciniatum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2217	Thelypodium milleflorum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2218	Thelypodium stenopetalum	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2219	Thlaspi arvense	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2220	Thlaspi californicum	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2221	Thlaspi montanum var. montanum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2222	Thysanocarpus conchuliferus	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2223	Thysanocarpus curvipes	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2224	Thysanocarpus laciniatus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2225	Thysanocarpus radians	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2226	Tropidocarpum capparideum	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2227	Tropidocarpum gracile	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2228	Buddleja davidii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2229	Buddleja saligna	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2230	Buddleja utahensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2231	Bursera microphylla	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2232	Brasenia schreberi	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2233	Bergerocactus emoryi	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2234	Carnegiea gigantea	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2235	Echinocactus polycephalus var. polycephalus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2236	Echinocereus engelmannii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2237	Echinocereus triglochidiatus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2238	Escobaria vivipara	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2239	Escobaria vivipara var. alversonii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2240	Escobaria vivipara var. deserti	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2241	Escobaria vivipara var. rosea	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2242	Ferocactus cylindraceus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2243	Ferocactus cylindraceus var. cylindraceus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2244	Ferocactus cylindraceus var. lecontei	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2245	Ferocactus viridescens	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2246	Mammillaria dioica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2247	Mammillaria grahamii var. grahamii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2248	Mammillaria tetrancistra	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2249	Opuntia acanthocarpa var. coloradensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2250	Opuntia basilaris	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2251	Opuntia basilaris var. basilaris	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2252	Opuntia basilaris var. brachyclada	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2253	Opuntia basilaris var. treleasei	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2254	Opuntia bigelovii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2255	Opuntia chlorotica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2256	Opuntia echinocarpa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2257	Opuntia engelmannii var. engelmannii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2258	Opuntia erinacea	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2259	Opuntia erinacea var. erinacea	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2260	Opuntia erinacea var. utahensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2261	Opuntia ficus-indica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2262	Opuntia X-fosbergii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2263	Opuntia fragilis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2264	Opuntia littoralis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2265	Opuntia X-munzii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2266	Opuntia X-occidentalis	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2267	Opuntia oricola	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2268	Opuntia parishii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2269	Opuntia parryi	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2270	Opuntia phaeacantha	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2271	Opuntia prolifera	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2272	Opuntia pulchella	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2273	Opuntia ramosissima	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2274	Opuntia X-vaseyi	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2275	Opuntia wolfii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2276	Sclerocactus johnsonii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2277	Sclerocactus polyancistrus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2278	Callitriche hermaphroditica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2279	Callitriche heterophylla	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2280	Callitriche heterophylla var. bolanderi	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2281	Callitriche heterophylla var. heterophylla	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2282	Callitriche marginata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2283	Callitriche stagnalis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2284	Callitriche trochlearis	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2285	Callitriche verna	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2286	Calycanthus occidentalis	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2287	Campanula angustiflora	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2288	Campanula californica	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2289	Campanula exigua	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2290	Campanula griffinii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2291	Campanula prenanthoides	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2292	Campanula rotundifolia	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2293	Campanula scabrella	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2294	Campanula scouleri	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2295	Campanula sharsmithiae	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2296	Campanula shetleri	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2297	Campanula wilkinsiana	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2298	Downingia bacigalupii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2299	Downingia bella	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2300	Downingia bicornuta	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2301	Downingia bicornuta var. bicornuta	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2302	Downingia bicornuta var. picta	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2303	Downingia concolor	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2304	Downingia concolor var. brevior	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2305	Downingia concolor var. concolor	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2306	Downingia cuspidata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2307	Downingia elegans	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2308	Downingia insignis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2309	Downingia laeta	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2310	Downingia montana	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2311	Downingia ornatissima	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2312	Downingia ornatissima var. eximia	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2313	Downingia ornatissima var. ornatissima	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2314	Downingia pulchella	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2315	Downingia pusilla	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2316	Downingia yina	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2317	Githopsis diffusa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2318	Githopsis diffusa ssp. candida	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2319	Githopsis diffusa ssp. diffusa	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2320	Githopsis diffusa ssp. filicaulis	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2321	Githopsis diffusa ssp. robusta	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2322	Githopsis pulchella	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2323	Githopsis pulchella ssp. campestris	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2324	Githopsis pulchella ssp. pulchella	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2325	Githopsis pulchella ssp. serpentinicola	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2326	Githopsis specularioides	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2327	Githopsis tenella	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2328	Heterocodon rariflorum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2329	Legenere limosa	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2330	Lobelia cardinalis var. pseudosplendens	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2331	Lobelia dunnii var. serrata	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2332	Nemacladus capillaris	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2333	Nemacladus glanduliferus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2334	Nemacladus glanduliferus var. glanduliferus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2335	Nemacladus glanduliferus var. orientalis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2336	Nemacladus gracilis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2337	Nemacladus interior	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2338	Nemacladus longiflorus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2339	Nemacladus longiflorus var. breviflorus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2340	Nemacladus longiflorus var. longiflorus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2341	Nemacladus montanus	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2342	Nemacladus pinnatifidus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2343	Nemacladus ramosissimus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2344	Nemacladus rigidus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2345	Nemacladus rubescens	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2346	Nemacladus secundiflorus	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2347	Nemacladus sigmoideus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2348	Nemacladus twisselmannii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2349	Parishella californica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2350	Porterella carnosula	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2351	Triodanis biflora	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2352	Triodanis perfoliata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2353	Cannabis sativa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2354	Humulus lupulus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2355	Cleome lutea	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2356	Cleome platycarpa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2357	Cleome serrulata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2358	Cleome sparsifolia	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2359	Cleomella brevipes	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2360	Cleomella obtusifolia	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2361	Cleomella parviflora	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2362	Cleomella plocasperma	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2363	Isomeris arborea	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2364	Oxystylis lutea	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2365	Polanisia dodecandra ssp. trachysperma	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2366	Wislizenia refracta	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2367	Wislizenia refracta ssp. californica	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2368	Wislizenia refracta ssp. palmeri	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2369	Wislizenia refracta ssp. refracta	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2370	Linnaea borealis var. longiflora	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2371	Lonicera cauriana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2372	Lonicera ciliosa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2373	Lonicera conjugialis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2374	Lonicera etrusca	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2375	Lonicera hispidula var. vacillans	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2376	Lonicera interrupta	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2377	Lonicera involucrata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2378	Lonicera involucrata var. involucrata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2379	Lonicera involucrata var. ledebourii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2380	Lonicera japonica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2381	Lonicera subspicata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2382	Lonicera subspicata var. denudata	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2383	Lonicera subspicata var. subspicata	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2384	Lonicera tatarica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2385	Sambucus melanocarpa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2386	Sambucus mexicana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2387	Sambucus racemosa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2388	Sambucus racemosa var. microbotrys	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2389	Sambucus racemosa var. racemosa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2390	Symphoricarpos albus var. laevigatus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2391	Symphoricarpos longiflorus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2392	Symphoricarpos mollis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2393	Symphoricarpos rotundifolius	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2394	Symphoricarpos rotundifolius var. parishii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2395	Symphoricarpos rotundifolius var. rotundifolius	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2396	Viburnum ellipticum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2397	Achyronychia cooperi	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2398	Agrostemma githago	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2399	Arenaria aculeata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2400	Arenaria congesta	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2401	Arenaria congesta var. charlestonensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2402	Arenaria congesta var. congesta	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2403	Arenaria congesta var. crassula	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2404	Arenaria congesta var. simulans	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2405	Arenaria congesta var. subcongesta	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2406	Arenaria congesta var. suffrutescens	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2407	Arenaria kingii var. glabrescens	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2408	Arenaria lanuginosa ssp. saxosa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2409	Arenaria macradenia	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2410	Arenaria macradenia var. arcuifolia	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2411	Arenaria macradenia ssp. ferrisiae	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2412	Arenaria macradenia var. kuschei	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2413	Arenaria macradenia var. macradenia	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2414	Arenaria paludicola	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2415	Arenaria serpyllifolia ssp. serpyllifolia	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2416	Arenaria ursina	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2417	Cardionema ramosissimum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2418	Cerastium arvense	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2419	Cerastium beeringianum var. capillare	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2420	Cerastium dichotomum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2421	Cerastium fontanum ssp. vulgare	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2422	Cerastium glomeratum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2423	Dianthus armeria ssp. armeria	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2424	Dianthus barbatus ssp. barbatus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2425	Dianthus deltoides ssp. deltoides	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2426	Gypsophila elegans var. elegans	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2427	Gypsophila paniculata var. paniculata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2428	Gypsophila scorzonerifolia	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2429	Herniaria hirsuta	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2430	Herniaria hirsuta ssp. cinerea	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2431	Herniaria hirsuta ssp. hirsuta	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2432	Holosteum umbellatum ssp. umbellatum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2433	Loeflingia squarrosa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2434	Loeflingia squarrosa var. artemisiarum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2435	Loeflingia squarrosa var. squarrosa	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2436	Lychnis coronaria	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2437	Minuartia californica	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2438	Minuartia decumbens	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2439	Minuartia douglasii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2440	Minuartia howellii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2441	Minuartia nuttallii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2442	Minuartia nuttallii ssp. fragilis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2443	Minuartia nuttallii ssp. gracilis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2444	Minuartia nuttallii ssp. gregaria	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2445	Minuartia obtusiloba	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2446	Minuartia pusilla	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2447	Minuartia rosei	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2448	Minuartia rubella	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2449	Minuartia stolonifera	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2450	Minuartia stricta	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2451	Moehringia macrophylla	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2452	Moenchia erecta ssp. erecta	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2453	Paronychia ahartii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
2454	Paronychia echinulata var. echinulata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2455	Paronychia franciscana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2456	Petrorhagia dubia	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2457	Petrorhagia nanteuilii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2458	Petrorhagia prolifera	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2459	Polycarpon depressum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2460	Polycarpon tetraphyllum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2461	Pseudostellaria jamesiana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2462	Sagina apetala	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2463	Sagina decumbens ssp. occidentalis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2464	Sagina maxima ssp. crassicaulis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2465	Sagina procumbens	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2466	Sagina saginoides	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2467	Saponaria officinalis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
2468	Scleranthus annuus ssp. annuus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
