id	taxon	Low_elevation	High_elevation	CFP endemicity	CA nativity
133	Ephedra aspera	0	1500	no	yes
134	Ephedra californica	0	900	no	yes
135	Ephedra fasciculata	0	1500	no	yes
136	Ephedra fasciculata var. clokeyi	0	1500	no	yes
137	Ephedra fasciculata var. fasciculata	0	1500	no	yes
138	Ephedra funerea	0	1700	no	yes
139	Ephedra nevadensis	0	1100	no	yes
140	Ephedra trifurca	0	2100	no	yes
141	Ephedra viridis	900	2300	no	yes
142	Abies amabilis	1700	2140	no	yes
143	Abies bracteata	210	1600	yes	yes
144	Abies concolor	900	3100	no	yes
145	Abies grandis	0	700	no	yes
146	Abies lasiocarpa var. lasiocarpa	1700	2100	no	yes
147	Abies magnifica	1200	2800	no	yes
148	Abies magnifica var. magnifica	1200	2600	no	yes
149	Abies magnifica var. shastensis	1350	2800	yes	yes
150	Abies procera	0	1500	no	yes
151	Picea breweriana	560	2300	yes	yes
152	Picea engelmannii	1200	2100	no	yes
153	Picea sitchensis	0	200	no	yes
154	Pinus albicaulis	0	3700	no	yes
155	Pinus attenuata	0	1900	no	yes
156	Pinus balfouriana	2100	3700	no	yes
157	Pinus balfouriana ssp. austrina	2700	3700	yes	yes
158	Pinus balfouriana ssp. balfouriana	2100	2500	yes	yes
159	Pinus contorta	0	3500	no	yes
160	Pinus contorta ssp. bolanderi	0	250	yes	yes
161	Pinus contorta ssp. contorta	0	150	no	yes
162	Pinus contorta ssp. murrayana	0	3500	no	yes
163	Pinus coulteri	0	3000	yes	yes
164	Pinus edulis	1300	2700	no	yes
165	Pinus flexilis	0	3700	no	yes
166	Pinus jeffreyi	450	3100	no	yes
167	Pinus lambertiana	0	3200	no	yes
168	Pinus longaeva	2200	3700	no	yes
169	Pinus monophylla	0	2800	no	yes
170	Pinus monticola	150	3400	no	yes
171	Pinus muricata	0	300	yes	yes
172	Pinus ponderosa	150	2300	no	yes
173	Pinus quadrifolia	1100	1800	yes	yes
174	Pinus radiata	0	1200	no	yes
175	Pinus sabiniana	150	1500	no	yes
176	Pinus torreyana	0	150	yes	yes
177	Pinus washoensis	0	2700	no	yes
178	Pseudotsuga macrocarpa	200	2400	yes	yes
179	Pseudotsuga menziesii var. menziesii	0	2200	no	yes
180	Tsuga heterophylla	0	700	no	yes
181	Tsuga mertensiana	1200	3500	no	yes
182	Taxus brevifolia	10	1500	no	yes
183	Torreya californica	30	2100	yes	yes
184	Sequoia sempervirens	0	1100	yes	yes
185	Sequoiadendron giganteum	825	2700	yes	yes
186	Carlowrightia arizonica	250	350	no	yes
187	Justicia californica	0	800	no	yes
188	Acer circinatum	0	1500	no	yes
189	Acer glabrum	1500	2800	no	yes
190	Acer glabrum var. diffusum	1500	2800	no	yes
191	Acer glabrum var. greenei	1500	2800	yes	yes
192	Acer glabrum var. torreyi	1500	2800	no	yes
193	Acer macrophyllum	0	1500	no	yes
194	Acer negundo var. californicum	0	1800	yes	yes
195	Aptenia cordifolia	0	100	no	no
196	Carpobrotus chilensis	0	100	no	no
197	Carpobrotus edulis	0	100	no	no
198	Conicosia pugioniformis	0	100	no	no
199	Cypselea humifusa	0	1000	no	no
200	Delosperma litorale	0	35	no	no
201	Drosanthemum floribundum	0	35	no	no
202	Malephora crocea	0	50	no	no
203	Mesembryanthemum crystallinum	0	100	no	no
204	Mesembryanthemum nodiflorum	0	100	no	no
205	Sesuvium verrucosum	0	1400	no	yes
206	Tetragonia tetragonioides	0	100	no	no
207	Trianthema portulacastrum	0	1000	no	yes
208	Alternanthera caracasana	0	150	no	no
209	Alternanthera philoxeroides	0	200	no	no
210	Amaranthus albus	0	2200	no	no
211	Amaranthus arenicola	0	200	no	no
212	Amaranthus blitoides	0	2200	no	yes
213	Amaranthus californicus	0	2800	no	yes
214	Amaranthus caudatus	0	200	no	no
215	Amaranthus cruentus	0	200	no	no
216	Amaranthus deflexus	0	650	no	no
217	Amaranthus fimbriatus	600	1700	no	yes
218	Amaranthus hybridus	0	300	no	no
219	Amaranthus palmeri	0	1200	no	yes
220	Amaranthus powellii	0	800	no	yes
221	Amaranthus retroflexus	0	2400	no	no
222	Amaranthus spinosus	0	700	no	no
223	Amaranthus torreyi	1200	1700	no	yes
224	Amaranthus watsonii	0	500	no	yes
225	Guilleminea densa var. aggregata	0	100	no	no
226	Tidestromia lanuginosa	1150	1250	no	yes
227	Tidestromia oblongifolia	0	1200	no	yes
228	Malosma laurina	0	1000	yes	yes
229	Pistacia atlantica	0	100	no	no
230	Rhus integrifolia	0	900	yes	yes
231	Rhus ovata	0	1300	no	yes
232	Rhus trilobata	0	2200	no	yes
233	Schinus molle	0	700	no	no
234	Schinus terebinthifolius	0	200	no	no
235	Toxicodendron diversilobum	0	1650	no	yes
236	Ammi majus	0	1000	no	no
237	Ammi visnaga	0	1000	no	no
238	Ammoselinum giganteum	350	450	no	yes
239	Anethum graveolens	0	1000	no	no
240	Angelica arguta	200	2000	no	yes
241	Angelica breweri	1000	3000	no	yes
242	Angelica californica	15	1500	yes	yes
243	Angelica callii	1100	2000	yes	yes
244	Angelica genuflexa	0	1000	no	yes
245	Angelica hendersonii	0	100	no	yes
246	Angelica kingii	1900	3000	no	yes
247	Angelica lineariloba	2300	3000	no	yes
248	Angelica lucida	0	50	no	yes
249	Angelica tomentosa	660	2400	yes	yes
250	Anthriscus caucalis	0	400	no	no
251	Apiastrum angustifolium	0	1500	yes	yes
252	Apium graveolens	0	1000	no	no
253	Apium nodiflorum	0	1000	no	no
254	Berula erecta	0	1800	no	yes
255	Bowlesia incana	20	1400	no	yes
256	Bupleurum lancifolium	0	1000	no	no
257	Ciclospermum leptophyllum	0	150	no	no
258	Cicuta douglasii	0	2500	no	yes
259	Cicuta maculata	0	2000	no	yes
260	Cicuta maculata var. angustifolia	1500	2100	no	yes
261	Cicuta maculata var. bolanderi	0	200	yes	yes
262	Conioselinum pacificum	0	50	no	yes
263	Conium maculatum	0	1000	no	no
264	Coriandrum sativum	0	1000	no	no
265	Cymopterus aboriginum	1500	2500	no	yes
266	Cymopterus cinerarius	2500	3500	no	yes
267	Cymopterus deserticola	1450	1550	no	yes
268	Cymopterus gilmanii	1000	2000	no	yes
