id	taxon	Low_elevation	High_elevation	CFP endemicity	CA nativity
1210	Lasthenia burkei	0	500	yes	yes
1211	Lasthenia californica	0	1500	no	yes
1212	Lasthenia chrysantha	0	100	yes	yes
1213	Lasthenia conjugens	0	100	yes	yes
1214	Lasthenia coronaria	0	700	no	yes
1215	Lasthenia debilis	0	500	yes	yes
1216	Lasthenia ferrisiae	0	700	yes	yes
1217	Lasthenia fremontii	0	700	yes	yes
1218	Lasthenia glaberrima	0	900	no	yes
1219	Lasthenia glabrata	0	1000	no	yes
1220	Lasthenia glabrata ssp. coulteri	0	1000	no	yes
1221	Lasthenia glabrata ssp. glabrata	0	550	yes	yes
1222	Lasthenia leptalea	0	500	yes	yes
1223	Lasthenia macrantha	0	500	no	yes
1224	Lasthenia macrantha ssp. bakeri	0	500	yes	yes
1225	Lasthenia macrantha ssp. macrantha	0	500	yes	yes
1226	Lasthenia maritima	0	100	no	yes
1227	Lasthenia microglossa	0	1000	no	yes
1228	Lasthenia minor	0	700	yes	yes
1229	Lasthenia platycarpha	0	120	yes	yes
1230	Layia carnosa	0	60	yes	yes
1231	Layia chrysanthemoides	0	800	yes	yes
1232	Layia discoidea	900	1500	yes	yes
1233	Layia fremontii	0	600	yes	yes
1234	Layia gaillardioides	0	1200	yes	yes
1235	Layia glandulosa	0	2700	no	yes
1236	Layia heterotricha	0	1600	yes	yes
1237	Layia hieracioides	0	1200	yes	yes
1238	Layia jonesii	0	400	yes	yes
1239	Layia leucopappa	150	350	yes	yes
1240	Layia munzii	0	700	yes	yes
1241	Layia pentachaeta	0	1800	no	yes
1242	Layia pentachaeta ssp. albida	0	1800	yes	yes
1243	Layia pentachaeta ssp. pentachaeta	0	1800	yes	yes
1244	Layia platyglossa	0	2000	no	yes
1245	Layia septentrionalis	100	800	yes	yes
1246	Lembertia congdonii	90	700	yes	yes
1247	Leontodon taraxacoides	0	1000	no	no
1248	Leontodon taraxacoides ssp. longirostris	0	1000	no	yes
1249	Leontodon taraxacoides ssp. taraxacoides	0	1000	no	yes
1250	Lepidospartum latisquamum	1400	1500	no	yes
1251	Lepidospartum squamatum	0	1800	no	yes
1252	Lessingia arachnoidea	0	200	yes	yes
1253	Lessingia filaginifolia	0	2600	no	yes
1254	Lessingia filaginifolia var. californica	0	1000	yes	yes
1255	Lessingia filaginifolia var. filaginifolia	0	2600	yes	yes
1256	Lessingia germanorum	0	100	yes	yes
1257	Lessingia glandulifera	0	1700	no	yes
1258	Lessingia glandulifera var. glandulifera	0	1700	yes	yes
1259	Lessingia glandulifera var. pectinata	0	200	yes	yes
1260	Lessingia glandulifera var. tomentosa	200	300	yes	yes
1261	Lessingia hololeuca	0	300	yes	yes
1262	Lessingia lemmonii	200	1850	no	yes
1263	Lessingia lemmonii var. lemmonii	0	1900	no	yes
1264	Lessingia lemmonii var. peirsonii	300	1850	no	yes
1265	Lessingia lemmonii var. ramulosissima	800	1200	no	yes
1266	Lessingia leptoclada	400	1800	yes	yes
1267	Lessingia micradenia	0	500	no	yes
1268	Lessingia micradenia var. glabrata	0	300	yes	yes
1269	Lessingia micradenia var. micradenia	100	500	yes	yes
1270	Lessingia nana	200	900	yes	yes
1271	Lessingia nemaclada	200	1100	yes	yes
1272	Lessingia occidentalis	450	850	yes	yes
1273	Lessingia ramulosa	0	1000	yes	yes
1274	Lessingia tenuis	300	2150	yes	yes
1275	Lessingia virgata	0	350	yes	yes
1276	Leucanthemum maximum	0	200	no	no
1277	Leucanthemum vulgare	0	2000	no	no
1278	Luina hypoleuca	0	2100	no	yes
1279	Machaeranthera arida	30	300	no	yes
1280	Machaeranthera asteroides	800	2400	no	yes
1281	Machaeranthera asteroides var. asteroides	50	150	no	yes
1282	Machaeranthera asteroides var. lagunensis	800	2400	yes	yes
1283	Machaeranthera canescens	300	3400	no	yes
1284	Machaeranthera canescens var. canescens	2000	3000	no	yes
1285	Machaeranthera canescens var. incana	300	1100	no	yes
1286	Machaeranthera canescens var. leucanthemifolia	750	2000	no	yes
1287	Machaeranthera canescens var. shastensis	1500	3400	no	yes
1288	Machaeranthera canescens var. ziegleri	1400	2470	yes	yes
1289	Machaeranthera carnosa	100	1600	no	yes
1290	Machaeranthera gracilis	0	1500	no	yes
1291	Machaeranthera juncea	0	1000	no	yes
1292	Machaeranthera pinnatifida var. gooddingii	0	625	no	yes
1293	Machaeranthera tanacetifolia	1650	1750	no	yes
1294	Madia anomala	0	500	yes	yes
1295	Madia bolanderi	1000	2600	yes	yes
1296	Madia citrigracilis	1400	2000	no	yes
1297	Madia citriodora	400	1600	no	yes
1298	Madia doris-nilesiae	850	1400	yes	yes
1299	Madia elegans	0	3350	no	yes
1300	Madia elegans ssp. densifolia	0	1000	no	yes
1301	Madia elegans ssp. elegans	900	2500	no	yes
1302	Madia elegans ssp. vernalis	0	1000	no	yes
1303	Madia elegans ssp. wheeleri	1500	3350	yes	yes
1304	Madia exigua	0	2500	no	yes
1305	Madia glomerata	1050	2700	no	yes
1306	Madia gracilis	0	2400	no	yes
1307	Madia hallii	450	550	yes	yes
1308	Madia madioides	0	1300	no	yes
1309	Madia minima	550	2600	no	yes
1310	Madia nutans	150	950	yes	yes
1311	Madia radiata	0	900	yes	yes
1312	Madia rammii	400	1600	yes	yes
1313	Madia sativa	0	950	no	yes
1314	Madia stebbinsii	1100	1400	no	yes
1315	Madia subspicata	50	800	yes	yes
1316	Madia yosemitana	1200	2300	yes	yes
1317	Malacothrix californica	0	1700	no	yes
1318	Malacothrix clevelandii	0	2100	no	yes
1319	Malacothrix coulteri	0	1500	no	yes
1320	Malacothrix floccifera	0	2000	yes	yes
1321	Malacothrix foliosa	0	150	yes	yes
1322	Malacothrix glabrata	0	2000	no	yes
1323	Malacothrix incana	0	300	yes	yes
1324	Malacothrix indecora	0	30	yes	yes
1325	Malacothrix phaeocarpa	300	1300	yes	yes
1326	Malacothrix saxatilis	0	2000	no	yes
1327	Malacothrix saxatilis var. arachnoidea	0	900	yes	yes
1328	Malacothrix saxatilis var. commutata	200	1600	yes	yes
1329	Malacothrix saxatilis var. implicata	0	330	yes	yes
1330	Malacothrix saxatilis var. saxatilis	0	200	yes	yes
1331	Malacothrix saxatilis var. tenuifolia	0	2000	yes	yes
1332	Malacothrix sonchoides	400	1400	no	yes
1333	Malacothrix squalida	0	200	yes	yes
1334	Malacothrix stebbinsii	300	1300	no	yes
1335	Malacothrix torreyi	1500	1800	no	yes
1336	Malperia tenuis	0	500	no	yes
1337	Micropus amphibolus	50	800	yes	yes
1338	Micropus californicus	0	1700	no	yes
1339	Micropus californicus var. californicus	0	1700	yes	yes
1340	Micropus californicus var. subvestitus	50	1000	yes	yes
1341	Microseris acuminata	0	500	yes	yes
1342	Microseris bigelovii	0	100	no	yes
1343	Microseris borealis	1000	2000	no	yes
1344	Microseris campestris	0	500	yes	yes
1345	Microseris douglasii	0	1000	no	yes
1346	Microseris douglasii ssp. douglasii	0	1000	yes	yes
1347	Microseris douglasii ssp. platycarpha	0	1000	yes	yes
1348	Microseris douglasii ssp. tenella	0	1000	yes	yes
1349	Microseris elegans	0	700	yes	yes
1350	Microseris laciniata	0	2000	no	yes
1351	Microseris laciniata ssp. laciniata	0	2000	no	yes
1352	Microseris laciniata ssp. leptosepala	0	2000	yes	yes
1353	Microseris laciniata ssp. siskiyouensis	0	2000	yes	yes
1354	Microseris nutans	1000	3000	no	yes
1355	Microseris paludosa	0	300	yes	yes
1356	Microseris sylvatica	0	1500	yes	yes
1357	Monolopia gracilens	100	1200	yes	yes
1358	Monolopia lanceolata	50	1600	no	yes
1359	Monolopia major	0	1100	yes	yes
1360	Monolopia stricta	50	800	yes	yes
1361	Monoptilon bellidiforme	660	1000	no	yes
1362	Monoptilon bellioides	200	1200	no	yes
1363	Nicolletia occidentalis	600	1400	no	yes
1364	Nothocalais alpestris	1800	2500	no	yes
1365	Nothocalais troximoides	700	2000	no	yes
1366	Onopordum acanthium ssp. acanthium	0	1600	no	no
1367	Onopordum illyricum	0	500	no	no
1368	Onopordum tauricum	0	1400	no	no
1369	Orochaenactis thysanocarpha	2200	3800	yes	yes
1370	Osmadenia tenella	0	600	yes	yes
1371	Osteospermum ecklonis	0	200	no	no
1372	Palafoxia arida	0	1000	no	yes
1373	Palafoxia arida var. arida	0	1000	no	yes
1374	Palafoxia arida var. gigantea	0	100	no	yes
1375	Pectis papposa var. papposa	0	1500	no	yes
1376	Pentachaeta alsinoides	0	320	yes	yes
1377	Pentachaeta aurea	0	1850	yes	yes
1378	Pentachaeta bellidiflora	0	620	yes	yes
1379	Pentachaeta exilis	0	900	no	yes
1380	Pentachaeta exilis ssp. aeolica	0	670	yes	yes
1381	Pentachaeta exilis ssp. exilis	0	900	yes	yes
1382	Pentachaeta fragilis	50	2100	yes	yes
1383	Pentachaeta lyonii	0	150	yes	yes
1384	Pericome caudata	1200	2400	no	yes
1385	Perityle emoryi	0	1000	no	yes
1386	Perityle inyoensis	1800	2600	no	yes
1387	Perityle megalocephala	1300	2800	no	yes
1388	Perityle megalocephala var. megalocephala	1500	2800	no	yes
1389	Perityle megalocephala var. oligophylla	1300	2600	no	yes
1390	Perityle villosa	1700	2600	no	yes
1391	Petasites frigidus var. palmatus	0	400	no	yes
1392	Petradoria pumila ssp. pumila	2300	3400	no	yes
1393	Peucephyllum schottii	0	1400	no	yes
1394	Phalacroseris bolanderi	1800	2500	yes	yes
1395	Picris echioides	0	450	no	no
1396	Pleurocoronis pluriseta	0	1300	no	yes
1397	Pluchea odorata	0	300	no	yes
1398	Pluchea sericea	0	600	no	yes
1399	Porophyllum gracile	0	1500	no	yes
1400	Prenanthella exigua	0	1850	no	yes
1401	Prionopsis ciliata	0	500	no	no
1402	Psathyrotes annua	800	2000	no	yes
1403	Psathyrotes ramosissima	0	1000	no	yes
1404	Pseudobahia bahiifolia	100	200	yes	yes
1405	Pseudobahia heermannii	160	1600	yes	yes
1406	Pseudobahia peirsonii	100	800	yes	yes
1407	Psilocarphus brevissimus	0	2500	no	yes
1408	Psilocarphus brevissimus var. brevissimus	0	2500	no	yes
1409	Psilocarphus brevissimus var. multiflorus	10	500	yes	yes
1410	Psilocarphus elatior	0	1000	no	yes
1411	Psilocarphus oregonus	10	1500	no	yes
1412	Psilocarphus tenellus	0	2000	no	yes
1413	Psilocarphus tenellus var. globiferus	0	700	no	yes
1414	Psilocarphus tenellus var. tenellus	10	2000	no	yes
1415	Psilostrophe cooperi	150	1500	no	yes
1416	Pulicaria paludosa	0	700	no	no
1417	Pyrrocoma apargioides	2200	3700	no	yes
1418	Pyrrocoma carthamoides var. cusickii	900	2800	no	yes
1419	Pyrrocoma hirta	1200	2200	no	yes
1420	Pyrrocoma hirta var. hirta	1200	1600	no	yes
1421	Pyrrocoma hirta var. lanulosa	1700	2200	no	yes
1422	Pyrrocoma lanceolata	1300	2800	no	yes
1423	Pyrrocoma lanceolata var. lanceolata	1300	2800	no	yes
1424	Pyrrocoma lanceolata var. subviscosa	1500	2000	no	yes
1425	Pyrrocoma lucida	700	1600	yes	yes
1426	Pyrrocoma racemosa	0	2500	no	yes
1427	Pyrrocoma racemosa var. congesta	200	1000	no	yes
1428	Pyrrocoma racemosa var. paniculata	150	2500	no	yes
1429	Pyrrocoma racemosa var. pinetorum	600	1700	yes	yes
1430	Pyrrocoma racemosa var. racemosa	0	300	no	yes
1431	Pyrrocoma racemosa var. sessiliflora	300	2200	no	yes
1432	Pyrrocoma uniflora	1400	2900	no	yes
1433	Pyrrocoma uniflora var. gossypina	1600	2300	yes	yes
1434	Pyrrocoma uniflora var. uniflora	1400	2900	no	yes
1435	Rafinesquia californica	0	1500	no	yes
1436	Rafinesquia neomexicana	0	1400	no	yes
1437	Raillardella argentea	2200	3900	no	yes
1438	Raillardella pringlei	1200	2200	yes	yes
1439	Raillardella scaposa	2000	3500	no	yes
1440	Raillardiopsis muirii	1100	2500	yes	yes
1441	Raillardiopsis scabrida	1650	2300	yes	yes
1442	Rhagadiolus stellatus	0	200	no	no
1443	Rigiopappus leptocladus	0	2300	no	yes
1444	Rudbeckia californica	0	2600	no	yes
1445	Rudbeckia californica var. californica	1650	2600	yes	yes
1446	Rudbeckia californica var. glauca	60	1250	yes	yes
1447	Rudbeckia californica var. intermedia	1000	1600	yes	yes
1448	Rudbeckia hirta var. pulcherrima	100	1200	no	no
1449	Rudbeckia occidentalis var. occidentalis	1200	1850	no	yes
1450	Santolina chamaecyparissus	0	500	no	no
1451	Sanvitalia abertii	1750	1850	no	yes
1452	Saussurea americana	1700	1800	no	yes
1453	Schkuhria multiflora var. multiflora	1500	1700	no	yes
1454	Scolymus hispanicus	0	100	no	no
1455	Scorzonera hispanica	0	200	no	no
1456	Senecio aphanactis	0	400	yes	yes
1457	Senecio aronicoides	0	2500	yes	yes
1458	Senecio astephanus	400	1500	yes	yes
1459	Senecio bernardinus	1800	2300	yes	yes
1460	Senecio blochmaniae	0	100	yes	yes
1461	Senecio bolanderi var. bolanderi	0	200	no	yes
1462	Senecio breweri	200	1700	yes	yes
1463	Senecio californicus	0	1200	no	yes
1464	Senecio canus	1300	3600	no	yes
1465	Senecio clarkianus	1400	2700	yes	yes
1466	Senecio clevelandii	400	900	yes	yes
1467	Senecio cymbalarioides	1700	3500	no	yes
1468	Senecio elegans	0	100	no	no
1469	Senecio eurycephalus	300	1700	no	yes
1470	Senecio eurycephalus var. eurycephalus	300	1700	no	yes
1471	Senecio eurycephalus var. lewisrosei	550	900	yes	yes
1472	Senecio flaccidus	0	2000	no	yes
1473	Senecio flaccidus var. douglasii	0	1600	yes	yes
1474	Senecio flaccidus var. monoensis	500	2000	no	yes
1475	Senecio fremontii	2600	3600	no	yes
1476	Senecio fremontii var. fremontii	2600	3600	no	yes
1477	Senecio fremontii var. occidentalis	2600	3600	no	yes
1478	Senecio ganderi	400	1200	yes	yes
1479	Senecio greenei	400	1500	yes	yes
1480	Senecio hybridus	0	100	no	no
1481	Senecio hydrophiloides	1500	2800	no	yes
1482	Senecio hydrophilus	0	2300	no	yes
1483	Senecio indecorus	1600	2000	no	yes
1484	Senecio integerrimus	150	3600	no	yes
1485	Senecio integerrimus var. exaltatus	1400	3200	no	yes
1486	Senecio integerrimus var. major	150	3600	no	yes
1487	Senecio integerrimus var. ochroleucus	600	1700	no	yes
1488	Senecio ionophyllus	1500	2700	yes	yes
1489	Senecio jacobaea	0	1500	no	no
1490	Senecio layneae	200	1000	yes	yes
1491	Senecio lyonii	0	500	yes	yes
1492	Senecio macounii	400	900	no	yes
1493	Senecio mikanioides	0	200	no	no
1494	Senecio mohavensis	0	1000	no	yes
1495	Senecio multilobatus	1400	3200	no	yes
1496	Senecio pattersonensis	2900	3700	no	yes
1497	Senecio pauciflorus	2400	3500	no	yes
1498	Senecio pseudaureus var. pseudaureus	2400	3300	no	yes
1499	Senecio scorzonella	1600	3500	no	yes
1500	Senecio serra var. serra	1300	3200	no	yes
1501	Senecio spartioides	1800	3200	no	yes
1502	Senecio streptanthifolius	900	3100	no	yes
1503	Senecio sylvaticus	0	200	no	no
1504	Senecio triangularis	1000	3500	no	yes
1505	Senecio vulgaris	0	1500	no	no
1506	Senecio werneriifolius	3000	4000	no	yes
1507	Silybum marianum	0	500	no	no
1508	Solidago altissima var. altissima	0	2800	no	no
1509	Solidago californica	0	2300	no	yes
1510	Solidago canadensis ssp. elongata	0	2800	no	yes
1511	Solidago confinis	0	2500	no	yes
1512	Solidago gigantea	1000	1500	no	yes
1513	Solidago guiradonis	600	900	yes	yes
1514	Solidago multiradiata	2600	3700	no	yes
1515	Solidago sparsiflora	500	2200	no	yes
1516	Solidago spathulata ssp. spathulata	0	100	yes	yes
1517	Solidago spectabilis	300	2300	no	yes
1518	Soliva sessilis	0	1500	no	no
1519	Sonchus arvensis	0	1800	no	no
1520	Sonchus asper ssp. asper	0	1900	no	no
1521	Sonchus oleraceus	0	1500	no	no
1522	Sonchus tenerrimus	0	500	no	no
1523	Sphaeromeria cana	3000	4000	no	yes
1524	Sphaeromeria potentilloides	1800	2400	no	yes
1525	Sphaeromeria potentilloides var. nitrophila	2100	2400	no	yes
1526	Sphaeromeria potentilloides var. potentilloides	1800	2400	no	yes
1527	Stebbinsoseris decipiens	10	500	yes	yes
1528	Stebbinsoseris heterocarpa	0	1000	no	yes
1529	Stenotus acaulis	1900	3200	no	yes
1530	Stenotus lanuginosus	1450	1550	no	yes
1531	Stenotus stenophyllus	1200	1600	no	yes
1532	Stephanomeria blairii	150	250	yes	yes
1533	Stephanomeria cichoriacea	0	2100	yes	yes
1534	Stephanomeria diegensis	0	200	yes	yes
1535	Stephanomeria elata	150	1400	no	yes
1536	Stephanomeria exigua	0	2000	no	yes
1537	Stephanomeria exigua ssp. carotifera	0	1400	yes	yes
1538	Stephanomeria exigua ssp. coronaria	200	800	no	yes
1539	Stephanomeria exigua ssp. deanei	0	1700	yes	yes
1540	Stephanomeria exigua ssp. exigua	100	2000	no	yes
1541	Stephanomeria exigua ssp. macrocarpa	300	1200	yes	yes
1542	Stephanomeria lactucina	900	2400	no	yes
1543	Stephanomeria paniculata	900	1400	no	yes
1544	Stephanomeria parryi	680	2000	no	yes
1545	Stephanomeria pauciflora	0	2400	no	yes
1546	Stephanomeria pauciflora var. pauciflora	0	2400	no	yes
1547	Stephanomeria pauciflora var. parishii	0	1000	no	yes
1548	Stephanomeria spinosa	1200	3300	no	yes
1549	Stephanomeria tenuifolia	1100	3360	no	yes
1550	Stephanomeria virgata	0	2100	no	yes
1551	Stephanomeria virgata ssp. pleurocarpa	0	2100	yes	yes
1552	Stephanomeria virgata ssp. virgata	0	1800	yes	yes
1553	Stylocline citroleum	50	400	yes	yes
1554	Stylocline gnaphaloides	0	1200	no	yes
1555	Stylocline intertexta	50	1400	no	yes
1556	Stylocline masonii	100	400	yes	yes
1557	Stylocline micropoides	50	1600	no	yes
1558	Stylocline psilocarphoides	600	1800	no	yes
1559	Stylocline sonorensis	350	450	no	yes
1560	Syntrichopappus fremontii	600	2500	no	yes
1561	Syntrichopappus lemmonii	900	1500	yes	yes
1562	Tagetes erecta	0	1000	no	no
1563	Tagetes minuta	0	1000	no	no
1564	Tanacetum camphoratum	0	30	no	yes
1565	Tanacetum parthenium	0	250	no	no
1566	Tanacetum vulgare	0	4100	no	no
1567	Taraxacum californicum	1950	2400	yes	yes
1568	Taraxacum officinale	0	3300	no	no
1569	Tetradymia argyraea	1400	2100	no	yes
1570	Tetradymia axillaris	1200	2300	no	yes
1571	Tetradymia axillaris var. axillaris	1200	2300	no	yes
1572	Tetradymia axillaris var. longispina	1200	2300	no	yes
1573	Tetradymia canescens	1600	3300	no	yes
1574	Tetradymia comosa	300	1500	yes	yes
1575	Tetradymia glabrata	800	2400	no	yes
1576	Tetradymia spinosa	800	2400	no	yes
1577	Tetradymia stenolepis	600	1500	no	yes
1578	Tetradymia tetrameres	1200	2100	no	yes
1579	Thelesperma megapotamicum	0	500	no	no
1580	Thymophylla pentachaeta var. belenidium	900	1800	no	yes
1581	Tolpis barbata	0	200	no	no
1582	Tonestus eximius	2500	3300	no	yes
1583	Tonestus lyallii	2500	2700	no	yes
1584	Tonestus peirsonii	2900	3700	no	yes
1585	Townsendia condensata	3200	3500	no	yes
1586	Townsendia leptotes	3500	3700	no	yes
1587	Townsendia scapigera	1400	3500	no	yes
1588	Tracyina rostrata	0	500	yes	yes
1589	Tragopogon dubius	0	2700	no	no
1590	Tragopogon porrifolius	0	1700	no	no
1591	Tragopogon pratensis	900	1600	no	no
1592	Trichocoronis wrightii var. wrightii	0	4100	no	no
1593	Trichoptilium incisum	0	1000	no	yes
1594	Trimorpha acris var. debilis	2700	2900	no	yes
1595	Trimorpha lonchophylla	1800	3550	no	yes
1596	Trixis californica var. californica	0	1000	no	yes
1597	Uropappus lindleyi	0	1800	no	yes
1598	Urospermum picroides	0	100	no	no
1599	Venegasia carpesioides	0	900	yes	yes
1600	Venidium fastuosum	0	500	no	no
1601	Verbesina dissita	0	100	yes	yes
1602	Verbesina encelioides ssp. exauriculata	0	200	no	no
1603	Viguiera laciniata	90	750	yes	yes
1604	Viguiera parishii	0	1500	no	yes
1605	Viguiera reticulata	0	1500	no	yes
1606	Whitneya dealbata	1200	2400	yes	yes
1607	Wyethia angustifolia	0	2000	no	yes
1608	Wyethia bolanderi	300	1000	yes	yes
1609	Wyethia elata	1000	1400	yes	yes
1610	Wyethia glabra	0	800	yes	yes
1611	Wyethia helenioides	0	2000	yes	yes
1612	Wyethia invenusta	1100	1900	yes	yes
1613	Wyethia longicaulis	750	1500	yes	yes
1614	Wyethia mollis	1200	3400	no	yes
1615	Wyethia ovata	300	2300	yes	yes
1616	Wyethia reticulata	300	500	yes	yes
1617	Xanthium spinosum	0	900	no	yes
1618	Xanthium strumarium	0	500	no	yes
1619	Xylorhiza cognata	20	240	no	yes
1620	Xylorhiza orcuttii	20	300	no	yes
1621	Xylorhiza tortifolia var. tortifolia	240	2000	no	yes
1622	Impatiens balfourii	0	1000	no	no
1623	Impatiens noli-tangere	0	500	no	no
1624	Anredera cordifolia	0	500	no	no
1625	Batis maritima	0	10	no	yes
1626	Achlys californica	0	1200	no	yes
1627	Achlys triphylla ssp. triphylla	0	1500	no	yes
1628	Berberis aquifolium	0	2200	no	yes
1629	Berberis aquifolium var. aquifolium	400	2100	no	yes
1630	Berberis aquifolium var. dictyota	150	1900	yes	yes
1631	Berberis aquifolium var. repens	300	2200	no	yes
1632	Berberis fremontii	900	1850	no	yes
1633	Berberis haematocarpa	1000	1700	no	yes
1634	Berberis nervosa	0	2000	no	yes
1635	Berberis nevinii	0	650	yes	yes
1636	Berberis pinnata	0	1200	no	yes
1637	Berberis pinnata ssp. insularis	0	400	yes	yes
1638	Berberis pinnata ssp. pinnata	0	1200	no	yes
1639	Vancouveria chrysantha	0	1500	yes	yes
1640	Vancouveria hexandra	0	1700	no	yes
1641	Vancouveria planipetala	0	1300	yes	yes
1642	Alnus incana ssp. tenuifolia	1200	2400	no	yes
1643	Alnus rhombifolia	100	2400	no	yes
1644	Alnus rubra	0	1000	no	yes
1645	Alnus viridis ssp. sinuata	1000	2700	no	yes
1646	Betula glandulosa	2050	2150	no	yes
1647	Betula occidentalis	600	2500	no	yes
1648	Corylus cornuta var. californica	0	2100	no	yes
1649	Chilopsis linearis ssp. arcuata	0	1500	no	yes
1650	Amsinckia douglasiana	100	600	yes	yes
1651	Amsinckia eastwoodiae	50	500	yes	yes
1652	Amsinckia grandiflora	0	300	yes	yes
1653	Amsinckia lunaris	50	500	yes	yes
1654	Amsinckia lycopsoides	0	400	no	yes
1655	Amsinckia menziesii	0	1700	no	yes
1656	Amsinckia menziesii var. intermedia	0	1700	no	yes
1657	Amsinckia menziesii var. menziesii	0	1700	no	yes
1658	Amsinckia spectabilis	0	100	no	yes
1659	Amsinckia spectabilis var. microcarpa	0	100	no	yes
1660	Amsinckia spectabilis var. spectabilis	0	100	yes	yes
1661	Amsinckia tessellata	50	2200	no	yes
1662	Amsinckia tessellata var. gloriosa	50	1700	no	yes
1663	Amsinckia tessellata var. tessellata	50	2200	no	yes
1664	Amsinckia vernicosa	50	1400	no	yes
1665	Amsinckia vernicosa var. furcata	50	1000	yes	yes
1666	Amsinckia vernicosa var. vernicosa	50	1400	no	yes
1667	Anchusa arvensis	0	500	no	no
1668	Anchusa azurea	0	500	no	no
1669	Anchusa officinalis	0	1000	no	no
1670	Asperugo procumbens	1000	1500	no	no
1671	Borago officinalis	0	300	no	no
1672	Cryptantha affinis	750	2900	no	yes
1673	Cryptantha ambigua	1300	2400	no	yes
1674	Cryptantha angustifolia	0	1400	no	yes
1675	Cryptantha barbigera	300	2250	no	yes
1676	Cryptantha cinerea var. abortiva	1800	3300	no	yes
1677	Cryptantha circumscissa	300	3700	no	yes
1678	Cryptantha clevelandii	0	1100	yes	yes
1679	Cryptantha clokeyi	800	900	no	yes
1680	Cryptantha confertiflora	1200	2700	no	yes
1681	Cryptantha costata	0	500	no	yes
1682	Cryptantha crinita	150	300	yes	yes
1683	Cryptantha crymophila	2600	3200	yes	yes
1684	Cryptantha decipiens	0	1500	no	yes
1685	Cryptantha dumetorum	200	1500	no	yes
1686	Cryptantha echinella	700	2800	no	yes
1687	Cryptantha excavata	100	500	yes	yes
1688	Cryptantha flaccida	0	2000	no	yes
1689	Cryptantha flavoculata	1300	3200	no	yes
1690	Cryptantha ganderi	0	400	no	yes
1691	Cryptantha glomeriflora	1800	3400	no	yes
1692	Cryptantha gracilis	900	2150	no	yes
1693	Cryptantha hispidula	200	1000	yes	yes
1694	Cryptantha holoptera	100	1200	no	yes
1695	Cryptantha hooveri	0	150	yes	yes
1696	Cryptantha humilis	1700	3600	no	yes
1697	Cryptantha incana	1800	2000	yes	yes
1698	Cryptantha intermedia	300	2800	no	yes
1699	Cryptantha leiocarpa	0	200	yes	yes
1700	Cryptantha mariposae	200	650	yes	yes
1701	Cryptantha maritima	0	1500	no	yes
1702	Cryptantha micrantha	200	2300	no	yes
1703	Cryptantha micromeres	0	950	yes	yes
1704	Cryptantha microstachys	200	1700	yes	yes
1705	Cryptantha milobakeri	0	300	yes	yes
1706	Cryptantha mohavensis	600	2800	no	yes
1707	Cryptantha muricata	150	2700	no	yes
1708	Cryptantha nemaclada	200	1000	yes	yes
1709	Cryptantha nevadensis	0	2100	no	yes
1710	Cryptantha nubigena	2400	3800	no	yes
1711	Cryptantha oxygona	0	1950	no	yes
1712	Cryptantha pterocarya	0	2500	no	yes
1713	Cryptantha racemosa	0	1500	no	yes
1714	Cryptantha recurvata	700	2500	no	yes
1715	Cryptantha roosiorum	3000	4300	no	yes
1716	Cryptantha simulans	650	2300	no	yes
1717	Cryptantha sobolifera	1300	3100	no	yes
1718	Cryptantha torreyana	350	2000	no	yes
1719	Cryptantha traskiae	0	400	yes	yes
1720	Cryptantha tumulosa	1400	2100	no	yes
1721	Cryptantha utahensis	0	2000	no	yes
1722	Cryptantha virginensis	1900	3100	no	yes
1723	Cryptantha watsonii	1500	3200	no	yes
1724	Cynoglossum grande	0	1500	no	yes
1725	Cynoglossum occidentale	900	2100	no	yes
1726	Cynoglossum officinale	850	1000	no	no
1727	Echium candicans	0	300	no	no
1728	Echium plantagineum	0	300	no	no
1729	Hackelia amethystina	1500	2100	yes	yes
1730	Hackelia bella	900	2000	yes	yes
1731	Hackelia brevicula	2600	3200	no	yes
1732	Hackelia californica	900	1800	yes	yes
1733	Hackelia cusickii	1200	2000	no	yes
1734	Hackelia floribunda	700	3100	no	yes
1735	Hackelia micrantha	700	3400	no	yes
1736	Hackelia mundula	1600	2800	yes	yes
1737	Hackelia nervosa	1700	3000	yes	yes
1738	Hackelia setosa	300	1800	yes	yes
1739	Hackelia sharsmithii	3000	3700	yes	yes
1740	Hackelia velutina	1300	2500	yes	yes
1741	Harpagonella palmeri	0	450	no	yes
1742	Heliotropium amplexicaule	0	300	no	no
1743	Heliotropium convolvulaceum var. californicum	0	700	no	yes
1744	Heliotropium curassavicum	0	2100	no	yes
1745	Heliotropium europaeum	0	1400	no	no
1746	Lappula redowskii	600	3300	no	yes
1747	Lappula redowskii var. cupulata	600	2100	no	yes
1748	Lappula redowskii var. redowskii	1300	3300	no	yes
1749	Lappula squarrosa	0	200	no	no
1750	Lithospermum arvense	0	1200	no	no
1751	Lithospermum californicum	250	1800	no	yes
1752	Lithospermum incisum	1650	1700	no	yes
1753	Lithospermum ruderale	1200	1800	no	yes
1754	Mertensia bella	1500	2000	no	yes
1755	Mertensia ciliata	1700	3600	no	yes
1756	Mertensia cusickii	0	2500	no	yes
1757	Mertensia longiflora	1600	2200	no	yes
1758	Mertensia oblongifolia	1000	3000	no	yes
1759	Mertensia oblongifolia var. amoena	1000	3000	no	yes
