id	taxon	trait	value	units	country	state	county	place.name	lat	long	latlong.conf	created.by	created.date	modified.by	modified.date	source.taxon	source.trait	source.value	source.units
28	Populus balsamifera ssp. trichocarpa	Seed mass	4.500	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Populus balsamifera ssp. trichocarpa	seed_mass	4.5	mg
29	Prunus ilicifolia ssp. ilicifolia	Seed mass	1653.822	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Prunus ilicifolia ssp. ilicifolia	seed_mass	1653.822222	mg
30	Pseudotsuga menziesii var. menziesii	Seed mass	11.255	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Pseudotsuga menziesii var. menziesii	seed_mass	11.25482256	mg
31	Quercus agrifolia var. agrifolia	Seed mass	2272.727	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus agrifolia var. agrifolia	seed_mass	2272.727273	mg
32	Quercus douglasii	Seed mass	4545.455	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus douglasii	seed_mass	4545.454545	mg
33	Quercus durata var. durata	Seed mass	3095.840	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus durata var. durata	seed_mass	3095.84	mg
34	Quercus kelloggii	Seed mass	4784.689	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus kelloggii	seed_mass	4784.688995	mg
35	Quercus lobata	Seed mass	4116.093	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus lobata	seed_mass	4116.092624	mg
36	Rhamnus californica ssp. californica	Seed mass	95.320	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rhamnus californica ssp. californica	seed_mass	95.31984127	mg
37	Rhamnus crocea	Seed mass	7.376	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rhamnus crocea	seed_mass	7.375502165	mg
38	Ribes californicum var. californicum	Seed mass	3.313	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes californicum var. californicum	seed_mass	3.313222222	mg
39	Ribes divaricatum var. pubiflorum	Seed mass	2.061	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes divaricatum var. pubiflorum	seed_mass	2.06122449	mg
40	Ribes malvaceum var. malvaceum	Seed mass	1.716	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes malvaceum var. malvaceum	seed_mass	1.716	mg
41	Ribes sanguineum var. glutinosum	Seed mass	3.207	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes sanguineum var. glutinosum	seed_mass	3.207086124	mg
42	Rosa californica	Seed mass	10.198	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rosa californica	seed_mass	10.19768627	mg
43	Rosa spithamea	Seed mass	0.319	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rosa spithamea	seed_mass	0.319	mg
44	Rubus parviflorus	Seed mass	1.262	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rubus parviflorus	seed_mass	1.262176471	mg
45	Rubus ursinus	Seed mass	1.989	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rubus ursinus	seed_mass	1.988631193	mg
46	Salix lasiolepis	Seed mass	0.134	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Salix lasiolepis	seed_mass	0.1335	mg
