id	taxon	trait	value	units	country	state	county	place.name	lat	long	latlong.conf	created.by	created.date	modified.by	modified.date	source.taxon	source.trait	source.value	source.units
118	Ceanothus cuneatus var. cuneatus	Blade area (c)	0.957	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ceanothus cuneatus var. cuneatus	leaf_size	0.95735868	cm2
119	Ceanothus oliganthus var. sorediatus	Blade area (c)	2.242	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ceanothus oliganthus var. sorediatus	leaf_size	2.242267163	cm2
120	Cercocarpus betuloides var. betuloides	Blade area (c)	1.414	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cercocarpus betuloides var. betuloides	leaf_size	1.414471093	cm2
121	Clematis lasiantha	Blade area (c)	6.250	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Clematis lasiantha	leaf_size	6.250468858	cm2
122	Cornus glabrata	Blade area (c)	14.507	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cornus glabrata	leaf_size	14.5065625	cm2
123	Cornus sericea ssp. sericea	Blade area (c)	21.916	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cornus sericea ssp. sericea	leaf_size	21.91629603	cm2
124	Corylus cornuta var. californica	Blade area (c)	33.213	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Corylus cornuta var. californica	leaf_size	33.21333333	cm2
125	Dirca occidentalis	Blade area (c)	12.042	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Dirca occidentalis	leaf_size	12.0422475	cm2
126	Eriodictyon californicum	Blade area (c)	9.373	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Eriodictyon californicum	leaf_size	9.373306944	cm2
127	Eriophyllum confertiflorum var. confertiflorum	Blade area (c)	0.169	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Eriophyllum confertiflorum var. confertiflorum	leaf_size	0.168663216	cm2
128	Heteromeles arbutifolia	Blade area (c)	13.944	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Heteromeles arbutifolia	leaf_size	13.94360824	cm2
129	Holodiscus discolor	Blade area (c)	8.308	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Holodiscus discolor	leaf_size	8.30808125	cm2
130	Juglans californica var. hindsii	Blade area (c)	18.441	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Juglans californica var. hindsii	leaf_size	18.44087121	cm2
131	Lepechinia calycina	Blade area (c)	12.185	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Lepechinia calycina	leaf_size	12.18466559	cm2
132	Lonicera hispidula var. vacillans	Blade area (c)	6.280	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Lonicera hispidula var. vacillans	leaf_size	6.280271421	cm2
133	Lotus scoparius var. scoparius	Blade area (c)	0.050	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Lotus scoparius	leaf_size	0.049993968	cm2
134	Mimulus aurantiacus	Blade area (c)	2.305	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Mimulus aurantiacus	leaf_size	2.30549623	cm2
135	Oemleria cerasiformis	Blade area (c)	11.702	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Oemleria cerasiformis	leaf_size	11.70188186	cm2
136	Populus balsamifera ssp. trichocarpa	Blade area (c)	27.746	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Populus balsamifera ssp. trichocarpa	leaf_size	27.74644444	cm2
137	Prunus ilicifolia ssp. ilicifolia	Blade area (c)	6.845	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Prunus ilicifolia ssp. ilicifolia	leaf_size	6.844612571	cm2
138	Pseudotsuga menziesii var. menziesii	Blade area (c)	0.275	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Pseudotsuga menziesii var. menziesii	leaf_size	0.275313007	cm2
139	Quercus agrifolia var. agrifolia	Blade area (c)	11.122	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus agrifolia var. agrifolia	leaf_size	11.12246861	cm2
140	Quercus douglasii	Blade area (c)	10.350	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus douglasii	leaf_size	10.35036514	cm2
141	Quercus durata var. durata	Blade area (c)	3.331	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus durata var. durata	leaf_size	3.3310494	cm2
142	Quercus kelloggii	Blade area (c)	43.673	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus kelloggii	leaf_size	43.6725	cm2
143	Quercus lobata	Blade area (c)	24.856	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus lobata	leaf_size	24.85586988	cm2
144	Rhamnus californica ssp. californica	Blade area (c)	10.744	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rhamnus californica ssp. californica	leaf_size	10.74385434	cm2
145	Rhamnus crocea	Blade area (c)	1.159	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rhamnus crocea	leaf_size	1.159353368	cm2
146	Ribes californicum var. californicum	Blade area (c)	2.838	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes californicum var. californicum	leaf_size	2.838049142	cm2
147	Ribes divaricatum var. pubiflorum	Blade area (c)	11.981	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes divaricatum var. pubiflorum	leaf_size	11.98083333	cm2
148	Ribes malvaceum var. malvaceum	Blade area (c)	12.405	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes malvaceum var. malvaceum	leaf_size	12.40525	cm2
149	Ribes sanguineum var. glutinosum	Blade area (c)	32.958	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes sanguineum var. glutinosum	leaf_size	32.95775873	cm2
150	Rosa californica	Blade area (c)	2.486	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rosa californica	leaf_size	2.486005708	cm2
151	Rosa spithamea	Blade area (c)	1.660	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rosa spithamea	leaf_size	1.659646154	cm2
152	Rubus parviflorus	Blade area (c)	152.573	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rubus parviflorus	leaf_size	152.573375	cm2
153	Rubus ursinus	Blade area (c)	17.935	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rubus ursinus	leaf_size	17.93475	cm2
154	Salix lasiolepis	Blade area (c)	19.690	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Salix lasiolepis	leaf_size	19.68963333	cm2
155	Salix lucida ssp. lasiandra	Blade area (c)	19.749	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Salix lucida ssp. lasiandra	leaf_size	19.74870966	cm2
156	Sambucus mexicana	Blade area (c)	22.931	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Sambucus mexicana	leaf_size	22.93086905	cm2
157	Sequoia sempervirens	Blade area (c)	0.246	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Sequoia sempervirens	leaf_size	0.245968029	cm2
158	Solanum umbelliferum	Blade area (c)	2.016	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Solanum umbelliferum	leaf_size	2.015985893	cm2
159	Symphoricarpos albus var. laevigatus	Blade area (c)	5.188	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Symphoricarpos albus var. laevigatus	leaf_size	5.18768189	cm2
160	Symphoricarpos mollis	Blade area (c)	5.004	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Symphoricarpos mollis	leaf_size	5.003646077	cm2
161	Toxicodendron diversilobum	Blade area (c)	10.530	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Toxicodendron diversilobum	leaf_size	10.53019346	cm2
162	Umbellularia californica	Blade area (c)	16.152	cm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Umbellularia californica	leaf_size	16.15197838	cm2
163	Acer macrophyllum	Specific leaf area	29.548	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Acer macrophyllum	specific_leaf_area	295.4804733	cm2 g-1
164	Acer negundo var. californicum	Specific leaf area	26.353	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Acer negundo var. californicum	specific_leaf_area	263.5345059	cm2 g-1
165	Adenostoma fasciculatum	Specific leaf area	5.722	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Adenostoma fasciculatum	specific_leaf_area	57.21740832	cm2 g-1
166	Aesculus californica	Specific leaf area	18.272	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Aesculus californica	specific_leaf_area	182.7223471	cm2 g-1
167	Alnus rhombifolia	Specific leaf area	28.767	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Alnus rhombifolia	specific_leaf_area	287.6674493	cm2 g-1
168	Amelanchier utahensis	Specific leaf area	10.022	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Amelanchier utahensis	specific_leaf_area	100.2242295	cm2 g-1
169	Arbutus menziesii	Specific leaf area	8.346	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Arbutus menziesii	specific_leaf_area	83.45616868	cm2 g-1
170	Artemisia californica	Specific leaf area	11.141	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Artemisia californica	specific_leaf_area	111.4051714	cm2 g-1
171	Baccharis pilularis	Specific leaf area	12.631	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Baccharis pilularis	specific_leaf_area	126.3093307	cm2 g-1
172	Ceanothus cuneatus var. cuneatus	Specific leaf area	4.464	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ceanothus cuneatus var. cuneatus	specific_leaf_area	44.64206342	cm2 g-1
173	Ceanothus oliganthus var. sorediatus	Specific leaf area	7.800	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ceanothus oliganthus var. sorediatus	specific_leaf_area	78.00013597	cm2 g-1
174	Cercocarpus betuloides var. betuloides	Specific leaf area	7.052	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cercocarpus betuloides var. betuloides	specific_leaf_area	70.5244915	cm2 g-1
175	Clematis lasiantha	Specific leaf area	14.505	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Clematis lasiantha	specific_leaf_area	145.0501996	cm2 g-1
176	Cornus glabrata	Specific leaf area	24.647	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cornus glabrata	specific_leaf_area	246.4654003	cm2 g-1
177	Cornus sericea ssp. sericea	Specific leaf area	25.043	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cornus sericea ssp. sericea	specific_leaf_area	250.426336	cm2 g-1
178	Corylus cornuta var. californica	Specific leaf area	30.232	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Corylus cornuta var. californica	specific_leaf_area	302.3202387	cm2 g-1
179	Dirca occidentalis	Specific leaf area	23.192	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Dirca occidentalis	specific_leaf_area	231.9230653	cm2 g-1
180	Eriodictyon californicum	Specific leaf area	4.767	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Eriodictyon californicum	specific_leaf_area	47.67460249	cm2 g-1
181	Eriophyllum confertiflorum var. confertiflorum	Specific leaf area	13.371	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Eriophyllum confertiflorum var. confertiflorum	specific_leaf_area	133.7084401	cm2 g-1
182	Heteromeles arbutifolia	Specific leaf area	6.156	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Heteromeles arbutifolia	specific_leaf_area	61.5551084	cm2 g-1
183	Holodiscus discolor	Specific leaf area	30.857	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Holodiscus discolor	specific_leaf_area	308.56738	cm2 g-1
184	Juglans californica var. hindsii	Specific leaf area	43.186	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Juglans californica var. hindsii	specific_leaf_area	431.8641223	cm2 g-1
185	Lepechinia calycina	Specific leaf area	12.031	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Lepechinia calycina	specific_leaf_area	120.3060076	cm2 g-1
186	Lonicera hispidula var. vacillans	Specific leaf area	16.396	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Lonicera hispidula var. vacillans	specific_leaf_area	163.964229	cm2 g-1
187	Lotus scoparius var. scoparius	Specific leaf area	8.956	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Lotus scoparius	specific_leaf_area	89.56297463	cm2 g-1
188	Mimulus aurantiacus	Specific leaf area	7.187	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Mimulus aurantiacus	specific_leaf_area	71.87446083	cm2 g-1
189	Oemleria cerasiformis	Specific leaf area	17.137	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Oemleria cerasiformis	specific_leaf_area	171.3715115	cm2 g-1
190	Populus balsamifera ssp. trichocarpa	Specific leaf area	17.696	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Populus balsamifera ssp. trichocarpa	specific_leaf_area	176.959606	cm2 g-1
191	Prunus ilicifolia ssp. ilicifolia	Specific leaf area	6.979	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Prunus ilicifolia ssp. ilicifolia	specific_leaf_area	69.79041536	cm2 g-1
192	Pseudotsuga menziesii var. menziesii	Specific leaf area	12.797	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Pseudotsuga menziesii var. menziesii	specific_leaf_area	127.9655721	cm2 g-1
193	Quercus agrifolia var. agrifolia	Specific leaf area	6.603	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus agrifolia var. agrifolia	specific_leaf_area	66.03314423	cm2 g-1
194	Quercus douglasii	Specific leaf area	7.492	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus douglasii	specific_leaf_area	74.92223504	cm2 g-1
195	Quercus durata var. durata	Specific leaf area	7.579	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus durata var. durata	specific_leaf_area	75.79257998	cm2 g-1
196	Quercus kelloggii	Specific leaf area	11.190	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus kelloggii	specific_leaf_area	111.8962685	cm2 g-1
197	Quercus lobata	Specific leaf area	11.479	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus lobata	specific_leaf_area	114.7942761	cm2 g-1
198	Rhamnus californica ssp. californica	Specific leaf area	14.044	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rhamnus californica ssp. californica	specific_leaf_area	140.4425908	cm2 g-1
199	Rhamnus crocea	Specific leaf area	9.998	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rhamnus crocea	specific_leaf_area	99.97552911	cm2 g-1
200	Ribes californicum var. californicum	Specific leaf area	22.027	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes californicum var. californicum	specific_leaf_area	220.2705446	cm2 g-1
201	Ribes divaricatum var. pubiflorum	Specific leaf area	34.585	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes divaricatum var. pubiflorum	specific_leaf_area	345.8460195	cm2 g-1
202	Ribes malvaceum var. malvaceum	Specific leaf area	20.393	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes malvaceum var. malvaceum	specific_leaf_area	203.9301665	cm2 g-1
203	Ribes sanguineum var. glutinosum	Specific leaf area	32.481	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes sanguineum var. glutinosum	specific_leaf_area	324.8097073	cm2 g-1
204	Rosa californica	Specific leaf area	21.903	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rosa californica	specific_leaf_area	219.0257853	cm2 g-1
205	Rosa spithamea	Specific leaf area	25.278	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rosa spithamea	specific_leaf_area	252.7762676	cm2 g-1
206	Rubus parviflorus	Specific leaf area	44.936	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rubus parviflorus	specific_leaf_area	449.3613311	cm2 g-1
207	Rubus ursinus	Specific leaf area	28.920	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rubus ursinus	specific_leaf_area	289.1987828	cm2 g-1
208	Salix lasiolepis	Specific leaf area	12.873	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Salix lasiolepis	specific_leaf_area	128.7254204	cm2 g-1
209	Salix lucida ssp. lasiandra	Specific leaf area	19.775	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Salix lucida ssp. lasiandra	specific_leaf_area	197.7459383	cm2 g-1
210	Sambucus mexicana	Specific leaf area	10.396	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Sambucus mexicana	specific_leaf_area	103.9559535	cm2 g-1
211	Sequoia sempervirens	Specific leaf area	11.019	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Sequoia sempervirens	specific_leaf_area	110.1885352	cm2 g-1
212	Solanum umbelliferum	Specific leaf area	16.136	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Solanum umbelliferum	specific_leaf_area	161.3583009	cm2 g-1
213	Symphoricarpos albus var. laevigatus	Specific leaf area	35.695	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Symphoricarpos albus var. laevigatus	specific_leaf_area	356.9494625	cm2 g-1
214	Symphoricarpos mollis	Specific leaf area	36.559	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Symphoricarpos mollis	specific_leaf_area	365.5852275	cm2 g-1
215	Toxicodendron diversilobum	Specific leaf area	22.631	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Toxicodendron diversilobum	specific_leaf_area	226.3093795	cm2 g-1
216	Umbellularia californica	Specific leaf area	10.754	mm2 mg-1	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Umbellularia californica	specific_leaf_area	107.5433282	cm2 g-1
217	Acer macrophyllum	Leaf Nmass	2.648	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Acer macrophyllum	leaf_Nmass	2.648282839	%
218	Acer negundo var. californicum	Leaf Nmass	2.476	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Acer negundo var. californicum	leaf_Nmass	2.476079805	%
219	Adenostoma fasciculatum	Leaf Nmass	1.019	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Adenostoma fasciculatum	leaf_Nmass	1.018877691	%
220	Aesculus californica	Leaf Nmass	2.057	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Aesculus californica	leaf_Nmass	2.057037097	%
221	Alnus rhombifolia	Leaf Nmass	3.364	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Alnus rhombifolia	leaf_Nmass	3.364303308	%
222	Amelanchier utahensis	Leaf Nmass	2.386	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Amelanchier utahensis	leaf_Nmass	2.385534358	%
223	Arbutus menziesii	Leaf Nmass	1.217	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Arbutus menziesii	leaf_Nmass	1.216582259	%
224	Artemisia californica	Leaf Nmass	1.883	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Artemisia californica	leaf_Nmass	1.88279823	%
225	Baccharis pilularis	Leaf Nmass	2.252	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Baccharis pilularis	leaf_Nmass	2.252052108	%
226	Ceanothus cuneatus var. cuneatus	Leaf Nmass	1.471	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ceanothus cuneatus var. cuneatus	leaf_Nmass	1.470755795	%
227	Ceanothus oliganthus var. sorediatus	Leaf Nmass	1.575	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ceanothus oliganthus var. sorediatus	leaf_Nmass	1.575450982	%
