id	taxon	N	country	state	county	place.name	collection	accession	notes	created.by	created.date	modified.by	modified.date	source.family	source.taxon	source.genus	source.species	source.subspp.taxa	source.original.location	collection.type	collection.date	source.N	sun_shade	RefFile	RefRecord	Notes	blade_area_cm2	specific_leaf_area_cm2_g-1	blade_length_cm	blade_width_cm	leaf_thickness_micron	Num_lflets
229	Cercocarpus intricatus	3	USA	CA/AZ?	NA	Mojave Desert	UCJEP	718277		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus intricatus	Cercocarpus	intricatus		Mojave Desert	herbarium	02/02/01	3	Sun	LfDat01.xls/UCJEP.2001	52		0.07	24.86	0.50	0.10		1
230	Cercocarpus intricatus	3	USA	CA	San Bernardino	NA	UCJEP	1334687		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus intricatus	Cercocarpus	intricatus		San Bernardino Co	herbarium	02/02/01	3	Sun	LfDat01.xls/UCJEP.2001	51		0.06	29.87	0.57	0.10		1
231	Cercocarpus ledifolius	3	USA	CA	Alpine	NA	UCJEP	1713698		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus ledifolius	Cercocarpus	ledifolius		Alpin Co, CA	herbarium	02/07/01	3	Sun	LfDat01.xls/UCJEP.2001	79		0.55	23.41	2.27	0.70		1
232	Cercocarpus ledifolius	3	USA	CA?	NA	NA	UCJEP	12141		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus ledifolius	Cercocarpus	ledifolius		CA ??	herbarium	02/07/01	3	Sun	LfDat01.xls/UCJEP.2001	80		1.35	24.11	2.17	0.77		1
233	Cercocarpus ledifolius	3	USA	CA	Glenn	NA	UCJEP	M001177		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus ledifolius	Cercocarpus	ledifolius		Celenn Co., CA	herbarium	02/07/01	3	Sun	LfDat01.xls/UCJEP.2001	78				2.37	0.70		1
234	Cercocarpus ledifolius	3	USA	CA	Inyo	NA	UCJEP	859419		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus ledifolius	Cercocarpus	ledifolius		Inyo Co., CA	herbarium	02/02/01	3	Sun	LfDat01.xls/UCJEP.2001	55		1.33	19.46	2.00	0.77		1
235	Cercocarpus ledifolius	3	USA	CA	Lassen	NA	UCJEP	764012		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus ledifolius	Cercocarpus	ledifolius		Lassen Co.	herbarium	02/02/01	3	Sun	LfDat01.xls/UCJEP.2001	56		0.95	22.36	1.87	0.67		1
236	Cercocarpus ledifolius	3	USA	CA	Mono	NA	UCJEP	1334690		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus ledifolius	Cercocarpus	ledifolius		Mono Co.	herbarium	02/02/01	3	Sun	LfDat01.xls/UCJEP.2001	58		0.66	29.14	1.67	0.70		1
237	Cercocarpus ledifolius	3	USA	CA	Mono	NA	UCJEP	M297297		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus ledifolius	Cercocarpus	ledifolius		Mono Co.	herbarium	02/02/01	3	Sun	LfDat01.xls/UCJEP.2001	54		0.37	27.83	1.60	0.57		1
238	Cercocarpus ledifolius	3	USA	UT	NA	Old Cove Fort	UCJEP	859409		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus ledifolius	Cercocarpus	ledifolius		Old Cove Fort, Utah	herbarium	02/07/01	3	Sun	LfDat01.xls/UCJEP.2001	77		0.75	22.18	2.07	0.57		1
239	Cercocarpus ledifolius	3	USA	CA	Plumas	NA	UCJEP	M127904		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus ledifolius	Cercocarpus	ledifolius		Plumas Co.	herbarium	02/02/01	3	Sun	LfDat01.xls/UCJEP.2001	57		0.77	23.72	1.97	0.60		1
240	Cercocarpus ledifolius	3	USA	UT	NA	Wahsatch Mts	UCJEP	136526		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus ledifolius	Cercocarpus	ledifolius		Wahsatch Mts, Utah	herbarium	02/07/01	3	Sun	LfDat01.xls/UCJEP.2001	76				2.73	0.67		1
241	Cercocarpus minutiflorus	4	NA	NA	NA	NA	UCBG	54.0829		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus minutiflorus	Cercocarpus	minutiflorus			botanic garden	02/15/01	4	Sun	LfDat01.xls/UCBG.2001	9		3.01	87.45	2.13	1.67		1
242	Cercocarpus mojadensis	3	Mexico	Hidalgo	NA	NA	UCJEP	M306031		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus mojadensis	Cercocarpus	mojadensis		Hidalgo, Mexico	herbarium	02/07/01	3	Sun	LfDat01.xls/UCJEP.2001	67		4.06	24.72	3.37	2.03		1
243	Cercocarpus mojadensis	3	Mexico	NA	NA	NA	UCJEP	402734		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus mojadensis	Cercocarpus	mojadensis		Mexico	herbarium	02/07/01	3	Sun	LfDat01.xls/UCJEP.2001	68		1.96	23.79	1.97	1.63		1
244	Cercocarpus mojadensis	3	Mexico	NA	NA	San Lorenzo Canyon	UCJEP	136930		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus mojadensis	Cercocarpus	mojadensis		San Lorenzo Canyon, Mexico	herbarium	02/07/01	3	Sun	LfDat01.xls/UCJEP.2001	69		3.46	33.74	2.93	2.13		1
245	Cercocarpus mojadensis	3	 Mexico	Oaxaca	NA	NA	UCJEP	M072188		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus mojadensis	Cercocarpus	mojadensis		State of Oaxaca, Mexico	herbarium	02/07/01	3	Sun	LfDat01.xls/UCJEP.2001	70			27.19	2.90	1.60		1
246	Cercocarpus mojadensis	3	 Mexico	Tula	NA	NA	UCJEP	M231826		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus mojadensis	Cercocarpus	mojadensis		Tula, Mexico	herbarium	02/07/01	3	Sun	LfDat01.xls/UCJEP.2001	66		2.72	32.43	2.37	1.57		1
247	Cercocarpus montanus var. glaber	4	NA	NA	NA	NA	WPA	693-55*A		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus montanus var. glaber	Cercocarpus	montanus	var._glaber		botanic garden	09/07/01	4	Sun	LfDat01.xls/WPA.2001	20		2.27	64.84	1.87	1.47		1
248	Cercocarpus montanus var. glaber	5	NA	NA	NA	NA	WPA	693-55*A		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus montanus var. glaber	Cercocarpus	montanus	var._glaber		botanic garden	09/07/01	5	Sun	LfDat01.xls/WPA.2001	21		3.21	59.43	2.40	1.73		1
249	Cercocarpus montanus var. montanus	3	USA	AZ	Apache	NA	UCJEP	773507		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus montanus var. montanus	Cercocarpus	montanus	var._montanus	Apache Co., AZ	herbarium	02/07/01	3	Sun	LfDat01.xls/UCJEP.2001	61	var name added by default	2.09	74.41	2.40	1.63		1
250	Cercocarpus montanus var. montanus	3	NA	E. Lincoln	NA	NA	UCJEP	898840		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus montanus var. montanus	Cercocarpus	montanus	var._montanus	E. Lincoln Co.	herbarium	02/07/01	3	Sun	LfDat01.xls/UCJEP.2001	65	var name added by default	1.62	59.36	1.80	1.53		1
251	Cercocarpus montanus var. montanus	3	USA	UT	Utah	NA	UCJEP	315244		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus montanus var. montanus	Cercocarpus	montanus	var._montanus	Utah Co, Utah	herbarium	02/07/01	3	Sun	LfDat01.xls/UCJEP.2001	62	var name added by default	1.20	58.97	1.53	1.13		1
252	Cercocarpus montanus var. montanus	3	USA	WA/UT?	NA	NA	UCJEP	1566600		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus montanus var. montanus	Cercocarpus	montanus	var._montanus	Washington Co, Utah	herbarium	02/07/01	3	Sun	LfDat01.xls/UCJEP.2001	63	var name added by default	2.16	75.79	2.17	1.83		1
253	Cercocarpus montanus var. montanus	3	USA	WA/UT?	NA	NA	UCJEP	1566146		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus montanus var. montanus	Cercocarpus	montanus	var._montanus	Washington Co, Utah	herbarium	02/07/01	3	Sun	LfDat01.xls/UCJEP.2001	64	var name added by default	2.39	59.92	2.10	1.47		1
254	Cercocarpus traskiae	5	NA	NA	NA	NA	UCBG	56.0907		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus traskiae	Cercocarpus	traskiae			botanic garden	02/15/01	5	Sun	LfDat01.xls/UCBG.2001	10		5.03	114.90	2.73	2.23		1
255	Cercocarpus traskiae	3	NA	NA	NA	NA	UCBG	79.0578		D. Ackerly	7/13/06			ROSACEAE	Cercocarpus traskiae	Cercocarpus	traskiae			botanic garden	07/24/01	3	Sun	LfDat01.xls/UCBG.2001	159		9.48	50.11	4.17	2.83		1
256	Chaenomeles cathayensis	3	NA	NA	NA	NA	WPA	28-67*A		D. Ackerly	7/13/06			ROSACEAE	Chaenomeles cathayensis	Chaenomeles	cathayensis			botanic garden	09/07/01	3	Sun	LfDat01.xls/WPA.2001	22		24.73	78.94	10.30	3.33		1
257	Chaenomeles japonica	3	NA	NA	NA	NA	UCBG	93.0708		D. Ackerly	7/13/06			ROSACEAE	Chaenomeles japonica	Chaenomeles	japonica			botanic garden	07/24/01	3	Shade	LfDat01.xls/UCBG.2001	160	shade	8.30	179.73	3.93	2.80		1
258	Chaenomeles speciosa	4	NA	NA	NA	NA	UCBG	90.1227		D. Ackerly	7/13/06			ROSACEAE	Chaenomeles speciosa	Chaenomeles	speciosa			botanic garden	06/19/01	4	Sun	LfDat01.xls/UCBG.2001	68		8.26	95.19	5.07	3.00		1
259	Chamaebatiaria millefolium	28	NA	NA	NA	NA	UCBG	89.1907		D. Ackerly	7/13/06			ROSACEAE	Chamaebatiaria millefolium	Chamaebatiaria	millefolium			botanic garden	07/24/01	28	Sun	LfDat01.xls/UCBG.2001	161		0.25	223.72	0.73	0.27		26
260	Chamaebatiaria millefolium	3	USA	ID	Butte	NA	UCJEP	1375901		D. Ackerly	7/13/06			ROSACEAE	Chamaebatiaria millefolium	Chamaebatiaria	millefolium		Butte Co., Id	herbarium	01/26/01	3	Sun	LfDat01.xls/UCJEP.2001	19		0.34	88.78	0.18	0.05		36
261	Chamaebatiaria millefolium	3	USA	NA	Coconino	NA	UCJEP	537187		D. Ackerly	7/13/06			ROSACEAE	Chamaebatiaria millefolium	Chamaebatiaria	millefolium		Coconino Co.	herbarium	01/26/01	3	Sun	LfDat01.xls/UCJEP.2001	20		0.91	82.41	0.28	0.07		33
262	Chamaebatiaria millefolium	3	USA	CA	Inyo	NA	UCJEP	44973		D. Ackerly	7/13/06			ROSACEAE	Chamaebatiaria millefolium	Chamaebatiaria	millefolium		Inyo Co, CA	herbarium	01/26/01	3	Sun	LfDat01.xls/UCJEP.2001	21		4.22	177.10	0.80	0.23		34
263	Chamaebatiaria millefolium	3	USA	CA	Mariposa	NA	UCJEP	M037213		D. Ackerly	7/13/06			ROSACEAE	Chamaebatiaria millefolium	Chamaebatiaria	millefolium		Modoc Ntl Forest	herbarium	01/26/01	3	Sun	LfDat01.xls/UCJEP.2001	22		1.43	82.13	0.40	0.12		34
264	Chamaebatiaria millefolium	3	USA	CA	Siskiyou	NA	UCJEP	1539999		D. Ackerly	7/13/06			ROSACEAE	Chamaebatiaria millefolium	Chamaebatiaria	millefolium		Siskiyou Co, CA	herbarium	01/26/01	3	Sun	LfDat01.xls/UCJEP.2001	23		1.13	117.68	0.83	0.23		36
265	Chiranthodendron pentadactylon	3	Mexico	Chiapas	NA	NA	UCBG	81.1223		D. Ackerly	7/13/06			MALVACEAE	Chiranthodendron pentadactylon	Chiranthodendron	pentadactylon		Chiapas	botanic garden	3/23/01	3	Sun	LfDat01.xls/UCBG.2001	49		214.4833333	75.15797834	16.63	15.70		1
266	Chiranthodendron pentadactylon	3	Mexico	Chiapas	NA	NA	UCBG	76.2105		D. Ackerly	7/13/06			MALVACEAE	Chiranthodendron pentadactylon	Chiranthodendron	pentadactylon		Chiapas	botanic garden	3/23/01	3	Sun	LfDat01.xls/UCBG.2001	53		343.5966667	102.1200923	19.87	20.60		1
267	Cneoridium dumosum	5	NA	NA	NA	NA	UCBG	64.1066		D. Ackerly	7/13/06			RUTACEAE	Cneoridium dumosum	Cneoridium	dumosum			botanic garden	2/15/01	5	Sun	LfDat01.xls/UCBG.2001	7		0.484	58.17307692	2.13	0.32		1
268	Colletia cruciata	3	NA	NA	NA	NA	SABG	1		D. Ackerly	7/13/06			RHAMNACEAE	Colletia cruciata	Colletia	cruciata			botanic garden	00xxxx	3	Sun	LfDat00.xls/SABG.2000	19	spines	2.09	61.86	1.97	0.57	1360.00	0
269	Colletia cruciata	3	NA	NA	NA	NA	SABG	2		D. Ackerly	7/13/06			RHAMNACEAE	Colletia cruciata	Colletia	cruciata			botanic garden	00xxxx	3	Sun	LfDat00.xls/SABG.2000	21	spines	2.37	56.34	2.63	0.27		0
270	Colletia cruciata	2	NA	NA	NA	NA	SABG	2		D. Ackerly	7/13/06			RHAMNACEAE	Colletia cruciata	Colletia	cruciata			botanic garden	00xxxx	2	Sun	LfDat00.xls/SABG.2000	20	leaves	0.06	36.00	0.35	0.13		1
271	Colletia cruciata	2	NA	NA	NA	NA	SABG	1		D. Ackerly	7/13/06			RHAMNACEAE	Colletia cruciata	Colletia	cruciata			botanic garden	00xxxx	2	Sun	LfDat00.xls/SABG.2000	18	leaves	0.08	32.07	0.23	0.07		1
272	Colletia ferox	1	NA	NA	NA	NA	UCJEP	1		D. Ackerly	7/13/06			RHAMNACEAE	Colletia ferox	Colletia	ferox			herbarium	00xxxx	1	Sun	LfDat00.xls/UCJEP.2000	6					0.20		1
273	Colletia paradoxa	3	NA	NA	NA	NA	UCBG	xx		D. Ackerly	7/13/06			RHAMNACEAE	Colletia paradoxa	Colletia	paradoxa			botanic garden	00xxxx	3	Sun	LfDat00.xls/UCBG.2000	18	leaves	0.11	120.00	0.63	0.17		1
274	Colletia paradoxa	4	NA	NA	NA	NA	UCBG	xx		D. Ackerly	7/13/06			RHAMNACEAE	Colletia paradoxa	Colletia	paradoxa			botanic garden	00xxxx	4	Sun	LfDat00.xls/UCBG.2000	21	spines	1.41	22.19	1.85	0.95	1740.00	0
275	Colletia spartioides	1	NA	NA	NA	NA	UCJEP	1		D. Ackerly	7/13/06			RHAMNACEAE	Colletia spartioides	Colletia	spartioides			herbarium	00xxxx	1	Sun	LfDat00.xls/UCJEP.2000	7							1
276	Colletia spinosa	4	NA	NA	NA	NA	UCBG	xx		D. Ackerly	7/13/06			RHAMNACEAE	Colletia spinosa	Colletia	spinosa			botanic garden	00xxxx	4	Sun	LfDat00.xls/UCBG.2000	19	leaves	0.11	76.10	0.55	0.23	592.32	1
277	Colletia spinosa	3	NA	NA	NA	NA	UCBG	xx		D. Ackerly	7/13/06			RHAMNACEAE	Colletia spinosa	Colletia	spinosa			botanic garden	00xxxx	3	Sun	LfDat00.xls/UCBG.2000	20	spines	0.62	15.03	2.10	0.40		0
278	Colletia ulicina		NA	NA	NA	NA	UCBG	49.2007		D. Ackerly	7/13/06			RHAMNACEAE	Colletia ulicina	Colletia	ulicina			botanic garden	07/24/01		Sun	LfDat01.xls/UCBG.2001	162	spines		48.90		0.10		1
279	Colletia ulicina	4	NA	NA	NA	NA	SABG			D. Ackerly	7/13/06			RHAMNACEAE	Colletia ulicina	Colletia	ulicina			botanic garden	00xxxx	4	Sun	LfDat00.xls/SABG.2000	22	spines	0.40	38.14	0.50	0.10	692.33	0
280	Comarostaphylis arbutoides	3	NA	NA	NA	NA	UCBG	76.2119		D. Ackerly	7/13/06			ERICACEAE	Comarostaphylos arbutoides	Comarostaphylos	arbutoides			botanic garden	11/20/01	3	Sun	LfDat01.xls/UCBG11.20.01	27		20.72	50.31				1
281	Comarostaphylis arbutoides	4	NA	NA	NA	NA	UCBG	90.1823		D. Ackerly	7/13/06			ERICACEAE	Comarostaphylos arbutoides	Comarostaphylos	arbutoides			botanic garden	11/20/01	4	Sun	LfDat01.xls/UCBG11.20.01	28		14.93	35.14				1
282	Comarostaphylis discolor ssp. arbutoides	3	NA	NA	NA	NA	SABG	86-0121		D. Ackerly	7/13/06			ERICACEAE	Comarostaphylos discolor ssp. arbutoides	Comarostaphylos	discolor	ssp._arbutoides		botanic garden	11/02/01	3	Sun	Strybing110201.xls/data	21	lvs entire	16.61	58.91				1
283	Comarostaphylis discolor ssp. discolor	3	NA	NA	NA	NA	SABG	86-0121		D. Ackerly	7/13/06			ERICACEAE	Comarostaphylos discolor ssp. discolor	Comarostaphylos	discolor	ssp._discolor		botanic garden	11/02/01	3	Sun	Strybing110201.xls/data	20	lvs serrate, ssp added	18.05	51.78				1
284	Comarostaphylis diversifolia ssp. diversifolia	3	NA	NA	NA	NA	SABG	95-0634		D. Ackerly	7/13/06			ERICACEAE	Comarostaphylos diversifolia	Comarostaphylos	diversifolia			botanic garden	11/02/01	3	Sun	Strybing110201.xls/data	22		11.57	33.42				1
285	Comarostaphylis diversifolia ssp. planifolia	4	NA	NA	NA	NA	SABG	77-0217		D. Ackerly	7/13/06			ERICACEAE	Comarostaphylos diversifolia var. planifolia	Comarostaphylos	diversifolia	var._planifolia		botanic garden	11/02/01	4	Sun	Strybing110201.xls/data	23		12.92	43.44				1
286	Comarostaphylis diversifolia ssp. planifolia	4	NA	NA	NA	NA	SABG	77-0217		D. Ackerly	7/13/06			ERICACEAE	Comarostaphylos diversifolia var. planifolia	Comarostaphylos	diversifolia	var._planifolia		botanic garden	11/02/01	4	Sun	Strybing110201.xls/data	24		10.57	37.64				1
287	Comarostaphylis gleucascaus	4	NA	NA	NA	NA	UCBG	68.01		D. Ackerly	7/13/06			ERICACEAE	Comarostaphylos gleucascaus	Comarostaphylos	gleucascaus			botanic garden	11/20/01	4	Sun	LfDat01.xls/UCBG11.20.01	29		9.03	67.86				1
288	Comarostaphylis polifolia	4	NA	NA	NA	NA	SABG	69-0276		D. Ackerly	7/13/06			ERICACEAE	Comarostaphylos polifolia	Comarostaphylos	polifolia			botanic garden	11/02/01	4	Sun	Strybing110201.xls/data	25		9.17	95.75				1
289	Cotinus coggyria		Turkey	NA	NA	NA	UCJEP	1592910		D. Ackerly	7/13/06			ANACARDIACEAE	Cotinus coggyria	Cotinus	coggyria		Turkey	herbarium	2/20/03		Sun	LfDat01/UCJEP.2003	4			92.35				1
290	Cotinus coggyria	1	USSR	NA	NA	NA	UCJEP	1538067		D. Ackerly	7/13/06			ANACARDIACEAE	Cotinus coggyria	Cotinus	coggyria		USSR	herbarium	2/20/03	1	Sun	LfDat01/UCJEP.2003	3	average leaf 2x bigger than this one	11.00	117.52				1
291	Cotoneaster acuminatus	3	NA	NA	NA	NA	WPA	354-55*A		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster acuminatus	Cotoneaster	acuminatus			botanic garden	09/07/01	3	Shade	LfDat01.xls/WPA.2001	23	shade	14.26	158.47	6.20	3.30		1
292	Cotoneaster aff.Pannosus	7	 China	Yunnan	NA	NA	UCBG	80.0771		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster aff.Pannosus	Cotoneaster	aff.Pannosus		Yunnan Prov., China	botanic garden	02/15/01	7	Sun	LfDat01.xls/UCBG.2001	13		0.94	47.62	1.43	0.87		1
293	Cotoneaster affinus var. bacillaris	3	NA	NA	NA	NA	WPA	315-52*A		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster affinus var. bacillaris	Cotoneaster	affinus	var._bacillaris		botanic garden	09/07/01	3	Sun	LfDat01.xls/WPA.2001	24		19.73	111.70	6.90	3.73		1
294	Cotoneaster apiculatus	5	NA	NA	NA	NA	UCBG	42.0164		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster apiculatus	Cotoneaster	apiculatus			botanic garden	07/24/01	5	Sun	LfDat01.xls/UCBG.2001	163		0.81	103.86	1.47	0.57		1
295	Cotoneaster bullatus	4	NA	NA	NA	NA	WPA	X-667*B		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster bullatus	Cotoneaster	bullatus			botanic garden	09/07/01	4	Sun	LfDat01.xls/WPA.2001	25		32.84	113.25	10.53	5.00		1
296	Cotoneaster congestus	7	Bhutan	NA	NA	NA	UCBG	74.1044		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster congestus	Cotoneaster	congestus		Bhutan	botanic garden	02/15/01	7	Sun	LfDat01.xls/UCBG.2001	14		0.28	74.52	0.97	0.40		1
297	Cotoneaster franchetii	4	NA	NA	NA	NA	WPA	189-60*A		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster franchetii	Cotoneaster	franchetii			botanic garden	09/07/01	4	Sun	LfDat01.xls/WPA.2001	27		4.33	115.40	3.40	1.67		1
298	Cotoneaster franchetii	3	USA	CA	Alameda	NA	UCJEP	1618193		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster franchetii	Cotoneaster	franchetii		Alameda Co.	herbarium	02/04/01	3	Sun	LfDat01.xls/UCJEP.2001	8		6.03	86.06	5.12	2.35		1
299	Cotoneaster frigida	3	NA	NA	NA	NA	SABG			D. Ackerly	7/13/06			ROSACEAE	Cotoneaster frigida	Cotoneaster	frigida			botanic garden	00xxxx	3	Sun	LfDat00.xls/SABG.2000	11		18.89	89.49			309.28	1
300	Cotoneaster glabratus	5	NA	NA	NA	NA	WPA	757-56*A		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster glabratus	Cotoneaster	glabratus			botanic garden	09/07/01	5	Sun	LfDat01.xls/WPA.2001	29		35.18	125.64	14.23	4.10		1
301	Cotoneaster glaucophyllus var. meiophyllus	4	NA	NA	NA	NA	WPA	321-92*A		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster glaucophyllus var. meiophyllus	Cotoneaster	glaucophyllus	var._meiophyllus		botanic garden	09/07/01	4	Shade	LfDat01.xls/WPA.2001	30	shade	17.00	125.89	6.60	3.70		1
302	Cotoneaster henryanus	4	NA	NA	NA	NA	WPA	531-56*A		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster henryanus	Cotoneaster	henryanus			botanic garden	09/07/01	4	Sun	LfDat01.xls/WPA.2001	31		13.62	100.86	7.90	2.43		1
303	Cotoneaster henryanus	4	NA	NA	NA	NA	WPA	758-56*A		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster henryanus	Cotoneaster	henryanus			botanic garden	09/07/01	4	Sun	LfDat01.xls/WPA.2001	32		15.84	79.18	8.87	2.67		1
304	Cotoneaster horizontalis	6	NA	NA	NA	NA	UCBG	80.1432		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster horizontalis	Cotoneaster	horizontalis			botanic garden	07/24/01	6	Sun	LfDat01.xls/UCBG.2001	165		13.30	1073.62	1.37	1.23		1
305	Cotoneaster horizontalis	4	NA	NA	NA	NA	UCBG	80.1042		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster horizontalis	Cotoneaster	horizontalis			botanic garden	07/24/01	4	Sun	LfDat01.xls/UCBG.2001	164		0.91	191.58	1.20	0.83		1
306	Cotoneaster horizontalis	9	NA	NA	NA	NA	WPA	X-690*A		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster horizontalis	Cotoneaster	horizontalis			botanic garden	09/07/01	9	Sun	LfDat01.xls/WPA.2001	33		0.48	94.23	0.73	0.57		1
307	Cotoneaster hupehensis	4	NA	NA	NA	NA	WPA	990-45*A		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster hupehensis	Cotoneaster	hupehensis			botanic garden	09/07/01	4	Sun	LfDat01.xls/WPA.2001	36		7.20	119.93	4.13	2.27		1
308	Cotoneaster hupehensis	5	NA	NA	NA	NA	WPA	1273-45*A		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster hupehensis	Cotoneaster	hupehensis			botanic garden	09/07/01	5	Shade	LfDat01.xls/WPA.2001	34	shade	4.44	138.90	2.97	1.80		1
309	Cotoneaster lacteus	3	NA	NA	NA	NA	WPA	99-56*A		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster lacteus	Cotoneaster	lacteus			botanic garden	09/07/01	3	Sun	LfDat01.xls/WPA.2001	38		16.53	82.64	6.83	3.42		1
310	Cotoneaster lacteus	4	NA	NA	NA	NA	WPA	225-56*A		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster lacteus	Cotoneaster	lacteus			botanic garden	09/07/01	4	Sun	LfDat01.xls/WPA.2001	37		13.88	74.04	6.47	3.33		1
311	Cotoneaster lacteus	3	NA	NA	NA	NA	SABG			D. Ackerly	7/13/06			ROSACEAE	Cotoneaster lacteus	Cotoneaster	lacteus			botanic garden	00xxxx	3	Sun	LfDat00.xls/SABG.2000	10		16.47	62.84			305.84	1
312	Cotoneaster lacteus	3	USA	CA	Alameda	NA	UCJEP	1614539		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster lacteus	Cotoneaster	lacteus		Alameda Co.	herbarium	02/04/01	3	Sun	LfDat01.xls/UCJEP.2001	7	species recorded as lacteus, changed to match other record	9.05	72.38	8.37	2.90		1
313	Cotoneaster lindleyi	3	NA	NA	NA	NA	WPA	18-46*A		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster lindleyi	Cotoneaster	lindleyi			botanic garden	09/07/01	3	Sun	LfDat01.xls/WPA.2001	39		4.08	101.89	2.67	1.83		1
314	Cotoneaster lucidus	4	NA	NA	NA	NA	WPA	573-57*A		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster lucidus	Cotoneaster	lucidus			botanic garden	09/07/01	4	Sun	LfDat01.xls/WPA.2001	35		10.97	102.00	5.33	2.77		1
315	Cotoneaster microphyllus	7	NA	NA	NA	NA	WPA	1745-56*B		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster microphyllus	Cotoneaster	microphyllus			botanic garden	09/07/01	7	Sun	LfDat01.xls/WPA.2001	40		0.62	120.75	1.17	0.83		1
316	Cotoneaster multiflorus	3	NA	NA	NA	NA	WPA	991-45*A		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster multiflorus	Cotoneaster	multiflorus			botanic garden	09/07/01	3	Sun	LfDat01.xls/WPA.2001	41		8.72	145.27	4.20	2.77		1
317	Cotoneaster nitidus	5	NA	NA	NA	NA	WPA	967-50*A		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster nitidus	Cotoneaster	nitidus			botanic garden	09/07/01	5	Shade	LfDat01.xls/WPA.2001	26	shade	1.44	144.14	1.67	1.00		1
318	Cotoneaster permutatus	5	NA	NA	NA	NA	WPA	81-74*A		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster permutatus	Cotoneaster	permutatus			botanic garden	09/07/01	5	Sun	LfDat01.xls/WPA.2001	42		1.45	144.58	1.97	0.93		1
319	Cotoneaster racemiflorus var. veitchii	4	NA	NA	NA	NA	WPA	19-46*A		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster racemiflorus var. veitchii	Cotoneaster	racemiflorus	var._veitchii		botanic garden	09/07/01	4	Sun	LfDat01.xls/WPA.2001	43		8.25	94.33	4.43	2.77		1
320	Cotoneaster racemiflorus var. veitchii	5	NA	NA	NA	NA	WPA	37-64*A		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster racemiflorus var. veitchii	Cotoneaster	racemiflorus	var._veitchii		botanic garden	09/07/01	5	Sun	LfDat01.xls/WPA.2001	44		7.38	87.89	4.03	2.50		1
321	Cotoneaster rugosus	4	NA	NA	NA	NA	WPA	248-81*A		D. Ackerly	7/13/06			ROSACEAE	Cotoneaster rugosus	Cotoneaster	rugosus			botanic garden	09/07/01	4	Shade	LfDat01.xls/WPA.2001	45	shade	36.62	122.07	12.70	4.07		1
