id	means.id	source	source.id	taxon	trait	dstate	cval	units	country	state	county	place	lat	long
53	5	ackerly04	13	Ceanothus cuneatus var. fascicularis	leaf_size	NA	1.2	cm2	NA	NA	NA	NA	NA	NA
54	12	ackerly04	23	Ceanothus gloriosus var. exaltatus	leaf_size	NA	4.66	cm2	NA	NA	NA	NA	NA	NA
55	33	ackerly04	72	Ceanothus thyrsiflorus	leaf_size	NA	2.16	cm2	NA	NA	NA	NA	NA	NA
56	33	ackerly04	79	Ceanothus thyrsiflorus	leaf_size	NA	2.73	cm2	NA	NA	NA	NA	NA	NA
57	33	ackerly04	76	Ceanothus thyrsiflorus	leaf_size	NA	3.07	cm2	NA	NA	NA	NA	NA	NA
58	16	ackerly04	35	Ceanothus hearstiorum	leaf_size	NA	3.27	cm2	NA	NA	NA	NA	NA	NA
59	31	ackerly04	68	Ceanothus purpureus	leaf_size	NA	3.27	cm2	NA	NA	NA	NA	NA	NA
60	33	ackerly04	80	Ceanothus thyrsiflorus	leaf_size	NA	3.79	cm2	NA	NA	NA	NA	NA	NA
61	1	ackerly04	2	Ceanothus arboreus	leaf_size	NA	23.72	cm2	NA	NA	NA	NA	NA	NA
62	20	ackerly04	45	Ceanothus jepsonii var. jepsonii	leaf_size	NA	1.81	cm2	NA	NA	NA	NA	NA	NA
63	21	ackerly04	46	Ceanothus lemmonii	leaf_size	NA	4.77	cm2	NA	NA	NA	NA	NA	NA
64	23	ackerly04	53	Ceanothus maritimus	leaf_size	NA	0.73	cm2	NA	NA	NA	NA	NA	NA
65	23	ackerly04	48	Ceanothus maritimus	leaf_size	NA	1.01	cm2	NA	NA	NA	NA	NA	NA
66	13	ackerly04	25	Ceanothus gloriosus var. gloriosus	leaf_size	NA	0.95	cm2	NA	NA	NA	NA	NA	NA
67	4	ackerly04	11	Ceanothus cuneatus var. cuneatus	leaf_size	NA	4.82	cm2	NA	NA	NA	NA	NA	NA
68	15	ackerly04	30	Ceanothus griseus	leaf_size	NA	2.84	cm2	NA	NA	NA	NA	NA	NA
69	23	ackerly04	52	Ceanothus maritimus	leaf_size	NA	1.14	cm2	NA	NA	NA	NA	NA	NA
70	23	ackerly04	54	Ceanothus maritimus	leaf_size	NA	0.68	cm2	NA	NA	NA	NA	NA	NA
71	4	ackerly04	8	Ceanothus cuneatus var. cuneatus	leaf_size	NA	0.43	cm2	NA	NA	NA	NA	NA	NA
72	33	ackerly04	74	Ceanothus thyrsiflorus	leaf_size	NA	3.69	cm2	NA	NA	NA	NA	NA	NA
