id	taxon	trait	dstate	cval	units	country	state	county	place.name	lat	long	loc.conf_km	created.by	created.date	modified.by	modified.date	notes	source.taxon	ACCNUM	CARD	source.trait	source.value	source.units	source.notes
750	Ceanothus maritimus	seed_mass		9.445	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus maritimus	BSH-0-2019	2105	seed mass	9.445	mg	
751	Ceanothus megacarpus var. megacarpus	seed_mass		24.008	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus megacarpus var. megacarpus	BSH-0-2020	2107	seed mass	24.008	mg	Undecipherable comment
769	Ceanothus oliganthus var. sorediatus	seed_mass		3.714	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus oliganthus var. sorediatus	BSH-0-2035	2119	seed mass	3.714	mg	
770	Ceanothus oliganthus var. sorediatus	seed_mass		3.048	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus oliganthus var. sorediatus			seed mass	3.048	mg	
752	Ceanothus palmeri	seed_mass		2.115	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus palmeri	BSH-0-2021	2109	seed mass	2.115	mg	
753	Ceanothus papillosus var. papillosus	seed_mass		2.195	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus papillosus var. papillosus	BSH-0-2022	2110	seed mass	2.195	mg	
754	Ceanothus papillosus var. roweanus	seed_mass		2.366	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus papillosus var. roweanus	BSH-0-2025	2111	seed mass	2.366	mg	
755	Ceanothus papillosus var. roweanus	seed_mass		1.7	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus papillosus var. roweanus	BSH-0-2026	2111	seed mass	1.7	mg	
756	Ceanothus papillosus var. roweanus	seed_mass		2.545	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus papillosus var. roweanus	BSH-0-2023	2111	seed mass	2.545	mg	
758	Ceanothus parryi	seed_mass		3.802	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus parryi	BSH-0-2028	2112	seed mass	3.802	mg	
