id	taxon	trait	dstate	cval	units	country	state	county	place.name	lat	long	loc.conf_km	created.by	created.date	modified.by	modified.date	notes	source.taxon	specimen.type	Source	Accession	Date	LvsSampled	leaf.light.env	source.notes	source.notes
12	Ceanothus cuneatus var. fascicularis	leaf_size		0.69	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus cuneatus var. fascicularis	B	UCBG	80.0115	07/24/01	5	Sun		
7	Ceanothus crassifolius	leaf_size		4.45	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus crassifolius	B	UCBG	80.0116	07/24/01	6	Sun		
26	Ceanothus gloriosus var. porrectus	leaf_size		2.80	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus gloriosus var. porrectus	B	UCBG	80.0828	07/24/01	4	Sun		
71	Ceanothus thyrsiflorus	leaf_size		18.51	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus thyrsiflorus	B	UCBG	80.0829	07/24/01	4	Sun		
63	Ceanothus oliganthus var. sorediatus	leaf_size		2.18	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus oliganthus var. sorediatus	B	UCBG	81.1110	07/24/01	4	Sun		
65	Ceanothus papillosus	leaf_size		4.47	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus papillosus	B	UCBG	82.0484	07/24/01	5	Sun		
47	Ceanothus leucodermis	leaf_size		3.22	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus leucodermis	B	UCBG	82.1059	07/24/01	4	Sun		
50	Ceanothus maritimus	leaf_size		0.96	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus maritimus	B	UCBG	82.1074	07/24/01	5	Sun		
73	Ceanothus thyrsiflorus	leaf_size		2.53	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus thyrsiflorus	B	UCBG	82.1109	07/24/01	4	Sun		
69	Ceanothus purpureus	leaf_size		1.92	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus purpureus	B	UCBG	82.1375	07/24/01	4	Sun		
70	Ceanothus spinosus	leaf_size		4.05	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus spinosus	B	UCBG	83.0099	07/24/01	4	Sun		
64	Ceanothus oliganthus var. sorediatus	leaf_size		2.92	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus oliganthus var. sorediatus	B	UCBG	83.0107	07/24/01	4	Sun		
78	Ceanothus thyrsiflorus	leaf_size		1.55	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus thyrsiflorus	B	UCBG	83.0206	07/24/01	5	Sun	var name added by default	
