Baker.SHname	jep1.taxon
Cicendia quadrangularis 	CICENDIA quadrangularis
Circaea alpina ssp. pacifica	CIRCAEA alpina ssp. pacifica
Cirsium andrewsii	CIRSIUM andrewsii
Cirsium arvense	CIRSIUM arvense
Cirsium brevistylum	CIRSIUM brevistylum
Cirsium cymosum	CIRSIUM cymosum
Cirsium douglasii var. breweri	CIRSIUM douglasii var. breweri
Cirsium drummondii 	CIRSIUM scariosum
Cirsium hydrophilum var. vaseyi 	CIRSIUM hydrophilum var. vaseyi
Cirsium occidentale	CIRSIUM occidentale var. occidentale
Cirsium occidentale var. californicum	CIRSIUM occidentale var. californicum
Cirsium occidentale var. californicum 	CIRSIUM occidentale var. californicum
Cirsium occidentale var. candidissimum 	CIRSIUM occidentale var. candidissimum
Cirsium occidentale var. occidentale 	CIRSIUM occidentale var. occidentale
Cirsium scariosum 	CIRSIUM scariosum
Cirsium vulgare	CIRSIUM vulgare
Clarkia amoena	CLARKIA amoena ssp. amoena
Clarkia amoena ssp huntiana	CLARKIA amoena ssp. huntiana
Clarkia amoena ssp whitneyi	CLARKIA amoena ssp. whitneyi
Clarkia biloba ssp australis	CLARKIA biloba ssp. australis
Clarkia biloba ssp biloba	CLARKIA biloba ssp. biloba
Clarkia biloba ssp. biloba	CLARKIA biloba ssp. biloba
Clarkia bottae	CLARKIA bottae
Clarkia breweri	CLARKIA breweri
Clarkia concinna	CLARKIA concinna ssp. concinna
Clarkia cylindrica	CLARKIA cylindrica ssp. cylindrica
Clarkia davyi	CLARKIA davyi
Clarkia delicata	CLARKIA delicata
Clarkia dudleyana	CLARKIA dudleyana
Clarkia epilobioides	CLARKIA epilobioides
Clarkia gracilis	CLARKIA gracilis ssp. gracilis
Clarkia mildrediae	CLARKIA mildrediae
Clarkia purpurea ssp quadrivulnera	CLARKIA purpurea ssp. quadrivulnera
Clarkia purpurea ssp viminea	CLARKIA purpurea ssp. viminea
Clarkia rhomboidea	CLARKIA rhomboidea
Clarkia rubicunda	CLARKIA rubicunda
Clarkia speciosa ssp speciosa	CLARKIA speciosa ssp. speciosa
Clarkia unguiculata	CLARKIA unguiculata
Clarkia virgata	CLARKIA virgata
Clarkia williamsonii	CLARKIA williamsonii
Clarkia xantiana	CLARKIA xantiana ssp. xantiana
Claytonia exigua ssp. exiguia 	CLAYTONIA exigua ssp. exigua
Claytonia gypsophyloides 	CLAYTONIA gypsophiloides
Claytonia lanceolata	CLAYTONIA lanceolata
Claytonia nevadensis	CLAYTONIA nevadensis
Claytonia parviflora 	CLAYTONIA parviflora ssp. parviflora
Claytonia perfoliata 	CLAYTONIA perfoliata ssp. perfoliata
Claytonia perfoliata (hexaploid) 	CLAYTONIA perfoliata ssp. perfoliata
Claytonia rubra ssp. depressa 	CLAYTONIA rubra ssp. depressa
Claytonia sibirica 	POLYGONUM amphibium var. stipulaceum
Clematis lasiantha	CLEMATIS lasiantha
Clematis ligusticifolia	CLEMATIS ligusticifolia
Cleome lutea	CLEOME lutea
Cleomella obtusifolia	CLEOMELLA obtusifolia
Clintonia andrewsiana	CLINTONIA andrewsiana
Clintonia uniflora	CLINTONIA uniflora
Cneoridium dumosum	CNEORIDIUM dumosum
Collinsia bartsiaefolia var. davidsonii	COLLINSIA bartsiifolia var. davidsonii
Collinsia corymbosa	COLLINSIA corymbosa
Collinsia heterophylla	COLLINSIA heterophylla
Collinsia linearis	COLLINSIA linearis
Collinsia parviflora	COLLINSIA parviflora
Collinsia rattanii	COLLINSIA rattanii
Collinsia sparsiflora	COLLINSIA sparsiflora var. sparsiflora
Collinsia tinctoria	COLLINSIA tinctoria
Collinsia torreyi	COLLINSIA torreyi var. torreyi
Collomia diversifolia	COLLOMIA diversifolia
Collomia grandiflora	COLLOMIA grandiflora
Collomia heterophylla	COLLOMIA heterophylla
Collomia linearis	COLLOMIA linearis
Collomia tinctoria	COLLOMIA tinctoria
Collomia tracyi	COLLOMIA tracyi
Comarostaphylis diversifolia	COMAROSTAPHYLIS diversifolia ssp. diversifolia
Comarostaphylis diversifolia ssp. planifolia	COMAROSTAPHYLIS diversifolia ssp. planifolia
Conyza canadensis	CONYZA canadensis
Corallorhiza maculata	CORALLORHIZA maculata
Corallorhiza striata	CORALLORHIZA striata
Cordylanthus maritimus	CORDYLANTHUS maritimus ssp. maritimus
Coreopsis bigelovii	COREOPSIS bigelovii
Coreopsis californica	COREOPSIS californica var. californica
Coreopsis callipsoidea	COREOPSIS calliopsidea
Coreopsis douglasii	COREOPSIS douglasii
Coreopsis gigantea	COREOPSIS gigantea
Coreopsis lanceolata	COREOPSIS lanceolata
Coreopsis maritima	COREOPSIS maritima
Cornus canadensis	CORNUS canadensis
Cornus glabrata	CORNUS glabrata
Cornus nuttallii	CORNUS nuttallii
Cornus sericea ssp. sericea 	CORNUS sericea ssp. sericea
Coronopus didymus	CORONOPUS didymus
Corylus cornuta var californica	CORYLUS cornuta var. californica
Corylus cornuta var. californica	CORYLUS cornuta var. californica
Cotula australis	COTULA australis
Cotula coronopifolia	COTULA coronopifolia
Crassula connata	CRASSULA connata
Crassula connata 	CRASSULA connata
Crataegus columbiana  	CRATAEGUS douglasii
Crataegus douglasii	CRATAEGUS douglasii
Crepis pleurocarpa	CREPIS pleurocarpa
Crocidium multicaule	CROCIDIUM multicaule
Crossosoma bigelovii	CROSSOSOMA bigelovii
Crossosoma californica	CROSSOSOMA californicum
Croton californicus	CROTON californicus
Crypsis vaginiflora 	CRYPSIS vaginiflora
Cryptantha affinis	CRYPTANTHA affinis
Cryptantha ambigua	CRYPTANTHA ambigua
Cryptantha angustifolia	CRYPTANTHA angustifolia
Cryptantha circumcissa	CRYPTANTHA circumscissa
Cryptantha clevelandii	CRYPTANTHA clevelandii
Cryptantha flaccida	CRYPTANTHA flaccida
Cryptantha hispidula	CRYPTANTHA hispidula
Cryptantha intermedia	CRYPTANTHA intermedia
Cryptantha leiocarpa	CRYPTANTHA leiocarpa
Cryptantha maritima	CRYPTANTHA maritima
Cryptantha milo-bakeri	CRYPTANTHA milobakeri
Cryptantha muricata	CRYPTANTHA muricata
Cryptantha muricata 	CRYPTANTHA muricata
Cryptantha nevadensis	CRYPTANTHA nevadensis
Cryptantha oxygona	CRYPTANTHA oxygona
Cryptantha rostellata	CRYPTANTHA flaccida
Cryptantha simulans	CRYPTANTHA simulans
Cryptantha sparsiflora 	CRYPTANTHA flaccida
Cryptantha torreyana	CRYPTANTHA torreyana
Cryptantha traskiae	CRYPTANTHA traskiae
Cucurbita foetidissima	CUCURBITA foetidissima
Cucurbita palmata	CUCURBITA palmata
Cupressus arizonica ssp. arizonica 	CUPRESSUS arizonica ssp. arizonica
Cupressus goveniana	CUPRESSUS goveniana ssp. goveniana
Cupressus goveniana ssp. pygmaea 	CUPRESSUS goveniana ssp. pigmaea
Cupressus macnabiana	CUPRESSUS macnabiana
Cupressus macrocarpa	CUPRESSUS macrocarpa
Cupressus sargentii	CUPRESSUS sargentii
Cuscuta denticulata 	CUSCUTA denticulata
Cuscuta patagona 	CUSCUTA pentagona
Cuscuta salina var major 	CUSCUTA salina var. major
Cymopterus terebinthina var. californica	CYMOPTERUS terebinthinus var. californicus
Cymopterus terebinthina var. californica 	CYMOPTERUS terebinthinus var. californicus
Cynanchum utahense	CYNANCHUM utahense
Cynara cardunculus	CYNARA cardunculus
Cynodon dactylon	CYNODON dactylon
Cynoglossum grande	CYNOGLOSSUM grande
Cynoglossum occidentale	CYNOGLOSSUM occidentale
Cynosurus echinatus	CYNOSURUS echinatus
Cyperus eragrostis	CYPERUS eragrostis
Cyperus erythrorhiza	CYPERUS erythrorhizos
Cyperus rotundus	CYPERUS rotundus
Cyperus squarrosus 	CYPERUS squarrosus
Cyperus strigosus	CYPERUS strigosus
Cypripedium fasciculatum	CYPRIPEDIUM fasciculatum
Cypripedium montanum	CYPRIPEDIUM montanum
Dactylis glomerata	DACTYLIS glomerata
Damasonium californicum 	DAMASONIUM californicum
Danthonia ?intermedia	DANTHONIA intermedia
Danthonia californica	DANTHONIA californica var. californica
Danthonia californica var americana	DANTHONIA californica var. americana
Darlingtonia californica	DARLINGTONIA californica
Darmera peltata	DARMERA peltata
Darmera peltata 	DARMERA peltata
Datisca glomerata	DATISCA glomerata
Datura meteloides 	DATURA wrightii
Datura stramonium	DATURA stramonium
Daucus pusillus	DAUCUS pusillus
Delphinium cardinale	DELPHINIUM cardinale
Delphinium glaucum	DELPHINIUM glaucum
Delphinium hanseni	DELPHINIUM hansenii ssp. hansenii
Delphinium hesperium	DELPHINIUM hesperium ssp. hesperium
Delphinium luteum	DELPHINIUM luteum
Delphinium menziesii 	DELPHINIUM andersonii
Delphinium nudicaule	DELPHINIUM nudicaule
Delphinium nuttallianum	DELPHINIUM nuttallianum
Delphinium nuttallianum 	DELPHINIUM nuttallianum
Delphinium parishii	DELPHINIUM parishii ssp. parishii
Delphinium parryi	DELPHINIUM parryi ssp. parryi
Delphinium parryi ssp. blochmanae	DELPHINIUM parryi ssp. blochmaniae
Delphinium pupusii	DELPHINIUM purpusii
Delphinium recurvatum	DELPHINIUM recurvatum
Delphinium uliginosum	DELPHINIUM uliginosum
Delphinium variegatum	DELPHINIUM variegatum
Dendromecon harfordii	DENDROMECON harfordii
Dendromecon rigida	DENDROMECON rigida
Deschampsia cespitosa	DESCHAMPSIA cespitosa ssp. cespitosa
Deschampsia danthonioides	DESCHAMPSIA danthonioides
Deschampsia elongata	DESCHAMPSIA elongata
Descurainia pinnata	DESCURAINIA pinnata
Descurainia richardsonii	DESCURAINIA incana
Descurainia sophia	DESCURAINIA sophia
Dicentra chrysantha	DICENTRA chrysantha
Dicentra formosa	DICENTRA formosa
Dichondra repens 	DICHONDRA donelliana
Dicoria canescens	DICORIA canescens
Digitalis purpurea	DIGITALIS purpurea
Digitaria sanguinalis	DIGITARIA sanguinalis
Dipsacus sativus	DIPSACUS sativus
Dirca occidentalis	DIRCA occidentalis
Disporum hookeri	DISPORUM hookeri
Disporum smithii	DISPORUM hookeri
Distichlis spicata	DISTICHLIS spicata
Distichlis spicata 	DISTICHLIS spicata
Ditaxis lanceolata?	DITAXIS lanceolata
Dithyrea californica	DITHYREA californica
Dodecatheon alpinum 	DODECATHEON alpinum
Dodecatheon clevelandii ssp insulare	DODECATHEON clevelandii ssp. insulare
Dodecatheon hendersonii	DODECATHEON hendersonii
Dodecatheon jeffreyi	DODECATHEON jeffreyi
Downingia bella	DOWNINGIA bella
Downingia bicornuta	DOWNINGIA bicornuta var. bicornuta
Downingia concolor	DOWNINGIA concolor var. concolor
Downingia cuspidata	DOWNINGIA cuspidata
Downingia cuspidata 	DOWNINGIA cuspidata
Downingia elegans	DOWNINGIA elegans
Downingia elegans 	DOWNINGIA elegans
Downingia insignis	DOWNINGIA insignis
Downingia laeta	DOWNINGIA laeta
Downingia montana	DOWNINGIA montana
Downingia ornatissima	DOWNINGIA ornatissima var. ornatissima
Downingia ornatissima var eximia	DOWNINGIA ornatissima var. eximia
Downingia pulchella	DOWNINGIA pulchella
Downingia pusilla 	DOWNINGIA pusilla
Downingia yina	DOWNINGIA yina
Draba albertina 	DRABA albertina
Draba asterophora	DRABA asterophora var. asterophora
Draba verna	DRABA verna
Dudleya caespitosa	DUDLEYA caespitosa
Dudleya candelabrum	DUDLEYA candelabrum
Dudleya cymosa	DUDLEYA cymosa ssp. cymosa
Dudleya edulis	DUDLEYA edulis
Dudleya farinosa	DUDLEYA farinosa
Dudleya greenei	DUDLEYA greenei
Dudleya lanceolata	DUDLEYA lanceolata
Dudleya pulverulenta	DUDLEYA pulverulenta ssp. pulverulenta
Dudleya stolonifera	DUDLEYA stolonifera
Dudleya stolonifera ?	DUDLEYA stolonifera
Dudleya traskae	DUDLEYA traskiae
Dudleya virens	DUDLEYA virens
Dudleya viscida	DUDLEYA viscida
Dugaldia hoopesii 	DUGALDIA hoopesii
Echinocactus polycephalus	ECHINOCACTUS polycephalus var. polycephalus
Echinocereus englemannii	ECHINOCEREUS engelmannii
Echinochloa crusgalli	ECHINOCHLOA crus-galli
Eclipta prostrata 	ECLIPTA prostrata
Elatine californica	ELATINE californica
Eleocharis macrostachys 	ELEOCHARIS macrostachya
Eleocharis parishii 	ELEOCHARIS parishii
Elymus californicus 	ELYMUS californicus
Elymus elymoides ssp. elymoides 	ELYMUS elymoides ssp. elymoides
Elymus glaucus	ELYMUS glaucus ssp. glaucus
Elymus multisetus 	ELYMUS multisetus
Emmenanthe penduliflora	EMMENANTHE penduliflora var. penduliflora
Empetrum nigrum	EMPETRUM nigrum
Encelia actoni 	ENCELIA actoni
Encelia californica	ENCELIA californica
Encelia farinosa	ENCELIA farinosa
Encelia frutescens	ENCELIA frutescens
Encelia virginensis	ENCELIA virginensis
Enceliopsis covillei 	ENCELIOPSIS covillei
Ephedra californica	EPHEDRA californica
Ephedra nevadensis	EPHEDRA nevadensis
Ephedra viridis	EPHEDRA viridis
Epilobium angustifolium ssp. circumvagum	EPILOBIUM angustifolium ssp. circumvagum
Epilobium brachycarpum 	EPILOBIUM brachycarpum
Epilobium canum ssp. canum 	EPILOBIUM canum ssp. canum
Epilobium canum ssp. latifolium 	EPILOBIUM canum ssp. latifolium
Epilobium ciliatum ssp. ciliatum 	EPILOBIUM ciliatum ssp. ciliatum
Epilobium ciliatum ssp. glandulosum 	EPILOBIUM ciliatum ssp. glandulosum
Epilobium ciliatum ssp. watsonii 	EPILOBIUM ciliatum ssp. watsonii
Epilobium glaberrimum ssp. fastigiatum	EPILOBIUM glaberrimum ssp. fastigiatum
Epilobium halleanum	EPILOBIUM hallianum
Epilobium minutum	EPILOBIUM minutum
Epilobium oreganum 	EPILOBIUM oreganum
Epipactis gigantea	EPIPACTIS gigantea
Erechtites glomerata 	ERECHTITES glomerata
Eremalche exilis 	EREMALCHE exilis
Eremalche parryi 	EREMALCHE parryi ssp. parryi
Eremalche rotundifolia 	EREMALCHE rotundifolia
Eremocarpus setigerus	EREMOCARPUS setigerus
Eriastrum diffusum	ERIASTRUM diffusum
Eriastrum sapphirinum	ERIASTRUM sapphirinum
Ericameria arborescens 	ERICAMERIA arborescens
Ericameria cooperi var. cooperi 	ERICAMERIA cooperi var. cooperi
Ericameria ericoides 	ERICAMERIA ericoides
Ericameria linearifolia 	ERICAMERIA linearifolia
Erigeron barbellulatus	ERIGERON barbellulatus
Erigeron blochmanae	ERIGERON blochmaniae
Erigeron breweri	ERIGERON breweri var. breweri
Erigeron brewerii var porphyreticus	ERIGERON breweri var. porphyreticus
Erigeron compositus 	ERIGERON compositus
Erigeron eatonii ssp plantagineus	ERIGERON eatonii var. plantagineus
Erigeron filifolius	ERIGERON filifolius var. filifolius
Erigeron foliosus var confinis	ERIGERON foliosus var. confinis
Erigeron glaucus	ERIGERON glaucus
Erigeron lassenianus var dificiens 	ERIGERON lassenianus var. deficiens
Erigeron peregrinus var. callianthemus 	ERIGERON peregrinus var. callianthemus
Erigeron philadelphicus	ERIGERON philadelphicus
Erigeron pygmaeus	ERIGERON pygmaeus
Erigeron vagus	ERIGERON vagus
Eriodictyon californicum	ERIODICTYON californicum
Eriodictyon crassifolim	ERIODICTYON crassifolium var. crassifolium
Eriodictyon tomentosum	ERIODICTYON tomentosum
Eriodictyon traskiae	ERIODICTYON traskiae
Eriogonum arborescens	ERIOGONUM arborescens
Eriogonum compositum	ERIOGONUM compositum var. compositum
Eriogonum crocatum	ERIOGONUM crocatum
Eriogonum fasciculatum	ERIOGONUM fasciculatum var. fasciculatum
Eriogonum fasciculatum var. foliosum	ERIOGONUM fasciculatum var. foliolosum
Eriogonum fasciculatum var. polifolium	ERIOGONUM fasciculatum var. polifolium
Eriogonum giganteum	ERIOGONUM giganteum var. giganteum
Eriogonum heracleoides	ERIOGONUM heracleoides var. heracleoides
Eriogonum inflatum	ERIOGONUM inflatum var. inflatum
Eriogonum kennedyi var. austromontanum	ERIOGONUM kennedyi var. austromontanum
Eriogonum lanatum var. integrifolium	ERIOPHYLLUM lanatum var. integrifolium
Eriogonum lanatum var. integrifolium 	ERIOPHYLLUM lanatum var. integrifolium
Eriogonum latifolium	ERIOGONUM latifolium
Eriogonum latifolium 	ERIOGONUM latifolium
Eriogonum luteolum var. caninum 	ERIOGONUM luteolum var. caninum
Eriogonum marifolium	ERIOGONUM marifolium
Eriogonum nodosum	ERIOGONUM wrightii var. nodosum
Eriogonum ovalifolium var. vineum	ERIOGONUM ovalifolium var. vineum
Eriogonum parvifolium	ERIOGONUM parvifolium
Eriogonum proliferum	ERIOGONUM strictum var. proliferum
Eriogonum pusillum	ERIOGONUM pusillum
Eriogonum saxatile	ERIOGONUM saxatile
Eriogonum spergulinum	ERIOGONUM spergulinum var. spergulinum
Eriogonum umbellatum	ERIOGONUM umbellatum
Eriogonum umbellatum 	ERIOGONUM umbellatum
Eriogonum umbellatum var. polyanthum	ERIOGONUM umbellatum var. polyanthum
Eriogonum ursinum	ERIOGONUM ursinum
Eriogonum vestitum	ERIOGONUM vestitum
Eriogonum vimineum	ERIOGONUM vimineum
Eriogonum virgatum	ERIOGONUM roseum
Eriogonum wrightii ssp trachygonum	ERIOGONUM wrightii var. trachygonum
Eriophorum criniger 	ERIOPHORUM criniger
Eriophorum gracile	ERIOPHORUM gracile
Eriophyllum confertiflorum	ERIOPHYLLUM confertiflorum var. confertiflorum
Eriophyllum lanatum	ERIOPHYLLUM lanatum
Eriophyllum lanatum var achillaeoides	ERIOPHYLLUM lanatum var. achillaeoides
Eriophyllum lanatum var arachnoideum	ERIOPHYLLUM lanatum var. arachnoideum
Eriophyllum lanatum var lanceolatum	ERIOPHYLLUM lanatum var. lanceolatum
Eriophyllum nevinii	ERIOPHYLLUM nevinii
Eriophyllum pringlei	ERIOPHYLLUM pringlei
Eriophyllum staechadifolium	ERIOPHYLLUM staechadifolium
Eriophyllum wallacei	ERIOPHYLLUM wallacei
Erodium botrys	ERODIUM botrys
Erodium brachycarpum 	ERODIUM brachycarpum
Erodium cicutarium	ERODIUM cicutarium
Erodium moschatum	ERODIUM moschatum
Erodium texanum	ERODIUM texanum
Eryngium armatum	ERYNGIUM armatum
Eryngium articulatum	ERYNGIUM articulatum
Eryngium pinnatisectum	ERYNGIUM pinnatisectum
Erysimum ammophilum	ERYSIMUM ammophilum
Erysimum argillosum 	ERYSIMUM capitatum var. capitatum
Erysimum capitatum	ERYSIMUM capitatum var. capitatum
Erysimum capitatum ssp. angustatum	ERYSIMUM capitatum var. angustatum
Erysimum capitatum ssp. perenne 	ERYSIMUM capitatum var. perenne
Erysimum franciscanum	ERYSIMUM franciscanum
Erysimum insulare	ERYSIMUM insulare ssp. insulare
Erysimum menziesii	ERYSIMUM menziesii ssp. menziesii
Erysimum menziesii ssp concinnum 	ERYSIMUM menziesii ssp. concinnum
Erythronium californicum	ERYTHRONIUM californicum
Erythronium grandiflorum	ERYTHRONIUM grandiflorum
Erythronium helenae	ERYTHRONIUM helenae
Erythronium hendersonii	ERYTHRONIUM hendersonii
Erythronium klamathense	ERYTHRONIUM klamathense
Erythronium multiscapoideum	ERYTHRONIUM multiscapoideum
Erythronium purpurascens	ERYTHRONIUM purpurascens
Erythronium revolutum	ERYTHRONIUM revolutum
Eschscholzia caespitosa	ESCHSCHOLZIA caespitosa
Eschscholzia californica	ESCHSCHOLZIA californica
Eschscholzia cuculata	NOT IN JEPSON
Eschscholzia lemmonii ssp. kernensis 	ESCHSCHOLZIA lemmonii ssp. kernensis
Eschscholzia lobbii	ESCHSCHOLZIA lobbii
Eschscholzia lobbii 	ESCHSCHOLZIA lobbii
Eschscholzia minutiflora	ESCHSCHOLZIA minutiflora
Eucalyptus globulus	EUCALYPTUS globulus
Eucrypta chrysanthemifolia	EUCRYPTA chrysanthemifolia var. chrysanthemifolia
Euonymus occidentalis	EUONYMUS occidentalis var. occidentalis
Euphorbia helioscopia	EUPHORBIA helioscopia
Euphorbia lathyris	EUPHORBIA lathyris
Euphorbia micromeria	CHAMAESYCE micromera
Euphorbia peplus	EUPHORBIA peplus
Euphorbia spathulata	EUPHORBIA spathulata
Eustoma exaltatum	EUSTOMA exaltatum
Fallugia paradoxa	FALLUGIA paradoxa
Ferocactus cylindraceus 	FEROCACTUS cylindraceus var. cylindraceus
Ferocactus viridescens 	FEROCACTUS viridescens
Festuca arundinacea	FESTUCA arundinacea
Festuca brachyphylla ssp. breviculmis	FESTUCA brachyphylla ssp. coloradensis
Festuca californica	FESTUCA californica
Festuca idahoensis	FESTUCA idahoensis
Festuca occidentalis	FESTUCA occidentalis
Festuca pratensis 	FESTUCA pratensis
Filago californica	FILAGO californica
Filago gallica	FILAGO gallica
Foeniculum vulgare	FOENICULUM vulgare
Forestiera pubescens	FORESTIERA pubescens
Fouquieria splendens var. splendens 	FOUQUIERIA splendens ssp. splendens
Fragaria californica	FRAGARIA vesca
Fragaria chiloensis	FRAGARIA chiloensis
Frankenia salina 	FRANKENIA salina
Franseria dumosa	AMBROSIA dumosa
Fraxinus dipetala	FRAXINUS dipetala
Fraxinus latifolia	FRAXINUS latifolia
Fraxinus velutina 	FRAXINUS velutina
Fremontodendron californicum 	FREMONTODENDRON californicum ssp. californicum
Fremontodendron mexicanum 	FREMONTODENDRON mexicanum
Fritillaria affinis 	FRITILLARIA affinis var. affinis
Fritillaria biflora	FRITILLARIA biflora var. biflora
Fritillaria liliacea	FRITILLARIA liliacea
Fritillaria micrantha	FRITILLARIA micrantha
Fritillaria pluriflora	FRITILLARIA pluriflora
Fritillaria pudica	FRITILLARIA pudica
Fritillaria purdyi	FRITILLARIA purdyi
Fritillaria recurva	FRITILLARIA recurva
Fritillaria striata	FRITILLARIA striata
Galium angustifolium	GALIUM angustifolium ssp. angustifolium
Galium aparine	GALIUM aparine
Galium bifolium	GALIUM bifolium
Galium bolanderi	GALIUM bolanderi
Galium divaricatum	GALIUM divaricatum
Galium mexicanum var. asperulum 	GALIUM mexicanum var. asperulum
Galium nuttallii	GALIUM nuttallii ssp. nuttallii
Galium parisiense	GALIUM parisiense
Galium trifidum var. pacificum 	GALIUM trifidum var. pacificum
Galium triflorum	GALIUM triflorum
Galvezia speciosa	GALVEZIA speciosa
Garrya elliptica	GARRYA elliptica
Garrya flavescens 	GARRYA flavescens
Garrya veatchii	GARRYA veatchii
Gastridium ventricosum	GASTRIDIUM ventricosum
Gaultheria humifusa	GAULTHERIA humifusa
Gaultheria shallon	GAULTHERIA shallon
Gayophytum humile	GAYOPHYTUM humile
Gayophytum humile 	GAYOPHYTUM humile
Gayophytum racemosum	GAYOPHYTUM racemosum
Genista maderensis 	GENISTA maderensis
Genista monspessulanus 	GENISTA monspessulana
Gentiana affinis var. ovata 	GENTIANA affinis var. ovata
Gentiana sceptrum	GENTIANA sceptrum
Geraea canescens	GERAEA canescens
Geranium californicum	GERANIUM californicum
Geranium dissectum	GERANIUM dissectum
Geranium molle	GERANIUM molle
Geranium retrorsum	GERANIUM retrorsum
Geranium robertianum	GERANIUM robertianum
Geum macrophyllum	GEUM macrophyllum
Geum triflorum 	GEUM triflorum
Gilia achilleifolia	GILIA achilleifolia ssp. achilleifolia
Gilia aliquanta	GILIA aliquanta ssp. aliquanta
Gilia angelensis	GILIA angelensis
Gilia capillaris	GILIA capillaris
Gilia capitata	GILIA capitata ssp. capitata
Gilia capitata ssp. abrotanifolia	GILIA capitata ssp. abrotanifolia
Gilia capitata ssp. chamissonis	GILIA capitata ssp. chamissonis
Gilia latiflora	GILIA latiflora ssp. latiflora
Gilia latiflora ssp. davyi 	GILIA latiflora ssp. davyi
Gilia leptalea	GILIA leptalea ssp. leptalea
Gilia leptantha ssp transversa	GILIA leptantha ssp. transversa
Gilia leptantha ssp. purpusii	GILIA leptantha ssp. purpusii
Gilia micromeria	GILIA micromeria
Gilia minor ?	GILIA minor
Gilia nevinii	GILIA nevinii
Gilia ochroleuca ssp. exilis	GILIA ochroleuca ssp. exilis
Gilia transmontana	GILIA transmontana
Gilia tricolor	GILIA tricolor ssp. tricolor
Githopsis diffusa ssp. candida 	GITHOPSIS diffusa ssp. candida
Glyceria elata	GLYCERIA elata
Glycyrrhiza lepidota	GLYCYRRHIZA lepidota
Gnaphalium californicum	GNAPHALIUM californicum
Gnaphalium canescens ssp. microcephalum 	GNAPHALIUM canescens ssp. microcephalum
Gnaphalium japonicum	GNAPHALIUM japonicum
Gnaphalium luteo-album	GNAPHALIUM luteo-album
Gnaphalium palustre	GNAPHALIUM palustre
Gnaphalium purpureum	GNAPHALIUM purpureum
Gnaphalium stramineum 	GNAPHALIUM stramineum
Goodyera oblongifolia	GOODYERA oblongifolia
Gratiola ebracteata	GRATIOLA ebracteata
Grayia spinosa	GRAYIA spinosa
Grindelia camporum	GRINDELIA camporum var. camporum
Grindelia camporum var. bracteosum 	GRINDELIA camporum var. bracteosa
Grindelia camporum var. camporum 	GRINDELIA camporum var. camporum
Grindelia stricta var angustifolia 	GRINDELIA stricta var. angustifolia
Grindelia stricta var. platyphylla 	GRINDELIA stricta var. platyphylla
Guillenia lemmonii 	GUILLENIA lemmonii
Gutierrezia californica	GUTIERREZIA californica
Gutierrezia sarothrae	GUTIERREZIA sarothrae
Hackelia micrantha 	HACKELIA micrantha
Hackelia nervosa	HACKELIA nervosa
Hastingia alba	HASTINGSIA alba
Hastingia alba 	HASTINGSIA alba
Hazardia brickellioides 	HAZARDIA brickellioides
Hedypnois cretica	HEDYPNOIS cretica
Helenium bigelovii	HELENIUM bigelovii
Helenium puberulum	HELENIUM puberulum
Helianthella californica var. nevadensis 	HELIANTHELLA californica var. nevadensis
Helianthemum scoparium var aldersonii	HELIANTHEMUM scoparium
Helianthus annuus 	HELIANTHUS annuus
Helianthus bolanderi	HELIANTHUS bolanderi
Helianthus gracilentus	HELIANTHUS gracilentus
Heliotropium curassavicum 	HELIOTROPIUM curassavicum
Hemizonia clementina 	HEMIZONIA clementina
Hemizonia congesta	HEMIZONIA congesta ssp. congesta
Hemizonia congesta ssp. calyculata 	HEMIZONIA congesta ssp. calyculata
Hemizonia congesta ssp. congesta 	HEMIZONIA congesta ssp. congesta
Hemizonia corymbosa	HEMIZONIA corymbosa ssp. corymbosa
Hemizonia fasciculata	HEMIZONIA fasciculata
Hemizonia fasciculata 	HEMIZONIA fasciculata
Hemizonia fitchii	HEMIZONIA fitchii
Hemizonia increscens ssp. increscens 	HEMIZONIA increscens ssp. increscens
Hemizonia kelloggii	HEMIZONIA kelloggii
Hemizonia parryi ssp rudis	HEMIZONIA parryi ssp. rudis
Hemizonia pungens	HEMIZONIA pungens ssp. pungens
Heracleum lanatum	HERACLEUM lanatum
Herniaria hirsuta ssp. cinerea 	HERNIARIA hirsuta ssp. cinerea
Hesperevax acaulis 	HESPEREVAX acaulis var. acaulis
Hesperevax sparsiflora 	HESPEREVAX sparsiflora var. sparsiflora
Hesperocallis undulata	HESPEROCALLIS undulata
Hesperocnide tenella	HESPEROCNIDE tenella
Hesperolinon micranthum 	HESPEROLINON micranthum
Hesperolinon spergulinum 	HESPEROLINON spergulinum
Hesperostipa comata 	HESPEROSTIPA comata ssp. comata
Heterocodon rariflorum	HETEROCODON rariflorum
Heteromeles arbutifolia	HETEROMELES arbutifolia
Heteromeles arbutifolia 	HETEROMELES arbutifolia
Heterotheca grandiflora	HETEROTHECA grandiflora
Heuchera maxima	HEUCHERA maxima
Heuchera micrantha	HEUCHERA micrantha
Heuchera micrantha 	HEUCHERA micrantha
Heuchera pilosissima	HEUCHERA pilosissima
Heuchera rubescens 	HEUCHERA rubescens
Heuchera rubescens var alpicola	HEUCHERA rubescens var. alpicola
Hibiscus lasiocarpus 	HIBISCUS lasiocarpus
Hieracium albiflorum	HIERACIUM albiflorum
Hieracium horridum	HIERACIUM horridum
Hierochloe occidentalis	FESTUCA rubra
