Baker.SHname	jep1.taxon
Aquilegia formosa	AQUILEGIA formosa
Aquilegia pubescens	AQUILEGIA pubescens
Arabis blepharophylla	ARABIS blepharophylla
Arabis breweri	ARABIS breweri var. breweri
Arabis glaucovalvula	ARABIS glaucovalvula
Arabis hirsuta var. glabrata	ARABIS hirsuta var. glabrata
Arabis holboellii var. retrofracta	ARABIS holboellii var. retrofracta
Arabis inyoensis	ARABIS inyoensis
Arabis lemmonii	ARABIS lemmonii var. lemmonii
Arabis lyallii	ARABIS lyallii var. lyallii
Arabis perennans	ARABIS perennans
Arabis platysperma	ARABIS platysperma var. platysperma
Arabis platysperma var. howellii	ARABIS platysperma var. howellii
Arabis rectissima	ARABIS rectissima var. rectissima
Arabis repanda	ARABIS repanda var. repanda
Arabis sparsiflora var. arcuata	ARABIS sparsiflora var. arcuata
Arabis x divaricarpa	ARABIS X-divaricarpa
Arbutus menziesii	ARBUTUS menziesii
Arceuthobium sp.	NOT TO SPECIES
Arctostaphylos auriculata	ARCTOSTAPHYLOS auriculata
Arctostaphylos bakeri ssp. bakeri	ARCTOSTAPHYLOS bakeri ssp. bakeri
Arctostaphylos canescens	ARCTOSTAPHYLOS canescens ssp. canescens
Arctostaphylos columbiana	ARCTOSTAPHYLOS columbiana
Arctostaphylos edmundsii	ARCTOSTAPHYLOS edmundsii
Arctostaphylos glandulosa	ARCTOSTAPHYLOS glandulosa ssp. glandulosa
Arctostaphylos glauca	ARCTOSTAPHYLOS glauca
Arctostaphylos hookeri	ARCTOSTAPHYLOS hookeri ssp. hookeri
Arctostaphylos imbricata	ARCTOSTAPHYLOS imbricata
Arctostaphylos manzanita	ARCTOSTAPHYLOS manzanita ssp. manzanita
Arctostaphylos manzanita ssp. elegans	ARCTOSTAPHYLOS manzanita ssp. elegans
Arctostaphylos nevadensis	ARCTOSTAPHYLOS nevadensis
Arctostaphylos obispoensis	ARCTOSTAPHYLOS obispoensis
Arctostaphylos pajaroensis	ARCTOSTAPHYLOS pajaroensis
Arctostaphylos pallida	ARCTOSTAPHYLOS pallida
Arctostaphylos patula	ARCTOSTAPHYLOS patula
Arctostaphylos pilosula	ARCTOSTAPHYLOS pilosula
Arctostaphylos pumila	ARCTOSTAPHYLOS pumila
Arctostaphylos pungens	ARCTOSTAPHYLOS pungens
Arctostaphylos rudis	ARCTOSTAPHYLOS rudis
Arctostaphylos stanfordiana	ARCTOSTAPHYLOS stanfordiana ssp. stanfordiana
Arctostaphylos tomentosa	ARCTOSTAPHYLOS tomentosa ssp. crustacea
Arctostaphylos uva-ursi forma coactilis	ARCTOSTAPHYLOS uva-ursi
Arctostaphylos virgata	ARCTOSTAPHYLOS virgata
Arctostaphylos viscida	ARCTOSTAPHYLOS viscida ssp. viscida
Arctostaphylos viscida ssp. mariposa	ARCTOSTAPHYLOS viscida ssp. mariposa
Arenaria aculeata	ARENARIA aculeata
Arenaria congesta var suffrutescens	ARENARIA congesta var. suffrutescens
Argemone munita	ARGEMONE munita
Aristida divaricata	ARISTIDA divaricata
Aristida purpurea var. wrightii	ARISTIDA purpurea var. wrightii
Armeria maritima var. californica	ARMERIA maritima ssp. californica
Arnica chamissonis ssp foliosa	ARNICA chamissonis ssp. foliosa
Arnica cordifolia	ARNICA cordifolia
Arnica discoidea	ARNICA discoidea
Arnica diversifolia	ARNICA diversifolia
Arnica mollis	ARNICA mollis
Arnica viscosa	ARNICA viscosa
Arrhenatherum elatius	ARRHENATHERUM elatius
Artemisia douglasiana	ARTEMISIA douglasiana
Artemisia pycnocephala	ARTEMISIA pycnocephala
Artemisia tridentata ssp parishii	ARTEMISIA tridentata ssp. parishii
Artemisia tridentata ssp tridentata	ARTEMISIA tridentata ssp. tridentata
Aruncus dioicus var. pubescens	ARUNCUS dioicus var. pubescens
Asarum hartwegii	ASARUM hartwegii
Asclepias albicans	ASCLEPIAS albicans
Asclepias cordifolia	ASCLEPIAS cordifolia
Asclepias eriocarpa	ASCLEPIAS eriocarpa
Asclepias erosa	ASCLEPIAS erosa
Asclepias fascicularis	ASCLEPIAS fascicularis
Asclepias speciosa	ASCLEPIAS speciosa
Asclepias subulata	ASCLEPIAS subulata
Asclepias vestita	ASCLEPIAS vestita
Aster ascendens	ASTER ascendens
Aster chilensis	ASTER chilensis
Aster occidentalis	ASTER occidentalis var. occidentalis
Aster subspicatus not known in California	Not known in California [J]
Aster subulatus var. ligulatus	ASTER subulatus var. ligulatus
Astragalus allochrous var. playanus	ASTRAGALUS allochrous var. playanus
Astragalus canadensis var brevidens	ASTRAGALUS canadensis var. brevidens
Astragalus coccineus	ASTRAGALUS coccineus
Astragalus douglasii var parishii	ASTRAGALUS douglasii var. parishii
Astragalus gambelianus	ASTRAGALUS gambelianus
Astragalus layneae	ASTRAGALUS layneae
Astragalus lentiginosus var albifolius	ASTRAGALUS lentiginosus var. albifolius
Astragalus lentiginosus var fremontii	ASTRAGALUS lentiginosus var. fremontii
Astragalus lentiginosus var variabilis	ASTRAGALUS lentiginosus var. variabilis
Astragalus miguelensis	ASTRAGALUS miguelensis
Astragalus nevinii	ASTRAGALUS nevinii
Astragalus newberryi	ASTRAGALUS newberryi var. newberryi
Astragalus nuttallii	ASTRAGALUS nuttallii var. nuttallii
Astragalus trichopodus var. phoxus	ASTRAGALUS trichopodus var. phoxus
Athysanus pusillus	ATHYSANUS pusillus
Atriplex californica	ATRIPLEX californica
Atriplex canescens	ATRIPLEX canescens ssp. canescens
Atriplex hymenelytra	ATRIPLEX hymenelytra
Atriplex lentiformis	ATRIPLEX lentiformis ssp. lentiformis
Atriplex polycarpa	ATRIPLEX polycarpa
Atriplex semibaccata	ATRIPLEX semibaccata
Atriplex triangularis	ATRIPLEX triangularis
Avena barbata	AVENA barbata
Avena fatua	AVENA fatua
