,Species,Individual,Total.leaf.area..in2.,Ave..leaf.area..in2.,leafArea,Ave..oven.dry.mass..mg.,Total.oven.dry.mass..mg.,Total.oven.dry.mass..g.,Number.of.leaves,sla,Notes,lat,long,l.sla,precip,temp,cwd,ldmc,height
56,Pseudotsuga menzesii,61,1.732,0.049485714,31.92620343,3.802857143,133.1,0.1331,35,8.39532021,,38.01878,-122.59362,0.924037265,6.953684211,15.25958333,834.2,396.9579481,9.652220449
57,Aesculus californica,62,15.459,3.0918,1994.705688,122.44,612.2,0.6122,5,16.29129115,,38.01891,-122.59369,1.211955505,6.953684211,15.25958333,834.2,213.1096181,6.648389318
58,Quercus kelloggii,63,26.732,8.910666667,5748.805707,614.9,1844.7,1.8447,3,9.349171746,,38.01891,-122.59369,0.970773138,6.953684211,15.25958333,834.2,409.4056549,8.09410219
59,Quercus lobata,64,14.797,2.113857143,1363.776074,130.6857143,914.8,0.9148,7,10.43554058,,38.02028,-122.59269,1.018514951,6.953684211,15.25958333,810.6,318.7123297,6.615044391
60,Mimulus aurantiacus,65,1.664,0.277333333,178.9243733,29.26666667,175.6,0.1756,6,6.113589066,,38.02214,-122.59096,0.786296244,6.981219473,15.28,790,318.7511345,1.2
61,Baccharis pilularis,66,5.904,0.3936,253.934976,23.66,354.9,0.3549,15,10.73267016,,38.02218,-122.59094,1.030707783,6.981219473,15.28,790,293.1846344,2.3
62,Arbutus menzesii,67,40.03,8.006,5165.15096,1066.6,5333,5.333,5,4.842631689,,38.02377,-122.59192,0.68508144,6.981219473,15.28,761.1,442.8077983,4
63,Artemesia californica,68,3.128,0.1955,126.12878,5.725,91.6,0.0916,16,22.03122795,,38.02454,-122.59508,1.343038704,6.981219473,15.28,810.8,241.7524413,0.2
64,Mimulus aurantiacus,69,5.411,0.5411,349.096076,41.81,418.1,0.4181,10,8.349583258,,38.02454,-122.5951,0.9216648,6.981219473,15.28,810.8,324.1587843,0.4
65,Baccharis pilularis,70,4.412,0.200545455,129.3839055,10.60454545,233.3,0.2333,22,12.20079691,,38.02454,-122.5951,1.086388198,6.981219473,15.28,810.8,302.6332858,0.3
66,Adenostoma fasciculatum,71,0.919,0.061266667,39.52680267,12.20666667,183.1,0.1831,15,3.238132387,,38.02599,-122.59412,0.5102946,6.981219473,15.28,826.6,425.2206224,2.5
67,Quercus agrifolia,72,11.156,1.014181818,654.3095418,109.9272727,1209.2,1.2092,11,5.952203903,,38.02599,-122.59412,0.7746778,6.981219473,15.28,826.6,473.3051511,3.276239569
68,Heteromeles arbutifolia,73,10.762,1.34525,867.90149,209.8625,1678.9,1.6789,8,4.135572053,,38.02599,-122.59412,0.616535592,6.981219473,15.28,826.6,513.3936762,3.1
69,Umbellularia californica,74,17.551,1.7551,1132.320316,159.06,1590.6,1.5906,10,7.118825072,,38.02599,-122.59412,0.852408321,6.981219473,15.28,826.6,512.2870302,4
70,Festuca rubra,75,1.017,0.145285714,93.73253143,9.828571429,68.8,0.0688,7,9.536740116,,38.31476,-123.05725,0.979399948,6.764277441,12.30166667,NA,405.1825677,0.25
71,Baccharis pilularis,76,7.808,0.325333333,209.8920533,16.56666667,397.6,0.3976,24,12.66954044,,38.31477,-123.05736,1.102760862,6.764277441,12.30166667,NA,226.4623797,0.95
72,Salix spp.,77,21.136,1.761333333,1136.341813,115.3583333,1384.3,1.3843,12,9.85053945,,38.31431,-123.0579,0.993460015,6.764277441,12.30166667,NA,315.9925128,2.836404936
73,Pseudotsuga menzesii,78,1.909,0.05965625,38.48782625,6.259375,200.3,0.2003,32,6.148828957,,38.31417,-123.05777,0.788792412,6.764277441,12.30166667,NA,365.3775994,0.75
74,Pseudotsuga menzesii,79,2.289,0.063583333,41.02142333,6.791666667,244.5,0.2445,36,6.039964172,,38.31389,-123.05798,0.781034362,6.764277441,12.30166667,NA,356.7780534,0.95
75,Baccharis pilularis,80,6.174,0.268434783,173.1833843,13.89130435,319.5,0.3195,23,12.46703549,,38.31392,-123.05805,1.095763196,6.764277441,12.30166667,NA,268.1493915,1.4
76,Pseudotsuga menzesii,81,3.155,0.08527027,55.01296757,7.637837838,282.6,0.2826,37,7.202688606,,38.3138,-123.05814,0.857494639,6.764277441,12.30166667,NA,330.2945302,1.75
77,Baccharis pilularis,82,1.578,0.075142857,48.47916571,3.685714286,77.4,0.0774,21,13.15326202,,38.31429,-123.05816,1.119033472,6.764277441,12.30166667,NA,229.5373665,0.45
78,Pseudotsuga menzesii,83,2.384,0.076903226,49.61488516,7.225806452,224,0.224,31,6.866345714,,38.31504,-123.05925,0.836725666,6.764277441,12.30166667,0,336.7408298,NA
79,Mimulus aurantiacus,84,9.559,1.593166667,1027.847407,78.65,471.9,0.4719,6,13.06862564,,38.31541,-123.05881,1.116229917,6.764277441,12.30166667,0,321.2608074,0.7
80,Mimulus aurantiacus,85,13.854,0.9236,595.869776,48.6,729,0.729,15,12.26069498,,38.31549,-123.0588,1.088515088,6.764277441,12.30166667,0,266.4960702,0.85
