id	taxon	trait	dstate	value	sd	N	units	country	state	county	place.name	lat	long	loc.conf_km	created.by	created.date	modified.by	modified.date	source.taxon	source.trait	source.dstate	source.value	source.sd	source.N	source.units
522	Symphoricarpos albus var. laevigatus	Total lumen area	NA	130.207	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Symphoricarpos albus var. laevigatus	total_lumen_area	NA	130.207	NA	NA	mm2
523	Symphoricarpos mollis	Total lumen area	NA	57.412	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Symphoricarpos mollis	total_lumen_area	NA	57.412	NA	NA	mm2
524	Umbellularia californica	Total lumen area	NA	68.722	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Umbellularia californica	total_lumen_area	NA	68.722	NA	NA	mm2
321	Acer macrophyllum	Vessel density	NA	209.12	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Acer macrophyllum	vessel_density	NA	209.12	NA	NA	mm-2
322	Acer negundo var. californicum	Vessel density	NA	244.11	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Acer negundo var. californicum	vessel_density	NA	244.11	NA	NA	mm-2
323	Adenostoma fasciculatum	Vessel density	NA	779.05	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Adenostoma fasciculatum	vessel_density	NA	779.05	NA	NA	mm-2
324	Aesculus californica	Vessel density	NA	397.9	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Aesculus californica	vessel_density	NA	397.9	NA	NA	mm-2
325	Alnus rhombifolia	Vessel density	NA	305.59	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Alnus rhombifolia	vessel_density	NA	305.59	NA	NA	mm-2
326	Amelanchier utahensis	Vessel density	NA	445.23	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Amelanchier utahensis	vessel_density	NA	445.23	NA	NA	mm-2
327	Arbutus menziesii	Vessel density	NA	515.4	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Arbutus menziesii	vessel_density	NA	515.4	NA	NA	mm-2
328	Artemisia californica	Vessel density	NA	607.2	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Artemisia californica	vessel_density	NA	607.2	NA	NA	mm-2
329	Baccharis pilularis	Vessel density	NA	753.4	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Baccharis pilularis	vessel_density	NA	753.4	NA	NA	mm-2
330	Ceanothus cuneatus var. cuneatus	Vessel density	NA	206.12	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Ceanothus cuneatus var. cuneatus	vessel_density	NA	206.12	NA	NA	mm-2
331	Ceanothus oliganthus var. sorediatus	Vessel density	NA	258.94	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Ceanothus oliganthus var. sorediatus	vessel_density	NA	258.94	NA	NA	mm-2
332	Cercocarpus betuloides var. betuloides	Vessel density	NA	186.74	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Cercocarpus betuloides var. betuloides	vessel_density	NA	186.74	NA	NA	mm-2
333	Clematis lasiantha	Vessel density	NA	535.08	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Clematis lasiantha	vessel_density	NA	535.08	NA	NA	mm-2
334	Cornus glabrata	Vessel density	NA	280.94	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Cornus glabrata	vessel_density	NA	280.94	NA	NA	mm-2
335	Cornus sericea ssp. sericea	Vessel density	NA	429.06	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Cornus sericea ssp. sericea	vessel_density	NA	429.06	NA	NA	mm-2
336	Corylus cornuta var. californica	Vessel density	NA	312.62	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Corylus cornuta var. californica	vessel_density	NA	312.62	NA	NA	mm-2
337	Dirca occidentalis	Vessel density	NA	2249.81	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Dirca occidentalis	vessel_density	NA	2249.81	NA	NA	mm-2
338	Eriodictyon californicum	Vessel density	NA	610.5	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Eriodictyon californicum	vessel_density	NA	610.5	NA	NA	mm-2
339	Eriophyllum confertiflorum var. confertiflorum	Vessel density	NA	756.91	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Eriophyllum confertiflorum var. confertiflorum	vessel_density	NA	756.91	NA	NA	mm-2
340	Heteromeles arbutifolia	Vessel density	NA	578.26	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Heteromeles arbutifolia	vessel_density	NA	578.26	NA	NA	mm-2
341	Holodiscus discolor	Vessel density	NA	373.52	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Holodiscus discolor	vessel_density	NA	373.52	NA	NA	mm-2
342	Juglans californica var. hindsii	Vessel density	NA	110.37	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Juglans californica var. hindsii	vessel_density	NA	110.37	NA	NA	mm-2
343	Lepechinia calycina	Vessel density	NA	464.3	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Lepechinia calycina	vessel_density	NA	464.3	NA	NA	mm-2
344	Lonicera hispidula var. vacillans	Vessel density	NA	713.2	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Lonicera hispidula var. vacillans	vessel_density	NA	713.2	NA	NA	mm-2
345	Lotus scoparius var. scoparius	Vessel density	NA	432.89	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Lotus scoparius	vessel_density	NA	432.89	NA	NA	mm-2
346	Mimulus aurantiacus	Vessel density	NA	590.92	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Mimulus aurantiacus	vessel_density	NA	590.92	NA	NA	mm-2
347	Oemleria cerasiformis	Vessel density	NA	535.48	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Oemleria cerasiformis	vessel_density	NA	535.48	NA	NA	mm-2
348	Populus balsamifera ssp. trichocarpa	Vessel density	NA	363.81	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Populus balsamifera ssp. trichocarpa	vessel_density	NA	363.81	NA	NA	mm-2
349	Prunus ilicifolia ssp. ilicifolia	Vessel density	NA	469.66	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Prunus ilicifolia ssp. ilicifolia	vessel_density	NA	469.66	NA	NA	mm-2
350	Quercus agrifolia var. agrifolia	Vessel density	NA	209.48	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Quercus agrifolia var. agrifolia	vessel_density	NA	209.48	NA	NA	mm-2
351	Quercus douglasii	Vessel density	NA	158.98	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Quercus douglasii	vessel_density	NA	158.98	NA	NA	mm-2
352	Quercus durata var. durata	Vessel density	NA	211.7	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Quercus durata var. durata	vessel_density	NA	211.7	NA	NA	mm-2
353	Quercus kelloggii	Vessel density	NA	139.87	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Quercus kelloggii	vessel_density	NA	139.87	NA	NA	mm-2
354	Quercus lobata	Vessel density	NA	199.65	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Quercus lobata	vessel_density	NA	199.65	NA	NA	mm-2
355	Rhamnus californica ssp. californica	Vessel density	NA	470.85	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Rhamnus californica ssp. californica	vessel_density	NA	470.85	NA	NA	mm-2
356	Rhamnus crocea	Vessel density	NA	222.84	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Rhamnus crocea	vessel_density	NA	222.84	NA	NA	mm-2
357	Ribes californicum var. californicum	Vessel density	NA	353.35	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Ribes californicum var. californicum	vessel_density	NA	353.35	NA	NA	mm-2
358	Ribes divaricatum var. pubiflorum	Vessel density	NA	416.81	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Ribes divaricatum var. pubiflorum	vessel_density	NA	416.81	NA	NA	mm-2
359	Ribes malvaceum var. malvaceum	Vessel density	NA	267.1	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Ribes malvaceum var. malvaceum	vessel_density	NA	267.1	NA	NA	mm-2
360	Ribes sanguineum var. glutinosum	Vessel density	NA	304.42	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Ribes sanguineum var. glutinosum	vessel_density	NA	304.42	NA	NA	mm-2
361	Rosa californica	Vessel density	NA	486.53	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Rosa californica	vessel_density	NA	486.53	NA	NA	mm-2
362	Rosa spithamea	Vessel density	NA	754.49	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Rosa spithamea	vessel_density	NA	754.49	NA	NA	mm-2
363	Rubus parviflorus	Vessel density	NA	333.88	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Rubus parviflorus	vessel_density	NA	333.88	NA	NA	mm-2
364	Rubus ursinus	Vessel density	NA	383.83	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Rubus ursinus	vessel_density	NA	383.83	NA	NA	mm-2
365	Salix lasiolepis	Vessel density	NA	470.35	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Salix lasiolepis	vessel_density	NA	470.35	NA	NA	mm-2
366	Salix lucida ssp. lasiandra	Vessel density	NA	408.92	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Salix lucida ssp. lasiandra	vessel_density	NA	408.92	NA	NA	mm-2
367	Sambucus mexicana	Vessel density	NA	365.86	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Sambucus mexicana	vessel_density	NA	365.86	NA	NA	mm-2
368	Solanum umbelliferum	Vessel density	NA	272.31	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Solanum umbelliferum	vessel_density	NA	272.31	NA	NA	mm-2
369	Symphoricarpos albus var. laevigatus	Vessel density	NA	596.18	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Symphoricarpos albus var. laevigatus	vessel_density	NA	596.18	NA	NA	mm-2
370	Symphoricarpos mollis	Vessel density	NA	424.96	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Symphoricarpos mollis	vessel_density	NA	424.96	NA	NA	mm-2
371	Umbellularia californica	Vessel density	NA	137.39	NA	NA	mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Umbellularia californica	vessel_density	NA	137.39	NA	NA	mm-2
