id	taxon	trait	dstate	value	sd	N	units	country	state	county	place.name	lat	long	loc.conf_km	created.by	created.date	modified.by	modified.date	source.taxon	source.trait	source.dstate	source.value	source.sd	source.N	source.units
395	Lonicera hispidula var. vacillans	Mean vessel area	NA	0.2525	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Lonicera hispidula var. vacillans	vessel_area	NA	0.2525	NA	NA	mm2
396	Lotus scoparius var. scoparius	Mean vessel area	NA	0.1672	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Lotus scoparius	vessel_area	NA	0.1672	NA	NA	mm2
397	Mimulus aurantiacus	Mean vessel area	NA	0.1692	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Mimulus aurantiacus	vessel_area	NA	0.1692	NA	NA	mm2
398	Oemleria cerasiformis	Mean vessel area	NA	0.2039	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Oemleria cerasiformis	vessel_area	NA	0.2039	NA	NA	mm2
399	Populus balsamifera ssp. trichocarpa	Mean vessel area	NA	0.6249	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Populus balsamifera ssp. trichocarpa	vessel_area	NA	0.6249	NA	NA	mm2
400	Prunus ilicifolia ssp. ilicifolia	Mean vessel area	NA	0.2646	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Prunus ilicifolia ssp. ilicifolia	vessel_area	NA	0.2646	NA	NA	mm2
401	Quercus agrifolia var. agrifolia	Mean vessel area	NA	0.5426	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Quercus agrifolia var. agrifolia	vessel_area	NA	0.5426	NA	NA	mm2
402	Quercus douglasii	Mean vessel area	NA	0.5138	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Quercus douglasii	vessel_area	NA	0.5138	NA	NA	mm2
403	Quercus durata var. durata	Mean vessel area	NA	0.313	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Quercus durata var. durata	vessel_area	NA	0.313	NA	NA	mm2
404	Quercus kelloggii	Mean vessel area	NA	0.8993	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Quercus kelloggii	vessel_area	NA	0.8993	NA	NA	mm2
405	Quercus lobata	Mean vessel area	NA	0.473	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Quercus lobata	vessel_area	NA	0.473	NA	NA	mm2
406	Rhamnus californica ssp. californica	Mean vessel area	NA	0.196	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Rhamnus californica ssp. californica	vessel_area	NA	0.196	NA	NA	mm2
407	Rhamnus crocea	Mean vessel area	NA	0.1356	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Rhamnus crocea	vessel_area	NA	0.1356	NA	NA	mm2
408	Ribes californicum var. californicum	Mean vessel area	NA	0.2706	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Ribes californicum var. californicum	vessel_area	NA	0.2706	NA	NA	mm2
409	Ribes divaricatum var. pubiflorum	Mean vessel area	NA	0.2259	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Ribes divaricatum var. pubiflorum	vessel_area	NA	0.2259	NA	NA	mm2
410	Ribes malvaceum var. malvaceum	Mean vessel area	NA	0.2558	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Ribes malvaceum var. malvaceum	vessel_area	NA	0.2558	NA	NA	mm2
411	Ribes sanguineum var. glutinosum	Mean vessel area	NA	0.3267	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Ribes sanguineum var. glutinosum	vessel_area	NA	0.3267	NA	NA	mm2
412	Rosa californica	Mean vessel area	NA	0.2806	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Rosa californica	vessel_area	NA	0.2806	NA	NA	mm2
413	Rosa spithamea	Mean vessel area	NA	0.1381	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Rosa spithamea	vessel_area	NA	0.1381	NA	NA	mm2
414	Rubus parviflorus	Mean vessel area	NA	0.6034	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Rubus parviflorus	vessel_area	NA	0.6034	NA	NA	mm2
415	Rubus ursinus	Mean vessel area	NA	0.6304	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Rubus ursinus	vessel_area	NA	0.6304	NA	NA	mm2
416	Salix lasiolepis	Mean vessel area	NA	0.4037	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Salix lasiolepis	vessel_area	NA	0.4037	NA	NA	mm2
417	Salix lucida ssp. lasiandra	Mean vessel area	NA	0.5209	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Salix lucida ssp. lasiandra	vessel_area	NA	0.5209	NA	NA	mm2
