id	taxon	trait	value	units	created.by	created.date
84	Pellaea brachyptera	Low elevation	700	m	D. Ackerly	7/21/06
85	Pellaea breweri	Low elevation	1500	m	D. Ackerly	7/21/06
86	Pellaea bridgesii	Low elevation	1200	m	D. Ackerly	7/21/06
87	Pellaea mucronata	Low elevation	0	m	D. Ackerly	7/21/06
88	Pellaea mucronata var. californica	Low elevation	1800	m	D. Ackerly	7/21/06
89	Pellaea mucronata var. mucronata	Low elevation	0	m	D. Ackerly	7/21/06
90	Pellaea truncata	Low elevation	1200	m	D. Ackerly	7/21/06
91	Pentagramma pallida	Low elevation	100	m	D. Ackerly	7/21/06
92	Pentagramma triangularis	Low elevation	0	m	D. Ackerly	7/21/06
93	Pentagramma triangularis ssp. maxonii	Low elevation	300	m	D. Ackerly	7/21/06
94	Pentagramma triangularis ssp. triangularis	Low elevation	0	m	D. Ackerly	7/21/06
95	Pentagramma triangularis ssp. viscosa	Low elevation	0	m	D. Ackerly	7/21/06
96	Pteris cretica	Low elevation	0	m	D. Ackerly	7/21/06
97	Pteris tremula	Low elevation	500	m	D. Ackerly	7/21/06
98	Pteris vittata	Low elevation	400	m	D. Ackerly	7/21/06
99	Selaginella asprella	Low elevation	1600	m	D. Ackerly	7/21/06
100	Selaginella bigelovii	Low elevation	0	m	D. Ackerly	7/21/06
101	Selaginella cinerascens	Low elevation	0	m	D. Ackerly	7/21/06
102	Selaginella densa var. scopulorum	Low elevation	1500	m	D. Ackerly	7/21/06
103	Selaginella eremophila	Low elevation	0	m	D. Ackerly	7/21/06
104	Selaginella hansenii	Low elevation	200	m	D. Ackerly	7/21/06
105	Selaginella leucobryoides	Low elevation	600	m	D. Ackerly	7/21/06
106	Selaginella oregana	Low elevation	0	m	D. Ackerly	7/21/06
107	Selaginella wallacei	Low elevation	0	m	D. Ackerly	7/21/06
108	Selaginella watsonii	Low elevation	2300	m	D. Ackerly	7/21/06
109	Thelypteris nevadensis	Low elevation	800	m	D. Ackerly	7/21/06
110	Thelypteris puberula var. sonorensis	Low elevation	0	m	D. Ackerly	7/21/06
111	Calocedrus decurrens	Low elevation	300	m	D. Ackerly	7/21/06
112	Cupressus abramsiana	Low elevation	400	m	D. Ackerly	7/21/06
113	Cupressus arizonica	Low elevation	700	m	D. Ackerly	7/21/06
114	Cupressus arizonica ssp. arizonica	Low elevation	900	m	D. Ackerly	7/21/06
115	Cupressus arizonica ssp. nevadensis	Low elevation	700	m	D. Ackerly	7/21/06
116	Cupressus bakeri	Low elevation	1100	m	D. Ackerly	7/21/06
117	Cupressus forbesii	Low elevation	400	m	D. Ackerly	7/21/06
118	Cupressus goveniana	Low elevation	0	m	D. Ackerly	7/21/06
119	Cupressus goveniana ssp. goveniana	Low elevation	0	m	D. Ackerly	7/21/06
120	Cupressus goveniana ssp. pigmaea	Low elevation	0	m	D. Ackerly	7/21/06
121	Cupressus lawsoniana	Low elevation	0	m	D. Ackerly	7/21/06
122	Cupressus macnabiana	Low elevation	300	m	D. Ackerly	7/21/06
123	Cupressus macrocarpa	Low elevation	0	m	D. Ackerly	7/21/06
124	Cupressus nootkatensis	Low elevation	600	m	D. Ackerly	7/21/06
125	Cupressus sargentii	Low elevation	200	m	D. Ackerly	7/21/06
126	Juniperus californica	Low elevation	0	m	D. Ackerly	7/21/06
127	Juniperus communis	Low elevation	1900	m	D. Ackerly	7/21/06
128	Juniperus occidentalis	Low elevation	100	m	D. Ackerly	7/21/06
129	Juniperus occidentalis var. australis	Low elevation	100	m	D. Ackerly	7/21/06
130	Juniperus occidentalis var. occidentalis	Low elevation	700	m	D. Ackerly	7/21/06
131	Juniperus osteosperma	Low elevation	1300	m	D. Ackerly	7/21/06
132	Thuja plicata	Low elevation	0	m	D. Ackerly	7/21/06
133	Ephedra aspera	Low elevation	0	m	D. Ackerly	7/21/06
134	Ephedra californica	Low elevation	0	m	D. Ackerly	7/21/06
135	Ephedra fasciculata	Low elevation	0	m	D. Ackerly	7/21/06
136	Ephedra fasciculata var. clokeyi	Low elevation	0	m	D. Ackerly	7/21/06
137	Ephedra fasciculata var. fasciculata	Low elevation	0	m	D. Ackerly	7/21/06
138	Ephedra funerea	Low elevation	0	m	D. Ackerly	7/21/06
139	Ephedra nevadensis	Low elevation	0	m	D. Ackerly	7/21/06
140	Ephedra trifurca	Low elevation	0	m	D. Ackerly	7/21/06
141	Ephedra viridis	Low elevation	900	m	D. Ackerly	7/21/06
142	Abies amabilis	Low elevation	1700	m	D. Ackerly	7/21/06
143	Abies bracteata	Low elevation	200	m	D. Ackerly	7/21/06
144	Abies concolor	Low elevation	900	m	D. Ackerly	7/21/06
145	Abies grandis	Low elevation	0	m	D. Ackerly	7/21/06
146	Abies lasiocarpa var. lasiocarpa	Low elevation	1700	m	D. Ackerly	7/21/06
147	Abies magnifica	Low elevation	1200	m	D. Ackerly	7/21/06
148	Abies magnifica var. magnifica	Low elevation	1200	m	D. Ackerly	7/21/06
