id	taxon	trait	value	units	created.by	created.date
2768	Sedum laxum ssp. heckneri	Low elevation	100	m	D. Ackerly	7/21/06
2769	Sedum laxum ssp. laxum	Low elevation	0	m	D. Ackerly	7/21/06
2770	Sedum niveum	Low elevation	2200	m	D. Ackerly	7/21/06
2771	Sedum oblanceolatum	Low elevation	400	m	D. Ackerly	7/21/06
2772	Sedum obtusatum	Low elevation	400	m	D. Ackerly	7/21/06
2773	Sedum obtusatum ssp. boreale	Low elevation	1400	m	D. Ackerly	7/21/06
2774	Sedum obtusatum ssp. obtusatum	Low elevation	1200	m	D. Ackerly	7/21/06
2775	Sedum obtusatum ssp. retusum	Low elevation	400	m	D. Ackerly	7/21/06
2776	Sedum oreganum	Low elevation	1100	m	D. Ackerly	7/21/06
2777	Sedum oregonense	Low elevation	900	m	D. Ackerly	7/21/06
2778	Sedum paradisum	Low elevation	300	m	D. Ackerly	7/21/06
2779	Sedum radiatum	Low elevation	0	m	D. Ackerly	7/21/06
2780	Sedum roseum ssp. integrifolium	Low elevation	1800	m	D. Ackerly	7/21/06
2781	Sedum spathulifolium	Low elevation	0	m	D. Ackerly	7/21/06
2782	Sedum stenopetalum	Low elevation	1400	m	D. Ackerly	7/21/06
2783	Crossosoma bigelovii	Low elevation	0	m	D. Ackerly	7/21/06
2784	Crossosoma californicum	Low elevation	0	m	D. Ackerly	7/21/06
2785	Glossopetalon pungens	Low elevation	1700	m	D. Ackerly	7/21/06
2786	Glossopetalon spinescens	Low elevation	800	m	D. Ackerly	7/21/06
2787	Brandegea bigelovii	Low elevation	0	m	D. Ackerly	7/21/06
2788	Bryonia dioica	Low elevation	0	m	D. Ackerly	7/21/06
2789	Citrullus colocynthis var. lanatus	Low elevation	0	m	D. Ackerly	7/21/06
2790	Cucumis melo var. dudaim	Low elevation	0	m	D. Ackerly	7/21/06
2791	Cucumis myriocarpus	Low elevation	0	m	D. Ackerly	7/21/06
2792	Cucurbita digitata	Low elevation	0	m	D. Ackerly	7/21/06
2793	Cucurbita foetidissima	Low elevation	0	m	D. Ackerly	7/21/06
2794	Cucurbita palmata	Low elevation	0	m	D. Ackerly	7/21/06
2795	Marah fabaceus	Low elevation	0	m	D. Ackerly	7/21/06
2796	Marah horridus	Low elevation	0	m	D. Ackerly	7/21/06
2797	Marah macrocarpus	Low elevation	0	m	D. Ackerly	7/21/06
2798	Marah macrocarpus var. macrocarpus	Low elevation	0	m	D. Ackerly	7/21/06
2799	Marah macrocarpus var. major	Low elevation	0	m	D. Ackerly	7/21/06
2800	Marah oreganus	Low elevation	0	m	D. Ackerly	7/21/06
2801	Marah watsonii	Low elevation	0	m	D. Ackerly	7/21/06
2802	Cuscuta approximata	Low elevation	0	m	D. Ackerly	7/21/06
2803	Cuscuta californica	Low elevation	0	m	D. Ackerly	7/21/06
2804	Cuscuta californica var. apiculata	Low elevation	0	m	D. Ackerly	7/21/06
2805	Cuscuta californica var. breviflora	Low elevation	0	m	D. Ackerly	7/21/06
2806	Cuscuta californica var. californica	Low elevation	0	m	D. Ackerly	7/21/06
2807	Cuscuta californica var. papillosa	Low elevation	0	m	D. Ackerly	7/21/06
2808	Cuscuta cephalanthi	Low elevation	0	m	D. Ackerly	7/21/06
2809	Cuscuta denticulata	Low elevation	0	m	D. Ackerly	7/21/06
2810	Cuscuta howelliana	Low elevation	0	m	D. Ackerly	7/21/06
2811	Cuscuta indecora	Low elevation	0	m	D. Ackerly	7/21/06
2812	Cuscuta indecora var. indecora	Low elevation	0	m	D. Ackerly	7/21/06
2813	Cuscuta indecora var. neuropetala	Low elevation	0	m	D. Ackerly	7/21/06
2814	Cuscuta pentagona	Low elevation	0	m	D. Ackerly	7/21/06
2815	Cuscuta salina	Low elevation	100	m	D. Ackerly	7/21/06
2816	Cuscuta salina var. major	Low elevation	100	m	D. Ackerly	7/21/06
2817	Cuscuta salina var. papillata	Low elevation	0	m	D. Ackerly	7/21/06
2818	Cuscuta salina var. salina	Low elevation	100	m	D. Ackerly	7/21/06
2819	Cuscuta subinclusa	Low elevation	0	m	D. Ackerly	7/21/06
2820	Datisca glomerata	Low elevation	0	m	D. Ackerly	7/21/06
2821	Dipsacus fullonum	Low elevation	0	m	D. Ackerly	7/21/06
2822	Dipsacus sativus	Low elevation	0	m	D. Ackerly	7/21/06
2823	Scabiosa atropurpurea	Low elevation	0	m	D. Ackerly	7/21/06
2824	Scabiosa stellata	Low elevation	0	m	D. Ackerly	7/21/06
2825	Drosera anglica	Low elevation	1300	m	D. Ackerly	7/21/06
2826	Drosera rotundifolia	Low elevation	0	m	D. Ackerly	7/21/06
2827	Elaeagnus angustifolia	Low elevation	0	m	D. Ackerly	7/21/06
2828	Shepherdia argentea	Low elevation	1000	m	D. Ackerly	7/21/06
2829	Bergia texana	Low elevation	0	m	D. Ackerly	7/21/06
2830	Elatine ambigua	Low elevation	0	m	D. Ackerly	7/21/06
2831	Elatine brachysperma	Low elevation	0	m	D. Ackerly	7/21/06
2832	Elatine californica	Low elevation	0	m	D. Ackerly	7/21/06
2833	Elatine chilensis	Low elevation	600	m	D. Ackerly	7/21/06
2834	Elatine heterandra	Low elevation	1000	m	D. Ackerly	7/21/06
2835	Elatine rubella	Low elevation	0	m	D. Ackerly	7/21/06
2836	Empetrum nigrum	Low elevation	0	m	D. Ackerly	7/21/06
2837	Allotropa virgata	Low elevation	0	m	D. Ackerly	7/21/06
2838	Arbutus menziesii	Low elevation	100	m	D. Ackerly	7/21/06
2839	Arctostaphylos andersonii	Low elevation	0	m	D. Ackerly	7/21/06
2840	Arctostaphylos auriculata	Low elevation	100	m	D. Ackerly	7/21/06
2841	Arctostaphylos bakeri	Low elevation	200	m	D. Ackerly	7/21/06
2842	Arctostaphylos bakeri ssp. bakeri	Low elevation	200	m	D. Ackerly	7/21/06
2843	Arctostaphylos bakeri ssp. sublaevis	Low elevation	300	m	D. Ackerly	7/21/06
2844	Arctostaphylos canescens	Low elevation	200	m	D. Ackerly	7/21/06
2845	Arctostaphylos canescens ssp. canescens	Low elevation	400	m	D. Ackerly	7/21/06
2846	Arctostaphylos canescens ssp. sonomensis	Low elevation	200	m	D. Ackerly	7/21/06
2847	Arctostaphylos catalinae	Low elevation	300	m	D. Ackerly	7/21/06
2848	Arctostaphylos columbiana	Low elevation	0	m	D. Ackerly	7/21/06
2849	Arctostaphylos confertiflora	Low elevation	0	m	D. Ackerly	7/21/06
2850	Arctostaphylos cruzensis	Low elevation	0	m	D. Ackerly	7/21/06
2851	Arctostaphylos densiflora	Low elevation	100	m	D. Ackerly	7/21/06
2852	Arctostaphylos edmundsii	Low elevation	0	m	D. Ackerly	7/21/06
2853	Arctostaphylos gabrielensis	Low elevation	1500	m	D. Ackerly	7/21/06
2854	Arctostaphylos glandulosa	Low elevation	0	m	D. Ackerly	7/21/06
2855	Arctostaphylos glandulosa ssp. adamsii	Low elevation	200	m	D. Ackerly	7/21/06
2856	Arctostaphylos glandulosa ssp. crassifolia	Low elevation	0	m	D. Ackerly	7/21/06
2857	Arctostaphylos glandulosa ssp. glandulosa	Low elevation	300	m	D. Ackerly	7/21/06
2858	Arctostaphylos glandulosa ssp. glaucomollis	Low elevation	600	m	D. Ackerly	7/21/06
2859	Arctostaphylos glandulosa ssp. mollis	Low elevation	700	m	D. Ackerly	7/21/06
2860	Arctostaphylos glandulosa ssp. zacaensis	Low elevation	300	m	D. Ackerly	7/21/06
2861	Arctostaphylos glauca	Low elevation	0	m	D. Ackerly	7/21/06
2862	Arctostaphylos glutinosa	Low elevation	400	m	D. Ackerly	7/21/06
2863	Arctostaphylos hispidula	Low elevation	300	m	D. Ackerly	7/21/06
2864	Arctostaphylos hookeri	Low elevation	0	m	D. Ackerly	7/21/06
2865	Arctostaphylos hookeri ssp. franciscana	Low elevation	0	m	D. Ackerly	7/21/06
2866	Arctostaphylos hookeri ssp. hearstiorum	Low elevation	0	m	D. Ackerly	7/21/06
2867	Arctostaphylos hookeri ssp. hookeri	Low elevation	0	m	D. Ackerly	7/21/06
2868	Arctostaphylos hookeri ssp. montana	Low elevation	200	m	D. Ackerly	7/21/06
2869	Arctostaphylos hookeri ssp. ravenii	Low elevation	0	m	D. Ackerly	7/21/06
2870	Arctostaphylos hooveri	Low elevation	700	m	D. Ackerly	7/21/06
2871	Arctostaphylos imbricata	Low elevation	200	m	D. Ackerly	7/21/06
2872	Arctostaphylos insularis	Low elevation	0	m	D. Ackerly	7/21/06
2873	Arctostaphylos klamathensis	Low elevation	1600	m	D. Ackerly	7/21/06
2874	Arctostaphylos luciana	Low elevation	500	m	D. Ackerly	7/21/06
2875	Arctostaphylos malloryi	Low elevation	800	m	D. Ackerly	7/21/06
2876	Arctostaphylos manzanita	Low elevation	0	m	D. Ackerly	7/21/06
2877	Arctostaphylos manzanita ssp. elegans	Low elevation	600	m	D. Ackerly	7/21/06
2878	Arctostaphylos manzanita ssp. glaucescens	Low elevation	200	m	D. Ackerly	7/21/06
2879	Arctostaphylos manzanita ssp. laevigata	Low elevation	500	m	D. Ackerly	7/21/06
2880	Arctostaphylos manzanita ssp. manzanita	Low elevation	0	m	D. Ackerly	7/21/06
2881	Arctostaphylos manzanita ssp. roofii	Low elevation	800	m	D. Ackerly	7/21/06
2882	Arctostaphylos manzanita ssp. wieslanderi	Low elevation	0	m	D. Ackerly	7/21/06
2883	Arctostaphylos mendocinoensis	Low elevation	0	m	D. Ackerly	7/21/06
2884	Arctostaphylos mewukka	Low elevation	500	m	D. Ackerly	7/21/06
2885	Arctostaphylos mewukka ssp. mewukka	Low elevation	800	m	D. Ackerly	7/21/06
2886	Arctostaphylos mewukka ssp. truei	Low elevation	500	m	D. Ackerly	7/21/06
2887	Arctostaphylos montaraensis	Low elevation	200	m	D. Ackerly	7/21/06
2888	Arctostaphylos montereyensis	Low elevation	0	m	D. Ackerly	7/21/06
2889	Arctostaphylos morroensis	Low elevation	0	m	D. Ackerly	7/21/06
2890	Arctostaphylos myrtifolia	Low elevation	100	m	D. Ackerly	7/21/06
2891	Arctostaphylos nevadensis	Low elevation	900	m	D. Ackerly	7/21/06
2892	Arctostaphylos nissenana	Low elevation	400	m	D. Ackerly	7/21/06
2893	Arctostaphylos nortensis	Low elevation	500	m	D. Ackerly	7/21/06
2894	Arctostaphylos nummularia	Low elevation	0	m	D. Ackerly	7/21/06
2895	Arctostaphylos obispoensis	Low elevation	100	m	D. Ackerly	7/21/06
2896	Arctostaphylos osoensis	Low elevation	300	m	D. Ackerly	7/21/06
2897	Arctostaphylos otayensis	Low elevation	500	m	D. Ackerly	7/21/06
2898	Arctostaphylos pajaroensis	Low elevation	0	m	D. Ackerly	7/21/06
2899	Arctostaphylos pallida	Low elevation	200	m	D. Ackerly	7/21/06
2900	Arctostaphylos parryana	Low elevation	1200	m	D. Ackerly	7/21/06
2901	Arctostaphylos patula	Low elevation	700	m	D. Ackerly	7/21/06
2902	Arctostaphylos pechoensis	Low elevation	0	m	D. Ackerly	7/21/06
2903	Arctostaphylos pilosula	Low elevation	300	m	D. Ackerly	7/21/06
2904	Arctostaphylos pringlei ssp. drupacea	Low elevation	1200	m	D. Ackerly	7/21/06
2905	Arctostaphylos pumila	Low elevation	0	m	D. Ackerly	7/21/06
2906	Arctostaphylos pungens	Low elevation	900	m	D. Ackerly	7/21/06
2907	Arctostaphylos purissima	Low elevation	0	m	D. Ackerly	7/21/06
2908	Arctostaphylos refugioensis	Low elevation	300	m	D. Ackerly	7/21/06
2909	Arctostaphylos regismontana	Low elevation	500	m	D. Ackerly	7/21/06
2910	Arctostaphylos rudis	Low elevation	0	m	D. Ackerly	7/21/06
2911	Arctostaphylos silvicola	Low elevation	0	m	D. Ackerly	7/21/06
2912	Arctostaphylos stanfordiana	Low elevation	100	m	D. Ackerly	7/21/06
2913	Arctostaphylos stanfordiana ssp. decumbens	Low elevation	0	m	D. Ackerly	7/21/06
2914	Arctostaphylos stanfordiana ssp. raichei	Low elevation	400	m	D. Ackerly	7/21/06
2915	Arctostaphylos stanfordiana ssp. stanfordiana	Low elevation	300	m	D. Ackerly	7/21/06
2916	Arctostaphylos tomentosa	Low elevation	0	m	D. Ackerly	7/21/06
2917	Arctostaphylos tomentosa ssp. bracteosa	Low elevation	200	m	D. Ackerly	7/21/06
2918	Arctostaphylos tomentosa ssp. crinita	Low elevation	0	m	D. Ackerly	7/21/06
2919	Arctostaphylos tomentosa ssp. crustacea	Low elevation	0	m	D. Ackerly	7/21/06
2920	Arctostaphylos tomentosa ssp. daciticola	Low elevation	0	m	D. Ackerly	7/21/06
2921	Arctostaphylos tomentosa ssp. eastwoodiana	Low elevation	0	m	D. Ackerly	7/21/06
2922	Arctostaphylos tomentosa ssp. insulicola	Low elevation	100	m	D. Ackerly	7/21/06
2923	Arctostaphylos tomentosa ssp. rosei	Low elevation	0	m	D. Ackerly	7/21/06
2924	Arctostaphylos tomentosa ssp. subcordata	Low elevation	100	m	D. Ackerly	7/21/06
2925	Arctostaphylos tomentosa ssp. tomentosa	Low elevation	0	m	D. Ackerly	7/21/06
2926	Arctostaphylos uva-ursi	Low elevation	2400	m	D. Ackerly	7/21/06
2927	Arctostaphylos virgata	Low elevation	0	m	D. Ackerly	7/21/06
2928	Arctostaphylos viridissima	Low elevation	100	m	D. Ackerly	7/21/06
2929	Arctostaphylos viscida	Low elevation	100	m	D. Ackerly	7/21/06
2930	Arctostaphylos viscida ssp. mariposa	Low elevation	600	m	D. Ackerly	7/21/06
2931	Arctostaphylos viscida ssp. pulchella	Low elevation	200	m	D. Ackerly	7/21/06
2932	Arctostaphylos viscida ssp. viscida	Low elevation	100	m	D. Ackerly	7/21/06
2933	Arctostaphylos wellsii	Low elevation	0	m	D. Ackerly	7/21/06
2934	Cassiope mertensiana	Low elevation	1800	m	D. Ackerly	7/21/06
2935	Chimaphila menziesii	Low elevation	1000	m	D. Ackerly	7/21/06
2936	Chimaphila umbellata	Low elevation	300	m	D. Ackerly	7/21/06
2937	Comarostaphylis diversifolia	Low elevation	100	m	D. Ackerly	7/21/06
2938	Comarostaphylis diversifolia ssp. diversifolia	Low elevation	100	m	D. Ackerly	7/21/06
2939	Comarostaphylis diversifolia ssp. planifolia	Low elevation	100	m	D. Ackerly	7/21/06
2940	Erica lusitanica	Low elevation	0	m	D. Ackerly	7/21/06
2941	Gaultheria humifusa	Low elevation	1600	m	D. Ackerly	7/21/06
2942	Gaultheria ovatifolia	Low elevation	400	m	D. Ackerly	7/21/06
2943	Gaultheria shallon	Low elevation	0	m	D. Ackerly	7/21/06
2944	Hemitomes congestum	Low elevation	0	m	D. Ackerly	7/21/06
2945	Kalmia polifolia	Low elevation	1000	m	D. Ackerly	7/21/06
2946	Kalmia polifolia ssp. microphylla	Low elevation	2000	m	D. Ackerly	7/21/06
2947	Kalmia polifolia ssp. polifolia	Low elevation	1000	m	D. Ackerly	7/21/06
2948	Ledum glandulosum	Low elevation	0	m	D. Ackerly	7/21/06
2949	Leucothoe davisiae	Low elevation	1300	m	D. Ackerly	7/21/06
2950	Menziesia ferruginea	Low elevation	0	m	D. Ackerly	7/21/06
2951	Moneses uniflora	Low elevation	100	m	D. Ackerly	7/21/06
2952	Monotropa hypopithys	Low elevation	100	m	D. Ackerly	7/21/06
2953	Monotropa uniflora	Low elevation	0	m	D. Ackerly	7/21/06
2954	Ornithostaphylos oppositifolia	Low elevation	100	m	D. Ackerly	7/21/06
2955	Orthilia secunda	Low elevation	1000	m	D. Ackerly	7/21/06
2956	Phyllodoce breweri	Low elevation	1200	m	D. Ackerly	7/21/06
2957	Phyllodoce empetriformis	Low elevation	1400	m	D. Ackerly	7/21/06
2958	Pityopus californica	Low elevation	0	m	D. Ackerly	7/21/06
2959	Pleuricospora fimbriolata	Low elevation	100	m	D. Ackerly	7/21/06
2960	Pterospora andromedea	Low elevation	0	m	D. Ackerly	7/21/06
2961	Pyrola asarifolia	Low elevation	100	m	D. Ackerly	7/21/06
2962	Pyrola asarifolia ssp. asarifolia	Low elevation	1000	m	D. Ackerly	7/21/06
2963	Pyrola asarifolia ssp. bracteata	Low elevation	100	m	D. Ackerly	7/21/06
2964	Pyrola chlorantha	Low elevation	900	m	D. Ackerly	7/21/06
2965	Pyrola minor	Low elevation	2400	m	D. Ackerly	7/21/06
2966	Pyrola picta	Low elevation	400	m	D. Ackerly	7/21/06
2967	Rhododendron macrophyllum	Low elevation	0	m	D. Ackerly	7/21/06
2968	Rhododendron occidentale	Low elevation	0	m	D. Ackerly	7/21/06
2969	Sarcodes sanguinea	Low elevation	1000	m	D. Ackerly	7/21/06
2970	Vaccinium caespitosum	Low elevation	0	m	D. Ackerly	7/21/06
2971	Vaccinium deliciosum	Low elevation	600	m	D. Ackerly	7/21/06
2972	Vaccinium macrocarpon	Low elevation	900	m	D. Ackerly	7/21/06
2973	Vaccinium membranaceum	Low elevation	1100	m	D. Ackerly	7/21/06
2974	Vaccinium ovatum	Low elevation	0	m	D. Ackerly	7/21/06
2975	Vaccinium parvifolium	Low elevation	0	m	D. Ackerly	7/21/06
2976	Vaccinium scoparium	Low elevation	1800	m	D. Ackerly	7/21/06
2977	Vaccinium uliginosum ssp. occidentale	Low elevation	0	m	D. Ackerly	7/21/06
2978	Xylococcus bicolor	Low elevation	0	m	D. Ackerly	7/21/06
2979	Acalypha californica	Low elevation	200	m	D. Ackerly	7/21/06
2980	Bernardia myricifolia	Low elevation	0	m	D. Ackerly	7/21/06
2981	Chamaesyce abramsiana	Low elevation	0	m	D. Ackerly	7/21/06
2982	Chamaesyce albomarginata	Low elevation	0	m	D. Ackerly	7/21/06
2983	Chamaesyce arizonica	Low elevation	0	m	D. Ackerly	7/21/06
2984	Chamaesyce fendleri	Low elevation	1500	m	D. Ackerly	7/21/06
2985	Chamaesyce glyptosperma	Low elevation	200	m	D. Ackerly	7/21/06
2986	Chamaesyce hooveri	Low elevation	0	m	D. Ackerly	7/21/06
2987	Chamaesyce maculata	Low elevation	0	m	D. Ackerly	7/21/06
2988	Chamaesyce melanadenia	Low elevation	0	m	D. Ackerly	7/21/06
2989	Chamaesyce micromera	Low elevation	0	m	D. Ackerly	7/21/06
2990	Chamaesyce nutans	Low elevation	0	m	D. Ackerly	7/21/06
2991	Chamaesyce ocellata	Low elevation	0	m	D. Ackerly	7/21/06
2992	Chamaesyce ocellata ssp. arenicola	Low elevation	0	m	D. Ackerly	7/21/06
2993	Chamaesyce ocellata ssp. ocellata	Low elevation	0	m	D. Ackerly	7/21/06
2994	Chamaesyce ocellata ssp. rattanii	Low elevation	0	m	D. Ackerly	7/21/06
2995	Chamaesyce parishii	Low elevation	0	m	D. Ackerly	7/21/06
2996	Chamaesyce parryi	Low elevation	0	m	D. Ackerly	7/21/06
2997	Chamaesyce pediculifera	Low elevation	0	m	D. Ackerly	7/21/06
2998	Chamaesyce platysperma	Low elevation	0	m	D. Ackerly	7/21/06
2999	Chamaesyce polycarpa	Low elevation	0	m	D. Ackerly	7/21/06
3000	Chamaesyce prostrata	Low elevation	0	m	D. Ackerly	7/21/06
3001	Chamaesyce revoluta	Low elevation	0	m	D. Ackerly	7/21/06
3002	Chamaesyce serpens	Low elevation	0	m	D. Ackerly	7/21/06
3003	Chamaesyce serpyllifolia	Low elevation	0	m	D. Ackerly	7/21/06
3004	Chamaesyce serpyllifolia ssp. hirtula	Low elevation	0	m	D. Ackerly	7/21/06
3005	Chamaesyce serpyllifolia ssp. serpyllifolia	Low elevation	0	m	D. Ackerly	7/21/06
3006	Chamaesyce setiloba	Low elevation	0	m	D. Ackerly	7/21/06
3007	Chamaesyce vallis-mortae	Low elevation	0	m	D. Ackerly	7/21/06
3008	Croton californicus	Low elevation	0	m	D. Ackerly	7/21/06
3009	Croton wigginsii	Low elevation	0	m	D. Ackerly	7/21/06
3010	Ditaxis californica	Low elevation	0	m	D. Ackerly	7/21/06
3011	Ditaxis claryana	Low elevation	0	m	D. Ackerly	7/21/06
3012	Ditaxis lanceolata	Low elevation	0	m	D. Ackerly	7/21/06
3013	Ditaxis neomexicana	Low elevation	0	m	D. Ackerly	7/21/06
3014	Ditaxis serrata	Low elevation	0	m	D. Ackerly	7/21/06
3015	Eremocarpus setigerus	Low elevation	0	m	D. Ackerly	7/21/06
3016	Euphorbia crenulata	Low elevation	0	m	D. Ackerly	7/21/06
3017	Euphorbia dentata	Low elevation	0	m	D. Ackerly	7/21/06
3018	Euphorbia eriantha	Low elevation	0	m	D. Ackerly	7/21/06
3019	Euphorbia esula	Low elevation	0	m	D. Ackerly	7/21/06
3020	Euphorbia exstipulata var. exstipulata	Low elevation	1800	m	D. Ackerly	7/21/06
3021	Euphorbia helioscopia	Low elevation	0	m	D. Ackerly	7/21/06
3022	Euphorbia incisa	Low elevation	1000	m	D. Ackerly	7/21/06
3023	Euphorbia lathyris	Low elevation	0	m	D. Ackerly	7/21/06
3024	Euphorbia misera	Low elevation	0	m	D. Ackerly	7/21/06
3025	Euphorbia oblongata	Low elevation	0	m	D. Ackerly	7/21/06
3026	Euphorbia palmeri	Low elevation	1300	m	D. Ackerly	7/21/06
3027	Euphorbia peplus	Low elevation	0	m	D. Ackerly	7/21/06
3028	Euphorbia serrata	Low elevation	0	m	D. Ackerly	7/21/06
3029	Euphorbia spathulata	Low elevation	0	m	D. Ackerly	7/21/06
3030	Mercurialis annua	Low elevation	0	m	D. Ackerly	7/21/06
3031	Ricinus communis	Low elevation	0	m	D. Ackerly	7/21/06
3032	Stillingia linearifolia	Low elevation	0	m	D. Ackerly	7/21/06
3033	Stillingia paucidentata	Low elevation	0	m	D. Ackerly	7/21/06
3034	Stillingia spinulosa	Low elevation	0	m	D. Ackerly	7/21/06
3035	Tetracoccus dioicus	Low elevation	0	m	D. Ackerly	7/21/06
3036	Tetracoccus hallii	Low elevation	0	m	D. Ackerly	7/21/06
3037	Tetracoccus ilicifolius	Low elevation	600	m	D. Ackerly	7/21/06
3038	Tragia ramosa	Low elevation	900	m	D. Ackerly	7/21/06
3039	Acacia baileyana	Low elevation	0	m	D. Ackerly	7/21/06
3040	Acacia cyclops	Low elevation	0	m	D. Ackerly	7/21/06
3041	Acacia dealbata	Low elevation	0	m	D. Ackerly	7/21/06
3042	Acacia decurrens	Low elevation	0	m	D. Ackerly	7/21/06
3043	Acacia elata	Low elevation	0	m	D. Ackerly	7/21/06
3044	Acacia farnesiana var. farnesiana	Low elevation	0	m	D. Ackerly	7/21/06
3045	Acacia greggii	Low elevation	100	m	D. Ackerly	7/21/06
3046	Acacia longifolia	Low elevation	0	m	D. Ackerly	7/21/06
3047	Acacia mearnsii	Low elevation	0	m	D. Ackerly	7/21/06
3048	Acacia melanoxylon	Low elevation	0	m	D. Ackerly	7/21/06
3049	Acacia paradoxa	Low elevation	200	m	D. Ackerly	7/21/06
3050	Acacia pycnantha	Low elevation	0	m	D. Ackerly	7/21/06
3051	Acacia retinodes	Low elevation	0	m	D. Ackerly	7/21/06
3052	Acacia verticillata	Low elevation	0	m	D. Ackerly	7/21/06
3053	Aeschynomene rudis	Low elevation	0	m	D. Ackerly	7/21/06
3054	Albizia lophantha	Low elevation	0	m	D. Ackerly	7/21/06
3055	Alhagi pseudalhagi	Low elevation	0	m	D. Ackerly	7/21/06
3056	Amorpha californica	Low elevation	0	m	D. Ackerly	7/21/06
3057	Amorpha californica var. californica	Low elevation	0	m	D. Ackerly	7/21/06
3058	Amorpha californica var. napensis	Low elevation	0	m	D. Ackerly	7/21/06
3059	Amorpha fruticosa	Low elevation	0	m	D. Ackerly	7/21/06
3060	Astragalus accidens var. hendersonii	Low elevation	0	m	D. Ackerly	7/21/06
3061	Astragalus acutirostris	Low elevation	600	m	D. Ackerly	7/21/06
3062	Astragalus agnicidus	Low elevation	700	m	D. Ackerly	7/21/06
3063	Astragalus agrestis	Low elevation	1600	m	D. Ackerly	7/21/06
3064	Astragalus albens	Low elevation	1200	m	D. Ackerly	7/21/06
3065	Astragalus allochrous var. playanus	Low elevation	800	m	D. Ackerly	7/21/06
3066	Astragalus andersonii	Low elevation	1300	m	D. Ackerly	7/21/06
3067	Astragalus anxius	Low elevation	1500	m	D. Ackerly	7/21/06
3068	Astragalus argophyllus var. argophyllus	Low elevation	1400	m	D. Ackerly	7/21/06
3069	Astragalus aridus	Low elevation	0	m	D. Ackerly	7/21/06
3070	Astragalus asymmetricus	Low elevation	0	m	D. Ackerly	7/21/06
3071	Astragalus atratus var. mensanus	Low elevation	1700	m	D. Ackerly	7/21/06
3072	Astragalus austiniae	Low elevation	2700	m	D. Ackerly	7/21/06
3073	Astragalus bernardinus	Low elevation	900	m	D. Ackerly	7/21/06
3074	Astragalus bicristatus	Low elevation	1700	m	D. Ackerly	7/21/06
3075	Astragalus bolanderi	Low elevation	1500	m	D. Ackerly	7/21/06
3076	Astragalus brauntonii	Low elevation	0	m	D. Ackerly	7/21/06
3077	Astragalus breweri	Low elevation	0	m	D. Ackerly	7/21/06
3078	Astragalus californicus	Low elevation	300	m	D. Ackerly	7/21/06
3079	Astragalus calycosus var. calycosus	Low elevation	1500	m	D. Ackerly	7/21/06
3080	Astragalus canadensis var. brevidens	Low elevation	1500	m	D. Ackerly	7/21/06
3081	Astragalus casei	Low elevation	1200	m	D. Ackerly	7/21/06
3082	Astragalus cimae	Low elevation	1400	m	D. Ackerly	7/21/06
3083	Astragalus cimae var. cimae	Low elevation	1400	m	D. Ackerly	7/21/06
3084	Astragalus cimae var. sufflatus	Low elevation	1500	m	D. Ackerly	7/21/06
3085	Astragalus clarianus	Low elevation	100	m	D. Ackerly	7/21/06
3086	Astragalus clevelandii	Low elevation	200	m	D. Ackerly	7/21/06
3087	Astragalus coccineus	Low elevation	700	m	D. Ackerly	7/21/06
3088	Astragalus congdonii	Low elevation	100	m	D. Ackerly	7/21/06
3089	Astragalus crotalariae	Low elevation	0	m	D. Ackerly	7/21/06
3090	Astragalus curtipes	Low elevation	0	m	D. Ackerly	7/21/06
3091	Astragalus curvicarpus var. curvicarpus	Low elevation	1300	m	D. Ackerly	7/21/06
3092	Astragalus deanei	Low elevation	200	m	D. Ackerly	7/21/06
3093	Astragalus didymocarpus	Low elevation	0	m	D. Ackerly	7/21/06
3094	Astragalus didymocarpus var. didymocarpus	Low elevation	0	m	D. Ackerly	7/21/06
3095	Astragalus didymocarpus var. dispermus	Low elevation	0	m	D. Ackerly	7/21/06
3096	Astragalus didymocarpus var. milesianus	Low elevation	0	m	D. Ackerly	7/21/06
3097	Astragalus didymocarpus var. obispoensis	Low elevation	400	m	D. Ackerly	7/21/06
3098	Astragalus douglasii	Low elevation	100	m	D. Ackerly	7/21/06
3099	Astragalus douglasii var. douglasii	Low elevation	0	m	D. Ackerly	7/21/06
3100	Astragalus douglasii var. parishii	Low elevation	1200	m	D. Ackerly	7/21/06
3101	Astragalus douglasii var. perstrictus	Low elevation	900	m	D. Ackerly	7/21/06
3102	Astragalus ertterae	Low elevation	1700	m	D. Ackerly	7/21/06
3103	Astragalus filipes	Low elevation	1600	m	D. Ackerly	7/21/06
3104	Astragalus funereus	Low elevation	1300	m	D. Ackerly	7/21/06
3105	Astragalus gambelianus	Low elevation	0	m	D. Ackerly	7/21/06
3106	Astragalus geyeri var. geyeri	Low elevation	1500	m	D. Ackerly	7/21/06
3107	Astragalus gibbsii	Low elevation	1300	m	D. Ackerly	7/21/06
3108	Astragalus gilmanii	Low elevation	2000	m	D. Ackerly	7/21/06
3109	Astragalus hornii var. hornii	Low elevation	60	m	D. Ackerly	7/21/06
3110	Astragalus insularis var. harwoodii	Low elevation	0	m	D. Ackerly	7/21/06
3111	Astragalus inversus	Low elevation	1200	m	D. Ackerly	7/21/06
3112	Astragalus inyoensis	Low elevation	1500	m	D. Ackerly	7/21/06
3113	Astragalus iodanthus var. iodanthus	Low elevation	1200	m	D. Ackerly	7/21/06
