"","species","hemisphere","chilefornia_northbay","chilefornia_california","chilefornia_westernNA","fia_northbay","fia_california","fia_westernNA","CODE","SPECIES","COMMON.NAME","TR","SA","TS","hectares","rownum","notes"
"52","Beilschmiedia miersii","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Berberis ilicifolia","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Berberis valdiviana","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Betula neoalaskana","north",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Betula occidentalis","north",0,359,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Betula papyrifera","north",0,0,114,0,0,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Blepharocalyx cruckshanksii","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Bromus spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Check calflora/jepson to determine the most common species in the Bay Area"
"60","Buddleja globosa","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Bursera fagaroides","north",0,0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Bursera microphylla","north",0,94,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Caesalpinia spinosa","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Caldcluvia paniculata","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Calocedrus decurrens","north",79,2821,3056,11,1443,2224,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Ceanothus arboreus","north",0,302,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Ceanothus cuneatus",NA,NA,NA,NA,NA,NA,NA,"CEACUN","Ceanothus cuneatus","buckbrush",NA,2,NA,NA,10,""
"68","Ceanothus impressus","north",0,122,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Ceanothus spinosus","north",0,332,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Ceanothus thyrsiflorus","north",212,686,642,NA,NA,NA,"CEATHY","Ceanothus thyrsiflorus","California lilac",NA,4,NA,NA,NA,NA
"71","Ceanothus velutinus","north",121,1044,809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Cephalanthus occidentalis","north",53,506,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Cercocarpus betuloides ",NA,NA,NA,NA,NA,NA,NA,"CERBET","Cercocarpus betuloides ","Mountain mahogany ",NA,22,NA,NA,NA,NA
"74","Cercocarpus betuloides var. betuloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Cercocarpus montanus","north",241,2671,2385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Chamaecyparis lawsoniana","north",4,338,461,0,25,168,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Chamaecyparis nootkaensis","north",0,22,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Chilopsis linearis","north",0,1054,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Chrysolepis chrysophylla","north",244,771,1119,13,107,688,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Citronella mucronata","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Condalia globosa","north",0,119,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Cordia decandra","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Cornus glabrata","north",158,552,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Cornus nuttallii","north",130,1267,1486,3,168,344,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Cornus sericea","north",114,1660,1648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Cornus sessilis","north",0,267,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Corylus cornuta","north",253,1096,1309,NA,NA,NA,"CORCOR","Corylus cornuta","California hazelnut",NA,2,NA,NA,NA,NA
"88","Corynabutilon vitifolium","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Crataegus douglasii","north",51,194,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Crinodendron hookerianum","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Crinodendron patagua","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Cryptocarya alba","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Dasyphyllum diacanthoides","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
