id	taxon	LowEl	HighEl
2031	Draba subumbellata	3000	4100
2032	Draba verna	0	2000
2033	Eruca vesicaria ssp. sativa	0	400
2034	Erucastrum gallicum	0	200
2035	Erysimum ammophilum	0	100
2036	Erysimum capitatum	0	4000
2037	Erysimum capitatum var. angustatum	0	100
2038	Erysimum capitatum var. capitatum	0	4000
2039	Erysimum capitatum var. lompocense	0	500
2040	Erysimum capitatum var. perenne	2000	4000
2041	Erysimum cheiranthoides	0	2500
2042	Erysimum cheiri	0	1500
2043	Erysimum franciscanum	0	500
2044	Erysimum insulare	0	300
2045	Erysimum insulare ssp. insulare	0	300
2046	Erysimum insulare ssp. suffrutescens	0	200
2047	Erysimum menziesii	0	300
2048	Erysimum menziesii ssp. concinnum	0	300
2049	Erysimum menziesii ssp. eurekense	0	300
2050	Erysimum menziesii ssp. menziesii	0	300
2051	Erysimum menziesii ssp. yadonii	0	300
2052	Erysimum repandum	0	2000
2053	Erysimum teretifolium	200	400
2054	Euclidium syriacum	1200	1500
2055	Guillenia flavescens	0	800
2056	Guillenia lasiophylla	0	2500
2057	Guillenia lemmonii	300	1600
2058	Halimolobos jaegeri	1500	2500
2059	Halimolobos virgata	2000	3000
2060	Hesperis matronalis	1000	1500
2061	Heterodraba unilateralis	0	800
2062	Hirschfeldia incana	0	1600
2063	Hutchinsia procumbens	0	2600
2064	Idahoa scapigera	600	1900
2065	Isatis tinctoria	0	1000
2066	Lepidium campestre	900	1900
2067	Lepidium densiflorum	0	1800
2068	Lepidium densiflorum var. densiflorum	0	1200
2069	Lepidium densiflorum var. elongatum	700	1800
2070	Lepidium densiflorum var. macrocarpum	0	2200
2071	Lepidium densiflorum var. pubicarpum	0	1200
2072	Lepidium densiflorum var. ramosum	0	800
2073	Lepidium dictyotum	0	1000
2074	Lepidium dictyotum var. acutidens	0	1000
2075	Lepidium dictyotum var. dictyotum	0	1000
2076	Lepidium flavum	0	1400
2077	Lepidium flavum var. felipense	100	4100
2078	Lepidium flavum var. flavum	0	1400
2079	Lepidium fremontii	0	1600
2080	Lepidium fremontii var. fremontii	0	1600
2081	Lepidium fremontii var. stipitatum	1200	1500
2082	Lepidium heterophyllum	1000	1500
2083	Lepidium jaredii	0	500
2084	Lepidium lasiocarpum var. lasiocarpum	0	600
2085	Lepidium latifolium	0	1900
2086	Lepidium latipes	0	800
2087	Lepidium latipes var. heckardii	0	200
2088	Lepidium latipes var. latipes	0	800
2089	Lepidium montanum	800	2100
2090	Lepidium montanum var. canescens	1300	2100
2091	Lepidium montanum var. cinereum	800	1900
2092	Lepidium montanum var. montanum	1400	1900
2093	Lepidium nitidum	0	1500
2094	Lepidium nitidum var. howellii	700	1500
2095	Lepidium nitidum var. nitidum	0	1500
2096	Lepidium nitidum var. oreganum	0	400
2097	Lepidium oblongum	0	500
2098	Lepidium oblongum var. insulare	0	200
2099	Lepidium oblongum var. oblongum	0	500
2100	Lepidium oxycarpum	0	600
2101	Lepidium perfoliatum	600	1500
2102	Lepidium pinnatifidum	0	200
2103	Lepidium ramosissimum var. bourgeauanum	0	1000
2104	Lepidium strictum	0	300
2105	Lepidium thurberi	0	1000
2106	Lepidium virginicum	0	2400
2107	Lepidium virginicum var. medium	0	2000
2108	Lepidium virginicum var. pubescens	0	2400
2109	Lepidium virginicum var. robinsonii	0	500
2110	Lepidium virginicum var. virginicum	0	2400
2111	Lesquerella kingii	1500	2800
2112	Lesquerella kingii ssp. bernardina	1800	2200
2113	Lesquerella kingii ssp. kingii	1500	2800
2114	Lesquerella kingii ssp. latifolia	1500	2300
2115	Lesquerella occidentalis ssp. occidentalis	1600	3000
2116	Lesquerella tenella	0	1200
2117	Lobularia maritima	0	200
2118	Lunaria annua	0	200
2119	Lyrocarpa coulteri var. palmeri	0	600
2120	Malcolmia africana	1200	2000
2121	Matthiola incana	0	100
2122	Phoenicaulis cheiranthoides	1500	3200
2123	Physaria chambersii	1500	2500
2124	Polyctenium fremontii	1000	2000
2125	Polyctenium fremontii var. confertum	2000	4100
2126	Polyctenium fremontii var. fremontii	1000	1700
2127	Raphanus raphanistrum	0	800
2128	Raphanus sativus	0	1000
2129	Rapistrum rugosum	0	200
2130	Rorippa austriaca	1200	2000
2131	Rorippa columbiae	1200	1800
2132	Rorippa curvipes	0	2300
2133	Rorippa curvipes var. curvipes	800	2300
2134	Rorippa curvipes var. truncata	2200	2400
2135	Rorippa curvisiliqua	0	900
2136	Rorippa gambelii	0	1300
2137	Rorippa nasturtium-aquaticum	0	2700
2138	Rorippa palustris	0	2000
2139	Rorippa palustris var. hispida	1200	1500
2140	Rorippa palustris var. occidentalis	0	2000
2141	Rorippa sinuata	900	1900
2142	Rorippa sphaerocarpa	1200	2500
2143	Rorippa subumbellata	1800	2500
2144	Rorippa tenerrima	0	300
2145	Sibara deserti	300	1300
2146	Sibara filifolia	0	100
2147	Sibara rosulata	200	1000
2148	Sibara virginica	0	300
2149	Sinapis alba	0	1000
2150	Sinapis arvensis	0	500
2151	Sisymbrium altissimum	0	2500
2152	Sisymbrium erysimoides	0	300
2153	Sisymbrium irio	0	800
2154	Sisymbrium loeselii	1200	2000
2155	Sisymbrium officinale	0	2200
2156	Sisymbrium orientale	0	1000
2157	Smelowskia ovalis var. congesta	2900	3100
2158	Stanleya elata	1300	2000
2159	Stanleya pinnata	0	1900
2160	Stanleya pinnata var. inyoensis	800	1000
2161	Stanleya pinnata var. pinnata	0	1900
2162	Stanleya viridiflora	1300	4100
2163	Streptanthella longirostris	0	2000
2164	Streptanthus albidus	100	800
2165	Streptanthus albidus ssp. albidus	100	800
2166	Streptanthus albidus ssp. peramoenus	100	800
2167	Streptanthus barbatus	800	2200
2168	Streptanthus barbiger	200	500
2169	Streptanthus batrachopus	0	700
2170	Streptanthus bernardinus	1200	2500
2171	Streptanthus brachiatus	600	900
2172	Streptanthus brachiatus ssp. brachiatus	600	900
2173	Streptanthus brachiatus ssp. hoffmanii	600	900
2174	Streptanthus breweri	200	1700
2175	Streptanthus breweri var. breweri	200	1700
2176	Streptanthus breweri var. hesperidis	200	600
2177	Streptanthus callistus	600	4100
2178	Streptanthus campestris	900	2300
2179	Streptanthus cordatus	1200	3100
2180	Streptanthus cordatus var. cordatus	1400	2800
2181	Streptanthus cordatus var. duranii	1800	3100
2182	Streptanthus cordatus var. piutensis	1200	1700
2183	Streptanthus diversifolius	0	1600
2184	Streptanthus drepanoides	400	1600
2185	Streptanthus farnsworthianus	400	1300
2186	Streptanthus fenestratus	1200	1800
2187	Streptanthus glandulosus	0	1300
2188	Streptanthus glandulosus ssp. glandulosus	200	1300
2189	Streptanthus glandulosus ssp. pulchellus	100	800
2190	Streptanthus glandulosus ssp. secundus	0	800
2191	Streptanthus gracilis	2800	3500
2192	Streptanthus hispidus	600	1200
2193	Streptanthus howellii	600	1500
2194	Streptanthus insignis	200	1400
2195	Streptanthus insignis ssp. insignis	200	1400
2196	Streptanthus insignis ssp. lyonii	500	600
2197	Streptanthus morrisonii	100	1000
2198	Streptanthus niger	0	200
2199	Streptanthus oliganthus	2100	2800
2200	Streptanthus polygaloides	200	1100
2201	Streptanthus tortuosus	200	3500
2202	Streptanthus tortuosus var. flavescens	2600	3200
2203	Streptanthus tortuosus var. orbiculatus	1900	3500
2204	Streptanthus tortuosus var. suffrutescens	200	900
2205	Streptanthus tortuosus var. tortuosus	300	2200
2206	Subularia aquatica var. americana	2000	3100
2207	Teesdalia coronopifolia	0	100
2208	Thelypodium brachycarpum	800	2400
2209	Thelypodium crispum	1300	3000
2210	Thelypodium flexuosum	900	1800
2211	Thelypodium howellii ssp. howellii	1200	1600
2212	Thelypodium integrifolium	700	2500
2213	Thelypodium integrifolium ssp. affine	700	1100
2214	Thelypodium integrifolium ssp. complanatum	1100	2500
2215	Thelypodium laciniatum	600	1900
2216	Thelypodium milleflorum	1300	2500
2217	Thelypodium stenopetalum	1900	2200
2218	Thlaspi arvense	0	500
2219	Thlaspi californicum	500	700
2220	Thlaspi montanum var. montanum	0	2000
2221	Thysanocarpus conchuliferus	0	500
2222	Thysanocarpus curvipes	0	1800
2223	Thysanocarpus laciniatus	0	2400
2224	Thysanocarpus radians	0	1200
2225	Tropidocarpum capparideum	0	200
2226	Tropidocarpum gracile	0	1200
2227	Buddleja davidii	0	200
2228	Buddleja saligna	200	700
2229	Buddleja utahensis	900	1700
2230	Bursera microphylla	0	700
2231	Brasenia schreberi	0	2200
2232	Bergerocactus emoryi	0	100
2233	Carnegiea gigantea	0	1500
2234	Echinocactus polycephalus var. polycephalus	0	1000
2235	Echinocereus engelmannii	0	2400
2236	Echinocereus triglochidiatus	100	3000
2237	Escobaria vivipara	0	2700
2238	Escobaria vivipara var. alversonii	0	600
2239	Escobaria vivipara var. deserti	1000	2400
2240	Escobaria vivipara var. rosea	1500	2700
2241	Ferocactus cylindraceus	0	1500
2242	Ferocactus cylindraceus var. cylindraceus	0	600
2243	Ferocactus cylindraceus var. lecontei	700	4100
2244	Ferocactus viridescens	0	200
2245	Mammillaria dioica	0	1500
2246	Mammillaria milleri	300	900
2247	Mammillaria tetrancistra	100	1400
2248	Opuntia acanthocarpa var. coloradensis	0	1300
2249	Opuntia basilaris	100	2200
2250	Opuntia basilaris var. basilaris	0	900
2251	Opuntia basilaris var. brachyclada	1200	1800
2252	Opuntia basilaris var. treleasei	100	200
2253	Opuntia bigelovii	0	1000
2254	Opuntia chlorotica	600	1300
2255	Opuntia echinocarpa	300	1400
2256	Opuntia engelmannii var. engelmannii	900	1500
2257	Opuntia erinacea	900	3300
2258	Opuntia erinacea var. erinacea	900	2200
2259	Opuntia erinacea var. utahensis	2000	2800
2260	Opuntia ficus-indica	0	500
2261	Opuntia X-fosbergii	300	500
2262	Opuntia fragilis	800	900
2263	Opuntia littoralis	0	400
2264	Opuntia X-munzii	100	600
2265	Opuntia X-occidentalis	0	400
2266	Opuntia oricola	0	500
2267	Opuntia parishii	900	1200
2268	Opuntia parryi	0	1600
2269	Opuntia phaeacantha	0	2300
2270	Opuntia prolifera	0	300
2271	Opuntia pulchella	1500	1700
2272	Opuntia ramosissima	0	1100
2273	Opuntia X-vaseyi	200	500
2274	Opuntia wolfii	300	1200
2275	Sclerocactus johnsonii	500	1200
2276	Sclerocactus polyancistrus	700	2100
2277	Callitriche hermaphroditica	2000	4100
2278	Callitriche heterophylla	0	2000
2279	Callitriche heterophylla var. bolanderi	0	2000
2280	Callitriche heterophylla var. heterophylla	0	2000
2281	Callitriche marginata	1500	4100
2282	Callitriche stagnalis	0	800
2283	Callitriche trochlearis	500	4100
2284	Callitriche verna	0	4000
2285	Calycanthus occidentalis	0	1500
2286	Campanula angustiflora	0	600
2287	Campanula californica	0	100
2288	Campanula exigua	300	1300
2289	Campanula griffinii	0	600
2290	Campanula prenanthoides	0	2000
2291	Campanula rotundifolia	1400	2500
2292	Campanula scabrella	2400	2800
2293	Campanula scouleri	400	1500
2294	Campanula sharsmithiae	400	4100
2295	Campanula shetleri	1300	1500
2296	Campanula wilkinsiana	1800	2600
2297	Downingia bacigalupii	100	2300
2298	Downingia bella	0	200
2299	Downingia bicornuta	0	1700
2300	Downingia bicornuta var. bicornuta	0	1700
2301	Downingia bicornuta var. picta	0	300
2302	Downingia concolor	0	1400
2303	Downingia concolor var. brevior	1300	1500
2304	Downingia concolor var. concolor	0	700
2305	Downingia cuspidata	0	500
2306	Downingia elegans	0	2000
2307	Downingia insignis	0	1500
2308	Downingia laeta	1200	2200
2309	Downingia montana	500	1700
2310	Downingia ornatissima	100	4100
2311	Downingia ornatissima var. eximia	100	4100
2312	Downingia ornatissima var. ornatissima	100	4100
2313	Downingia pulchella	0	300
2314	Downingia pusilla	100	4100
2315	Downingia yina	0	1700
2316	Githopsis diffusa	0	2000
2317	Githopsis diffusa ssp. candida	600	1600
2318	Githopsis diffusa ssp. diffusa	400	1100
2319	Githopsis diffusa ssp. filicaulis	400	700
2320	Githopsis diffusa ssp. robusta	0	2000
2321	Githopsis pulchella	0	1300
2322	Githopsis pulchella ssp. campestris	200	1300
2323	Githopsis pulchella ssp. pulchella	0	1300
2324	Githopsis pulchella ssp. serpentinicola	400	600
2325	Githopsis specularioides	0	1400
2326	Githopsis tenella	1100	1900
2327	Heterocodon rariflorum	0	2300
2328	Legenere limosa	0	200
2329	Lobelia cardinalis var. pseudosplendens	400	1600
2330	Lobelia dunnii var. serrata	0	1900
2331	Nemacladus capillaris	400	2100
2332	Nemacladus glanduliferus	0	2400
2333	Nemacladus glanduliferus var. glanduliferus	100	1900
2334	Nemacladus glanduliferus var. orientalis	0	2400
2335	Nemacladus gracilis	0	1900
2336	Nemacladus interior	100	2700
2337	Nemacladus longiflorus	300	2400
2338	Nemacladus longiflorus var. breviflorus	800	1200
2339	Nemacladus longiflorus var. longiflorus	300	2400
2340	Nemacladus montanus	300	1200
2341	Nemacladus pinnatifidus	300	1300
2342	Nemacladus ramosissimus	100	1600
2343	Nemacladus rigidus	200	2500
2344	Nemacladus rubescens	0	1600
2345	Nemacladus secundiflorus	200	2000
2346	Nemacladus sigmoideus	0	2300
2347	Nemacladus twisselmannii	2400	2500
2348	Parishella californica	600	1500
2349	Porterella carnosula	1500	3100
2350	Triodanis biflora	0	2000
2351	Triodanis perfoliata	900	4100
2352	Cannabis sativa	0	600
2353	Humulus lupulus	0	3000
2354	Cleome lutea	1100	2400
2355	Cleome platycarpa	1200	1500
2356	Cleome serrulata	1200	1700
2357	Cleome sparsifolia	900	2000
2358	Cleomella brevipes	400	1400
2359	Cleomella obtusifolia	300	1200
2360	Cleomella parviflora	1200	2000
2361	Cleomella plocasperma	800	1400
2362	Isomeris arborea	0	1300
2363	Oxystylis lutea	600	4100
2364	Polanisia dodecandra ssp. trachysperma	1400	1500
2365	Wislizenia refracta	0	800
2366	Wislizenia refracta ssp. californica	0	100
2367	Wislizenia refracta ssp. palmeri	0	200
2368	Wislizenia refracta ssp. refracta	600	800
2369	Linnaea borealis var. longiflora	200	2600
2370	Lonicera cauriana	2200	3200
2371	Lonicera ciliosa	700	1700
2372	Lonicera conjugialis	1400	3300
2373	Lonicera etrusca	0	300
2374	Lonicera hispidula var. vacillans	0	1100
2375	Lonicera interrupta	500	1400
2376	Lonicera involucrata	0	2900
2377	Lonicera involucrata var. involucrata	600	2900
2378	Lonicera involucrata var. ledebourii	0	1500
2379	Lonicera japonica	0	1000
2380	Lonicera subspicata	0	1800
2381	Lonicera subspicata var. denudata	0	1800
2382	Lonicera subspicata var. subspicata	0	1000
2383	Lonicera tatarica	700	1100
2384	Sambucus melanocarpa	1800	3600
2385	Sambucus mexicana	0	3000
2386	Sambucus racemosa	0	3300
2387	Sambucus racemosa var. microbotrys	1800	3300
2388	Sambucus racemosa var. racemosa	0	1800
2389	Symphoricarpos albus var. laevigatus	0	1200
2390	Symphoricarpos longiflorus	1300	1600
2391	Symphoricarpos mollis	0	3000
2392	Symphoricarpos rotundifolius	1100	3300
2393	Symphoricarpos rotundifolius var. parishii	1100	3300
2394	Symphoricarpos rotundifolius var. rotundifolius	1200	3200
2395	Viburnum ellipticum	300	1400
2396	Achyronychia cooperi	0	700
2397	Agrostemma githago	0	1000
2398	Arenaria aculeata	2100	2600
2399	Arenaria congesta	1200	3300
2400	Arenaria congesta var. charlestonensis	2100	2300
2401	Arenaria congesta var. congesta	1300	2000
2402	Arenaria congesta var. crassula	2200	2500
2403	Arenaria congesta var. simulans	1300	1700
2404	Arenaria congesta var. subcongesta	1300	2800
2405	Arenaria congesta var. suffrutescens	1200	3300
2406	Arenaria kingii var. glabrescens	2100	4100
2407	Arenaria lanuginosa ssp. saxosa	1800	2600
2408	Arenaria macradenia	1100	2500
2409	Arenaria macradenia var. arcuifolia	600	2400
2410	Arenaria macradenia ssp. ferrisiae	1400	2500
2411	Arenaria macradenia var. kuschei	0	4100
2412	Arenaria macradenia var. macradenia	1100	2200
2413	Arenaria paludicola	0	300
2414	Arenaria serpyllifolia ssp. serpyllifolia	100	1800
2415	Arenaria ursina	1900	2100
2416	Cardionema ramosissimum	0	200
2417	Cerastium arvense	0	2500
2418	Cerastium beeringianum var. capillare	2900	4300
2419	Cerastium dichotomum	700	900
2420	Cerastium fontanum ssp. vulgare	0	2200
2421	Cerastium glomeratum	0	1600
2422	Dianthus armeria ssp. armeria	400	1200
2423	Dianthus barbatus ssp. barbatus	0	1500
2424	Dianthus deltoides ssp. deltoides	0	2500
2425	Gypsophila elegans var. elegans	2000	4100
2426	Gypsophila paniculata var. paniculata	1200	2000
2427	Gypsophila scorzonerifolia	1200	4100
2428	Herniaria hirsuta	0	1800
2429	Herniaria hirsuta ssp. cinerea	0	800
2430	Herniaria hirsuta ssp. hirsuta	200	1800
2431	Holosteum umbellatum ssp. umbellatum	0	900
2432	Loeflingia squarrosa	0	1200
2433	Loeflingia squarrosa var. artemisiarum	700	1200
2434	Loeflingia squarrosa var. squarrosa	0	1200
2435	Lychnis coronaria	0	500
2436	Minuartia californica	0	1500
2437	Minuartia decumbens	1500	1600
2438	Minuartia douglasii	100	1800
2439	Minuartia howellii	500	1000
2440	Minuartia nuttallii	600	3800
2441	Minuartia nuttallii ssp. fragilis	1600	2400
2442	Minuartia nuttallii ssp. gracilis	1500	3800
2443	Minuartia nuttallii ssp. gregaria	600	3200
2444	Minuartia obtusiloba	3100	3700
2445	Minuartia pusilla	800	2400
2446	Minuartia rosei	700	1400
2447	Minuartia rubella	2400	3800
2448	Minuartia stolonifera	1200	1400
2449	Minuartia stricta	3500	3900
2450	Moehringia macrophylla	300	1800
2451	Moenchia erecta ssp. erecta	200	4100
2452	Paronychia ahartii	0	500
2453	Paronychia echinulata var. echinulata	0	4100
2454	Paronychia franciscana	0	300
2455	Petrorhagia dubia	0	1800
2456	Petrorhagia nanteuilii	200	4100
2457	Petrorhagia prolifera	400	4100
2458	Polycarpon depressum	0	500
2459	Polycarpon tetraphyllum	0	500
2460	Pseudostellaria jamesiana	1400	2700
2461	Sagina apetala	0	700
2462	Sagina decumbens ssp. occidentalis	0	2000
2463	Sagina maxima ssp. crassicaulis	0	100
2464	Sagina procumbens	0	100
2465	Sagina saginoides	1000	3800
2466	Saponaria officinalis	0	1500
2467	Scleranthus annuus ssp. annuus	300	1200
2468	Scopulophila rixfordii	1200	1600
2469	Silene antirrhina	0	1800
2470	Silene aperta	1800	2800
2471	Silene bernardina	1300	3600
2472	Silene bridgesii	600	2400
2473	Silene californica	0	2200
2474	Silene campanulata	300	1900
2475	Silene campanulata ssp. campanulata	500	1000
2476	Silene campanulata ssp. glandulosa	300	1900
2477	Silene conoidea	0	500
2478	Silene dichotoma	0	1000
2479	Silene douglasii	1400	2900
2480	Silene gallica	0	1000
2481	Silene grayi	1200	2900
2482	Silene hookeri	0	1400
2483	Silene invisa	900	2800
2484	Silene laciniata ssp. major	0	1200
2485	Silene latifolia ssp. alba	0	1000
2486	Silene lemmonii	800	2800
2487	Silene marmorensis	800	1000
2488	Silene menziesii	900	2900
2489	Silene multinervia	0	2000
2490	Silene noctiflora	0	1900
2491	Silene nuda	1200	1900
2492	Silene occidentalis	700	2300
2493	Silene occidentalis ssp. longistipitata	1000	2000
2494	Silene occidentalis ssp. occidentalis	700	2300
2495	Silene oregana	1500	2500
2496	Silene parishii	1800	3400
2497	Silene sargentii	2400	3800
2498	Silene scouleri ssp. grandis	0	300
2499	Silene suksdorfii	2400	3100
2500	Silene verecunda	0	3400
2501	Silene verecunda ssp. andersonii	1700	2700
2502	Silene verecunda ssp. platyota	300	3400
2503	Silene verecunda ssp. verecunda	0	400
2504	Silene vulgaris	0	1200
2505	Spergula arvensis ssp. arvensis	0	200
2506	Spergularia atrosperma	0	1500
2507	Spergularia bocconei	0	400
2508	Spergularia canadensis var. occidentalis	0	100
2509	Spergularia macrotheca	0	800
2510	Spergularia macrotheca var. leucantha	0	800
2511	Spergularia macrotheca var. longistyla	0	200
2512	Spergularia macrotheca var. macrotheca	0	300
2513	Spergularia marina	0	700
2514	Spergularia media	0	100
2515	Spergularia platensis	0	400
2516	Spergularia rubra	0	2400
2517	Spergularia villosa	0	500
2518	Stellaria borealis ssp. sitchana	0	2100
2519	Stellaria calycantha	1700	3800
2520	Stellaria crispa	0	1700
2521	Stellaria graminea	0	100
2522	Stellaria littoralis	0	100
2523	Stellaria longifolia	900	4100
2524	Stellaria longipes var. longipes	1200	3500
2525	Stellaria media	0	1300
2526	Stellaria nitens	0	1500
2527	Stellaria obtusa	1600	2000
2528	Stellaria pallida	0	500
2529	Stellaria umbellata	1800	2300
2530	Vaccaria hispanica	0	2800
2531	Velezia rigida	100	800
2532	Euonymus occidentalis	0	2000
2533	Euonymus occidentalis var. occidentalis	0	1600
2534	Euonymus occidentalis var. parishii	1300	2000
2535	Mortonia utahensis	900	2100
2536	Paxistima myrsinites	600	2000
2537	Ceratophyllum demersum	0	2000
2538	Allenrolfea occidentalis	0	1300
2539	Aphanisma blitoides	0	100
2540	Atriplex argentea	0	1700
2541	Atriplex argentea var. argentea	0	1500
2542	Atriplex argentea var. hillmanii	1200	1700
2543	Atriplex argentea var. mohavensis	0	1000
2544	Atriplex californica	0	100
2545	Atriplex canescens	0	2400
2546	Atriplex canescens ssp. canescens	0	2400
2547	Atriplex canescens ssp. linearis	0	100
2548	Atriplex confertifolia	0	2400
2549	Atriplex cordulata	0	200
2550	Atriplex coronata	0	500
2551	Atriplex coronata var. coronata	0	200
2552	Atriplex coronata var. notatior	400	500
2553	Atriplex coulteri	0	100
2554	Atriplex depressa	0	200
2555	Atriplex elegans	0	1000
2556	Atriplex elegans var. elegans	0	800
2557	Atriplex elegans var. fasciculata	0	1000
2558	Atriplex fruticulosa	0	700
2559	Atriplex gardneri var. falcata	1200	1700
2560	Atriplex heterosperma	0	1200
2561	Atriplex hortensis	0	1300
2562	Atriplex hymenelytra	0	1500
2563	Atriplex joaquiniana	0	300
2564	Atriplex lentiformis	0	1500
2565	Atriplex lentiformis ssp. lentiformis	0	1500
2566	Atriplex lentiformis ssp. torreyi	300	1500
2567	Atriplex leucophylla	0	100
2568	Atriplex lindleyi	0	200
2569	Atriplex minuscula	0	200
2570	Atriplex nummularia	0	100
2571	Atriplex pacifica	0	100
2572	Atriplex parishii	0	1900
2573	Atriplex parryi	0	1500
2574	Atriplex patula	0	1400
2575	Atriplex patula var. obtusa	0	1400
2576	Atriplex patula var. patula	0	1400
2577	Atriplex phyllostegia	0	1500
2578	Atriplex polycarpa	0	1500
2579	Atriplex pusilla	1300	2000
2580	Atriplex rosea	0	2400
2581	Atriplex semibaccata	0	1000
2582	Atriplex serenana	0	2000
2583	Atriplex serenana var. davidsonii	0	200
2584	Atriplex serenana var. serenana	0	2000
2585	Atriplex spinifera	0	800
2586	Atriplex suberecta	0	300
2587	Atriplex subspicata	0	200
2588	Atriplex triangularis	0	300
2589	Atriplex truncata	600	2500
2590	Atriplex tularensis	0	200
2591	Atriplex vallicola	0	200
2592	Atriplex watsonii	0	100
2593	Bassia hyssopifolia	0	1200
2594	Beta vulgaris	0	200
2595	Chenopodium album	0	1800
2596	Chenopodium ambrosioides	0	1400
2597	Chenopodium atrovirens	300	3500
2598	Chenopodium berlandieri	0	2700
2599	Chenopodium botrys	0	2100
2600	Chenopodium californicum	0	2000
2601	Chenopodium carnosulum var. patagonicum	0	200
2602	Chenopodium chenopodioides	0	2500
2603	Chenopodium desiccatum	0	2900
2604	Chenopodium foliosum	0	3700
2605	Chenopodium fremontii	700	3100
2606	Chenopodium glaucum	0	2200
2607	Chenopodium hians	300	2700
2608	Chenopodium incanum var. occidentale	700	2300
2609	Chenopodium incognitum	800	2700
2610	Chenopodium leptophyllum	300	3200
2611	Chenopodium macrospermum var. halophilum	0	100
2612	Chenopodium missouriense	0	1000
2613	Chenopodium multifidum	0	1400
2614	Chenopodium murale	0	2900
2615	Chenopodium nevadense	1400	2000
2616	Chenopodium pratericola	0	2500
2617	Chenopodium pumilio	0	3000
2618	Chenopodium rubrum	0	1100
2619	Chenopodium simplex	1400	2400
2620	Chenopodium strictum var. glaucophyllum	0	1700
2621	Chenopodium vulvaria	0	1400
2622	Corispermum hyssopifolium	100	1100
2623	Cycloloma atriplicifolium	0	800
2624	Grayia spinosa	500	2800
2625	Halogeton glomeratus	800	1800
2626	Kochia americana	600	2100
2627	Kochia californica	0	1000
2628	Kochia scoparia	0	1500
2629	Krascheninnikovia lanata	100	2700
2630	Monolepis nuttalliana	0	3500
2631	Monolepis pusilla	1500	2400
2632	Monolepis spathulata	1400	2600
2633	Nitrophila mohavensis	600	800
2634	Nitrophila occidentalis	0	1500
2635	Salicornia bigelovii	0	100
2636	Salicornia europaea	0	1200
2637	Salicornia subterminalis	0	800
2638	Salicornia utahensis	0	100
2639	Salicornia virginica	0	100
2640	Salsola damascena	1000	4100
2641	Salsola paulsenii	700	1800
2642	Salsola soda	0	100
2643	Salsola tragus	0	2700
2644	Sarcobatus vermiculatus	100	2100
2645	Suaeda calceoliformis	0	2200
2646	Suaeda californica	0	100
2647	Suaeda esteroa	0	100
2648	Suaeda moquinii	0	1600
2649	Suaeda taxifolia	0	100
2650	Cistus creticus	0	500
2651	Cistus ladanifer	0	300
2652	Cistus monspeliensis	0	300
2653	Cistus salviifolius	0	300
2654	Helianthemum greenei	0	300
2655	Helianthemum scoparium	0	1500
2656	Tuberaria guttata	0	200
2657	Calystegia atriplicifolia ssp. buttensis	600	1200
2658	Calystegia collina	0	600
2659	Calystegia collina ssp. collina	0	600
2660	Calystegia collina ssp. oxyphylla	0	600
2661	Calystegia collina ssp. tridactylosa	0	600
2662	Calystegia collina ssp. venusta	0	600
2663	Calystegia longipes	600	1300
2664	Calystegia macrostegia	0	1000
2665	Calystegia macrostegia ssp. amplissima	0	100
2666	Calystegia macrostegia ssp. arida	0	1000
2667	Calystegia macrostegia ssp. cyclostegia	0	400
2668	Calystegia macrostegia ssp. intermedia	0	200
2669	Calystegia macrostegia ssp. macrostegia	0	500
2670	Calystegia macrostegia ssp. tenuifolia	0	500
2671	Calystegia malacophylla	300	3500
2672	Calystegia malacophylla ssp. malacophylla	1000	2400
2673	Calystegia malacophylla ssp. pedicellata	300	1900
2674	Calystegia occidentalis	300	2700
2675	Calystegia occidentalis ssp. fulcrata	300	2700
2676	Calystegia occidentalis ssp. occidentalis	0	1200
2677	Calystegia peirsonii	1000	1500
2678	Calystegia purpurata	0	300
2679	Calystegia purpurata ssp. purpurata	0	300
2680	Calystegia purpurata ssp. saxicola	0	100
2681	Calystegia sepium	0	500
2682	Calystegia sepium ssp. binghamiae	0	100
2683	Calystegia sepium ssp. limnophila	0	500
2684	Calystegia soldanella	0	100
2685	Calystegia stebbinsii	200	400
2686	Calystegia subacaulis	0	500
2687	Calystegia subacaulis ssp. episcopalis	0	500
2688	Calystegia subacaulis ssp. subacaulis	0	500
2689	Convolvulus althaeoides	0	1000
2690	Convolvulus arvensis	0	1500
2691	Convolvulus simulans	0	700
2692	Cressa truxillensis	0	1200
2693	Dichondra donelliana	0	300
2694	Dichondra occidentalis	0	500
2695	Ipomoea cairica	300	4100
2696	Ipomoea mutabilis	0	100
2697	Ipomoea nil	200	300
2698	Ipomoea purpurea	0	100
2699	Ipomoea triloba	0	100
2700	Cornus canadensis	1000	1200
2701	Cornus glabrata	0	1600
2702	Cornus nuttallii	0	2000
2703	Cornus sericea	0	2800
2704	Cornus sericea ssp. occidentalis	0	2500
2705	Cornus sericea ssp. sericea	0	2800
2706	Cornus sessilis	0	1600
2707	Aeonium arboreum var. arboreum	0	100
2708	Aeonium haworthii	0	100
2709	Cotyledon orbiculata var. oblonga	0	100
2710	Crassula aquatica	0	3000
2711	Crassula connata	0	1500
2712	Crassula solieri	0	500
2713	Crassula tillaea	0	500
2714	Dudleya abramsii	0	2600
