species
Abies concolor
Abies grandis
Abies magnifica
Acer macrophyllum
Acer negundo
Adenostoma fasciculatum
Aesculus californica
Alnus rhombifolia
Alnus rubra
Amorpha californica
Arbutus menziesii
Arctostaphylos manzanita
Baccharis pilularis
Calocedrus decurrens
Ceanothus cuneatus
Ceanothus thyrsiflorus
Chrysolepis chrysophylla
Cornus nuttallii
Corylus cornuta
Frangula californica
Fraxinus latifolia
Heteromeles arbutifolia
Juniperus californica
Pinus attenuata
Pinus contorta
Pinus jeffreyi
Pinus lambertiana
Pinus monticola
Pinus ponderosa
Pinus sabiniana
Pinus virginiana
Prunus cerasifera
Prunus emarginata
Prunus ilicifolia
Pseudotsuga menziesii
Quercus agrifolia
Quercus berberidifolia
Quercus chrysolepis
Quercus douglasii
Quercus dumosa
Quercus durata
Quercus engelmannii
Quercus gambelii
Quercus gambellii
Quercus garryana
Quercus kelloggii
Quercus lobata
Quercus vacciniifolia
Quercus wislizeni
Rhamnus crocea
Salix exigua
Salix laevigata
Salix lasiolepis
Sambucus nigra
Sequoia sempervirens
Taxus brevifolia
Torreya californica
Tsuga heterophylla
Umbellularia californica
Quercus cornelius-mulleri
Quercus john-tuckeri
Quercus palmeri
Quercus parvula
Quercus sadleriana
Quercus tomentella
Quercus vaccinifolia
Amorpha
Cercocarpus betuloides var. betuloides
Notholithocarpus densiflorus
Salix exigua var. hindsiana
Quercus chrysolepis var. chrysolepis
Quercus dumosa var. dumosa
Quercus gambelii var. gambelii
Quercus pacifica
Quercus parvula var. shrevei
