species,hemisphere,chilefornia_northbay,chilefornia_california,chilefornia_westernNA,fia_northbay,fia_california,fia_westernNA
Hesperocyparis macrocarpa,north,4,120,79,NA,NA,NA
Hesperocyparis sargentii,north,480,621,621,NA,NA,NA
Heteromeles arbutifolia,north,398,4035,3917,NA,NA,NA
Jubaea chilensis,south,0,0,0,NA,NA,NA
Juglans californica,north,14,1141,1121,NA,NA,NA
Juglans hindsii,north,60,487,487,NA,NA,NA
Juniperus californica,north,17,1017,553,1,131,82
Juniperus communis,north,0,383,470,NA,NA,NA
Juniperus grandis,north,0,438,213,NA,NA,NA
Juniperus occidentalis,north,4,1565,1225,0,487,566
Juniperus osteosperma,north,0,557,15,0,57,1
Juniperus scopulorum,north,0,4,46,0,0,0
Kageneckia angustifolia,south,0,0,0,NA,NA,NA
Kageneckia oblonga,south,0,0,0,NA,NA,NA
Karwinskia humboldtiana,north,0,0,17,NA,NA,NA
Koeberlinia spinosa,north,0,41,10,NA,NA,NA
Larix lyallii,north,0,0,8,NA,NA,NA
Larix occidentalis,north,0,0,5,0,1,8
Latua pubiflora,south,0,0,0,NA,NA,NA
Laurelia sempervirens,south,0,0,0,NA,NA,NA
Laureliopsis philippiana,south,0,0,0,NA,NA,NA
Legrandia concinna,south,0,0,0,NA,NA,NA
Lepidospartum squamatum,north,0,1289,957,NA,NA,NA
Lithraea caustica,south,0,0,0,NA,NA,NA
Lomatia dentata,south,0,0,0,NA,NA,NA
Lomatia ferruginea,south,0,0,0,NA,NA,NA
Lomatia hirsuta,south,0,0,0,NA,NA,NA
Luma apiculata,south,0,0,0,NA,NA,NA
Luma chequen,south,0,0,0,NA,NA,NA
Lyonothamnus floribundus,north,0,492,489,NA,NA,NA
Malosma laurina,north,0,2379,2392,NA,NA,NA
Malus fusca,north,2,86,459,NA,NA,NA
Maytenus boaria,south,0,0,0,NA,NA,NA
Maytenus magellanica,south,0,0,0,NA,NA,NA
Maytenus phyllanthoides,north,0,0,32,NA,NA,NA
Monttea chilensis,south,0,0,0,NA,NA,NA
Morella californica,north,193,509,515,NA,NA,NA
Morella pavonis,south,0,0,0,NA,NA,NA
Myrceugenia chrysocarpa,south,0,0,0,NA,NA,NA
Myrceugenia colchaguensis,south,0,0,0,NA,NA,NA
Myrceugenia correifolia,south,0,0,0,NA,NA,NA
Myrceugenia exsucca,south,0,0,0,NA,NA,NA
Myrceugenia obtusa,south,0,0,0,NA,NA,NA
Myrceugenia ovata,south,0,0,0,NA,NA,NA
Myrceugenia parvifolia,south,0,0,0,NA,NA,NA
Myrceugenia planipes,south,0,0,0,NA,NA,NA
Nothofagus alessandri,south,0,0,0,NA,NA,NA
Nothofagus alpina,south,0,0,0,NA,NA,NA
