id	group	family	taxon	binomial	taxon.auth	genus	species	speciesAuth	intraRank	intraName	intraAuth	tjm1.valid	mrt	intra_rank	species_rank_or_only_subsp_in_CA
1136	Dicot	Asteraceae	Hieracium albiflorum	Hieracium albiflorum	Hieracium albiflorum Hook.	Hieracium	albiflorum	Hook.				1	1	0	1
1137	Dicot	Asteraceae	Hieracium argutum	Hieracium argutum	Hieracium argutum Nutt.	Hieracium	argutum	Nutt.				1	1	0	1
1138	Dicot	Asteraceae	Hieracium aurantiacum	Hieracium aurantiacum	Hieracium aurantiacum L.	Hieracium	aurantiacum	L.				1	1	0	1
1139	Dicot	Asteraceae	Hieracium bolanderi	Hieracium bolanderi	Hieracium bolanderi A. Gray	Hieracium	bolanderi	A. Gray				1	1	0	1
1140	Dicot	Asteraceae	Hieracium gracile	Hieracium gracile	Hieracium gracile Hook.	Hieracium	gracile	Hook.				1	1	0	1
1141	Dicot	Asteraceae	Hieracium greenei	Hieracium greenei	Hieracium greenei A. Gray	Hieracium	greenei	A. Gray				1	1	0	1
1142	Dicot	Asteraceae	Hieracium horridum	Hieracium horridum	Hieracium horridum Fries	Hieracium	horridum	Fries				1	1	0	1
1143	Dicot	Asteraceae	Hieracium scouleri	Hieracium scouleri	Hieracium scouleri Hook.	Hieracium	scouleri	Hook.				1	1	0	1
1144	Dicot	Asteraceae	Holocarpha heermannii	Holocarpha heermannii	Holocarpha heermannii (Greene) D.D. Keck	Holocarpha	heermannii	(Greene) D.D. Keck				1	1	0	1
1145	Dicot	Asteraceae	Holocarpha macradenia	Holocarpha macradenia	Holocarpha macradenia (DC.) Greene	Holocarpha	macradenia	(DC.) Greene				1	1	0	1
1146	Dicot	Asteraceae	Holocarpha obconica	Holocarpha obconica	Holocarpha obconica (J.C. Clausen & D.D. Keck) D.D. Keck	Holocarpha	obconica	(J.C. Clausen & D.D. Keck) D.D. Keck				1	1	0	1
1147	Dicot	Asteraceae	Holocarpha virgata	Holocarpha virgata	Holocarpha virgata (A. Gray) D.D. Keck	Holocarpha	virgata	(A. Gray) D.D. Keck				1	0	0	1
1148	Dicot	Asteraceae	Holocarpha virgata ssp. elongata	Holocarpha virgata	Holocarpha virgata (A. Gray) D.D. Keck ssp. elongata D.D. Keck	Holocarpha	virgata	(A. Gray) D.D. Keck	ssp.	elongata	D.D. Keck	1	1	1	0
1149	Dicot	Asteraceae	Holocarpha virgata ssp. virgata	Holocarpha virgata	Holocarpha virgata (A. Gray) D.D. Keck ssp. virgata	Holocarpha	virgata	(A. Gray) D.D. Keck	ssp.	virgata		1	1	1	0
1150	Dicot	Asteraceae	Holozonia filipes	Holozonia filipes	Holozonia filipes (Hook. & Arn.) Greene	Holozonia	filipes	(Hook. & Arn.) Greene				1	1	0	1
1151	Dicot	Asteraceae	Hulsea algida	Hulsea algida	Hulsea algida A. Gray	Hulsea	algida	A. Gray				1	1	0	1
1152	Dicot	Asteraceae	Hulsea brevifolia	Hulsea brevifolia	Hulsea brevifolia A. Gray	Hulsea	brevifolia	A. Gray				1	1	0	1
1153	Dicot	Asteraceae	Hulsea californica	Hulsea californica	Hulsea californica Torrey & A. Gray	Hulsea	californica	Torrey & A. Gray				1	1	0	1
1154	Dicot	Asteraceae	Hulsea heterochroma	Hulsea heterochroma	Hulsea heterochroma A. Gray	Hulsea	heterochroma	A. Gray				1	1	0	1
1155	Dicot	Asteraceae	Hulsea mexicana	Hulsea mexicana	Hulsea mexicana Rydb.	Hulsea	mexicana	Rydb.				1	1	0	1
1156	Dicot	Asteraceae	Hulsea nana	Hulsea nana	Hulsea nana A. Gray	Hulsea	nana	A. Gray				1	1	0	1
1157	Dicot	Asteraceae	Hulsea vestita	Hulsea vestita	Hulsea vestita A. Gray	Hulsea	vestita	A. Gray				1	0	0	1
1158	Dicot	Asteraceae	Hulsea vestita ssp. callicarpha	Hulsea vestita	Hulsea vestita A. Gray ssp. callicarpha (H.M. Hall) Wilken	Hulsea	vestita	A. Gray	ssp.	callicarpha	(H.M. Hall) Wilken	1	1	1	0
1159	Dicot	Asteraceae	Hulsea vestita ssp. gabrielensis	Hulsea vestita	Hulsea vestita A. Gray ssp. gabrielensis Wilken	Hulsea	vestita	A. Gray	ssp.	gabrielensis	Wilken	1	1	1	0
1160	Dicot	Asteraceae	Hulsea vestita ssp. inyoensis	Hulsea vestita	Hulsea vestita A. Gray ssp. inyoensis (D.D. Keck) Wilken	Hulsea	vestita	A. Gray	ssp.	inyoensis	(D.D. Keck) Wilken	1	1	1	0
1161	Dicot	Asteraceae	Hulsea vestita ssp. parryi	Hulsea vestita	Hulsea vestita A. Gray ssp. parryi (A. Gray) Wilken	Hulsea	vestita	A. Gray	ssp.	parryi	(A. Gray) Wilken	1	1	1	0
1162	Dicot	Asteraceae	Hulsea vestita ssp. pygmaea	Hulsea vestita	Hulsea vestita A. Gray ssp. pygmaea (A. Gray) Wilken	Hulsea	vestita	A. Gray	ssp.	pygmaea	(A. Gray) Wilken	1	1	1	0
1163	Dicot	Asteraceae	Hulsea vestita ssp. vestita	Hulsea vestita	Hulsea vestita A. Gray ssp. vestita	Hulsea	vestita	A. Gray	ssp.	vestita		1	1	1	0
1164	Dicot	Asteraceae	Hymenoclea monogyra	Hymenoclea monogyra	Hymenoclea monogyra A. Gray	Hymenoclea	monogyra	A. Gray				1	1	0	1
1165	Dicot	Asteraceae	Hymenoclea salsola	Hymenoclea salsola	Hymenoclea salsola A. Gray	Hymenoclea	salsola	A. Gray				1	0	0	1
1166	Dicot	Asteraceae	Hymenoclea salsola var. patula	Hymenoclea salsola	Hymenoclea salsola A. Gray var. patula (Nelson) Peterson & Payne	Hymenoclea	salsola	A. Gray	var.	patula	(Nelson) Peterson & Payne 	1	1	1	0
1167	Dicot	Asteraceae	Hymenoclea salsola var. pentalepis	Hymenoclea salsola	Hymenoclea salsola A. Gray var. pentalepis (Rydb.) L.D. Benson	Hymenoclea	salsola	A. Gray	var.	pentalepis	(Rydb.) L.D. Benson	1	1	1	0
1168	Dicot	Asteraceae	Hymenoclea salsola var. salsola	Hymenoclea salsola	Hymenoclea salsola A. Gray var. salsola	Hymenoclea	salsola	A. Gray	var.	salsola		1	1	1	0
1169	Dicot	Asteraceae	Hymenopappus filifolius	Hymenopappus filifolius	Hymenopappus filifolius Hook.	Hymenopappus	filifolius	Hook.				1	0	0	1
1170	Dicot	Asteraceae	Hymenopappus filifolius var. eriopodus	Hymenopappus filifolius	Hymenopappus filifolius Hook. var. eriopodus (Nelson) B.L. Turner	Hymenopappus	filifolius	Hook.	var.	eriopodus	(Nelson) B.L. Turner	1	1	1	0
1171	Dicot	Asteraceae	Hymenopappus filifolius var. lugens	Hymenopappus filifolius	Hymenopappus filifolius Hook. var. lugens (Greene) Jeps.	Hymenopappus	filifolius	Hook.	var.	lugens	(Greene) Jeps.	1	1	1	0
1172	Dicot	Asteraceae	Hymenopappus filifolius var. megacephalus	Hymenopappus filifolius	Hymenopappus filifolius Hook. var. megacephalus B.L. Turner	Hymenopappus	filifolius	Hook.	var.	megacephalus	B.L. Turner	1	1	1	0
1173	Dicot	Asteraceae	Hymenopappus filifolius var. nanus	Hymenopappus filifolius	Hymenopappus filifolius Hook. var. nanus (Rydb.) B.L. Turner	Hymenopappus	filifolius	Hook.	var.	nanus	(Rydb.) B.L. Turner	1	1	1	0
1174	Dicot	Asteraceae	Hymenothrix loomisii	Hymenothrix loomisii	Hymenothrix loomisii S.F. Blake	Hymenothrix	loomisii	S.F. Blake				1	1	0	1
1175	Dicot	Asteraceae	Hymenothrix wrightii	Hymenothrix wrightii	Hymenothrix wrightii A. Gray	Hymenothrix	wrightii	A. Gray				1	1	0	1
1176	Dicot	Asteraceae	Hymenoxys acaulis var. arizonica	Hymenoxys acaulis	Hymenoxys acaulis (Pursh) K. Parker var. arizonica (Greene) K. Parker	Hymenoxys	acaulis	(Pursh) K. Parker	var.	arizonica	(Greene) K. Parker	1	1	1	1
1177	Dicot	Asteraceae	Hymenoxys cooperi	Hymenoxys cooperi	Hymenoxys cooperi (A. Gray) Cockerell	Hymenoxys	cooperi	(A. Gray) Cockerell				1	1	0	1
1178	Dicot	Asteraceae	Hymenoxys lemmonii	Hymenoxys lemmonii	Hymenoxys lemmonii (Greene) Cockerell	Hymenoxys	lemmonii	(Greene) Cockerell				1	1	0	1
1179	Dicot	Asteraceae	Hymenoxys odorata	Hymenoxys odorata	Hymenoxys odorata DC.	Hymenoxys	odorata	DC.				1	1	0	1
1180	Dicot	Asteraceae	Hypochaeris glabra	Hypochaeris glabra	Hypochaeris glabra L.	Hypochaeris	glabra	L.				1	1	0	1
1181	Dicot	Asteraceae	Hypochaeris radicata	Hypochaeris radicata	Hypochaeris radicata L.	Hypochaeris	radicata	L.				1	1	0	1
1182	Dicot	Asteraceae	Isocoma acradenia	Isocoma acradenia	Isocoma acradenia (Greene) Greene	Isocoma	acradenia	(Greene) Greene				1	0	0	1
1183	Dicot	Asteraceae	Isocoma acradenia var. acradenia	Isocoma acradenia	Isocoma acradenia (Greene) Greene var. acradenia	Isocoma	acradenia	(Greene) Greene	var.	acradenia		1	1	1	0
1184	Dicot	Asteraceae	Isocoma acradenia var. bracteosa	Isocoma acradenia	Isocoma acradenia (Greene) Greene var. bracteosa (Greene) G. Nesom	Isocoma	acradenia	(Greene) Greene	var.	bracteosa	(Greene) G. Nesom	1	1	1	0
1185	Dicot	Asteraceae	Isocoma acradenia var. eremophila	Isocoma acradenia	Isocoma acradenia (Greene) Greene var. eremophila (Greene) G. Nesom	Isocoma	acradenia	(Greene) Greene	var.	eremophila	(Greene) G. Nesom	1	1	1	0
1186	Dicot	Asteraceae	Isocoma arguta	Isocoma arguta	Isocoma arguta Greene	Isocoma	arguta	Greene				1	1	0	1
1187	Dicot	Asteraceae	Isocoma menziesii	Isocoma menziesii	Isocoma menziesii (Hook. & Arn.) G. Nesom	Isocoma	menziesii	(Hook. & Arn.) G. Nesom				1	0	0	1
1188	Dicot	Asteraceae	Isocoma menziesii var. menziesii	Isocoma menziesii	Isocoma menziesii (Hook. & Arn.) G. Nesom var. menziesii	Isocoma	menziesii	(Hook. & Arn.) G. Nesom	var.	menziesii		1	1	1	0
1189	Dicot	Asteraceae	Isocoma menziesii var. sedoides	Isocoma menziesii	Isocoma menziesii (Hook. & Arn.) G. Nesom var. sedoides (Greene) G. Nesom	Isocoma	menziesii	(Hook. & Arn.) G. Nesom	var.	sedoides	(Greene) G. Nesom	1	1	1	0
1190	Dicot	Asteraceae	Isocoma menziesii var. vernonioides	Isocoma menziesii	Isocoma menziesii (Hook. & Arn.) G. Nesom var. vernonioides (Nutt.) G. Nesom	Isocoma	menziesii	(Hook. & Arn.) G. Nesom	var.	vernonioides	(Nutt.) G. Nesom	1	1	1	0
1191	Dicot	Asteraceae	Iva acerosa	Iva acerosa	Iva acerosa (Nutt.) R.C. Jacks.	Iva	acerosa	(Nutt.) R.C. Jacks.				1	1	0	1
1192	Dicot	Asteraceae	Iva axillaris ssp. robustior	Iva axillaris	Iva axillaris Pursh ssp. robustior (Hook.) Bassett	Iva	axillaris	Pursh	ssp.	robustior	(Hook.) Bassett	1	1	1	1
1193	Dicot	Asteraceae	Iva hayesiana	Iva hayesiana	Iva hayesiana A. Gray	Iva	hayesiana	A. Gray				1	1	0	1
1194	Dicot	Asteraceae	Iva nevadensis	Iva nevadensis	Iva nevadensis M.E. Jones	Iva	nevadensis	M.E. Jones				1	1	0	1
1195	Dicot	Asteraceae	Jaumea carnosa	Jaumea carnosa	Jaumea carnosa (Less.) A. Gray	Jaumea	carnosa	(Less.) A. Gray				1	1	0	1
1196	Dicot	Asteraceae	Lactuca biennis	Lactuca biennis	Lactuca biennis (Moench) Fernald	Lactuca	biennis	(Moench) Fernald				1	1	0	1
1197	Dicot	Asteraceae	Lactuca canadensis	Lactuca canadensis	Lactuca canadensis L.	Lactuca	canadensis	L.				1	1	0	1
1198	Dicot	Asteraceae	Lactuca ludoviciana	Lactuca ludoviciana	Lactuca ludoviciana (Nutt.) DC.	Lactuca	ludoviciana	(Nutt.) DC.				1	1	0	1
1199	Dicot	Asteraceae	Lactuca saligna	Lactuca saligna	Lactuca saligna L.	Lactuca	saligna	L.				1	1	0	1
1200	Dicot	Asteraceae	Lactuca serriola	Lactuca serriola	Lactuca serriola L.	Lactuca	serriola	L.				1	1	0	1
1201	Dicot	Asteraceae	Lactuca tatarica ssp. pulchella	Lactuca tatarica	Lactuca tatarica (L.) C.A. Mey. ssp. pulchella (Pursh) Stebb.	Lactuca	tatarica	(L.) C.A. Mey.	ssp.	pulchella	(Pursh) Stebb.	1	1	1	1
1202	Dicot	Asteraceae	Lactuca virosa	Lactuca virosa	Lactuca virosa L.	Lactuca	virosa	L.				1	1	0	1
1203	Dicot	Asteraceae	Lagophylla dichotoma	Lagophylla dichotoma	Lagophylla dichotoma Benth.	Lagophylla	dichotoma	Benth.				1	1	0	1
1204	Dicot	Asteraceae	Lagophylla glandulosa	Lagophylla glandulosa	Lagophylla glandulosa A. Gray	Lagophylla	glandulosa	A. Gray				1	1	0	1
1205	Dicot	Asteraceae	Lagophylla minor	Lagophylla minor	Lagophylla minor (D.D. Keck) D.D. Keck	Lagophylla	minor	(D.D. Keck) D.D. Keck				1	1	0	1
1206	Dicot	Asteraceae	Lagophylla ramosissima	Lagophylla ramosissima	Lagophylla ramosissima Nutt.	Lagophylla	ramosissima	Nutt.				1	0	0	1
1207	Dicot	Asteraceae	Lagophylla ramosissima ssp. congesta	Lagophylla ramosissima	Lagophylla ramosissima Nutt. ssp. congesta (Greene) D.D. Keck	Lagophylla	ramosissima	Nutt.	ssp.	congesta	(Greene) D.D. Keck	1	1	1	0
1208	Dicot	Asteraceae	Lagophylla ramosissima ssp. ramosissima	Lagophylla ramosissima	Lagophylla ramosissima Nutt. ssp. ramosissima	Lagophylla	ramosissima	Nutt.	ssp.	ramosissima		1	1	1	0
1209	Dicot	Asteraceae	Lapsana communis	Lapsana communis	Lapsana communis L.	Lapsana	communis	L.				1	1	0	1
1210	Dicot	Asteraceae	Lasthenia burkei	Lasthenia burkei	Lasthenia burkei (Greene) Greene	Lasthenia	burkei	(Greene) Greene				1	1	0	1
1211	Dicot	Asteraceae	Lasthenia californica	Lasthenia californica	Lasthenia californica Lindl.	Lasthenia	californica	Lindl.				1	1	0	1
1212	Dicot	Asteraceae	Lasthenia chrysantha	Lasthenia chrysantha	Lasthenia chrysantha (A. Gray) Greene	Lasthenia	chrysantha	(A. Gray) Greene				1	1	0	1
1213	Dicot	Asteraceae	Lasthenia conjugens	Lasthenia conjugens	Lasthenia conjugens Greene	Lasthenia	conjugens	Greene				1	1	0	1
1214	Dicot	Asteraceae	Lasthenia coronaria	Lasthenia coronaria	Lasthenia coronaria (Nutt.) Ornd.	Lasthenia	coronaria	(Nutt.) Ornd.				1	1	0	1
1215	Dicot	Asteraceae	Lasthenia debilis	Lasthenia debilis	Lasthenia debilis (A. Gray) Ornd.	Lasthenia	debilis	(A. Gray) Ornd.				1	1	0	1
1216	Dicot	Asteraceae	Lasthenia ferrisiae	Lasthenia ferrisiae	Lasthenia ferrisiae Ornd.	Lasthenia	ferrisiae	Ornd.				1	1	0	1
1217	Dicot	Asteraceae	Lasthenia fremontii	Lasthenia fremontii	Lasthenia fremontii (A. Gray) Greene	Lasthenia	fremontii	(A. Gray) Greene				1	1	0	1
1218	Dicot	Asteraceae	Lasthenia glaberrima	Lasthenia glaberrima	Lasthenia glaberrima A.DC.	Lasthenia	glaberrima	A.DC.				1	1	0	1
1219	Dicot	Asteraceae	Lasthenia glabrata	Lasthenia glabrata	Lasthenia glabrata Lindl.	Lasthenia	glabrata	Lindl.				1	0	0	1
1220	Dicot	Asteraceae	Lasthenia glabrata ssp. coulteri	Lasthenia glabrata	Lasthenia glabrata Lindl. ssp. coulteri (A. Gray) Ornd.	Lasthenia	glabrata	Lindl.	ssp.	coulteri	(A. Gray) Ornd.	1	1	1	0
1221	Dicot	Asteraceae	Lasthenia glabrata ssp. glabrata	Lasthenia glabrata	Lasthenia glabrata Lindl. ssp. glabrata	Lasthenia	glabrata	Lindl.	ssp.	glabrata		1	1	1	0
1222	Dicot	Asteraceae	Lasthenia leptalea	Lasthenia leptalea	Lasthenia leptalea (A. Gray) Ornd.	Lasthenia	leptalea	(A. Gray) Ornd.				1	1	0	1
1223	Dicot	Asteraceae	Lasthenia macrantha	Lasthenia macrantha	Lasthenia macrantha (A. Gray) Greene	Lasthenia	macrantha	(A. Gray) Greene				1	0	0	1
1224	Dicot	Asteraceae	Lasthenia macrantha ssp. bakeri	Lasthenia macrantha	Lasthenia macrantha (A. Gray) Greene ssp. bakeri (J.T. Howell) Ornd.	Lasthenia	macrantha	(A. Gray) Greene	ssp.	bakeri	(J.T. Howell) Ornd.	1	1	1	0
1225	Dicot	Asteraceae	Lasthenia macrantha ssp. macrantha	Lasthenia macrantha	Lasthenia macrantha (A. Gray) Greene ssp. macrantha	Lasthenia	macrantha	(A. Gray) Greene	ssp.	macrantha		1	1	1	0
1226	Dicot	Asteraceae	Lasthenia maritima	Lasthenia maritima	Lasthenia maritima (A. Gray) M.C. Vasey	Lasthenia	maritima	(A. Gray) M.C. Vasey				1	1	0	1
1227	Dicot	Asteraceae	Lasthenia microglossa	Lasthenia microglossa	Lasthenia microglossa (A.DC.) Greene	Lasthenia	microglossa	(A.DC.) Greene				1	1	0	1
1228	Dicot	Asteraceae	Lasthenia minor	Lasthenia minor	Lasthenia minor (A.DC.) Ornd.	Lasthenia	minor	(A.DC.) Ornd.				1	1	0	1
1229	Dicot	Asteraceae	Lasthenia platycarpha	Lasthenia platycarpha	Lasthenia platycarpha (A. Gray) Greene	Lasthenia	platycarpha	(A. Gray) Greene				1	1	0	1
1230	Dicot	Asteraceae	Layia carnosa	Layia carnosa	Layia carnosa (Nutt.) Torrey & A. Gray	Layia	carnosa	(Nutt.) Torrey & A. Gray				1	1	0	1
1231	Dicot	Asteraceae	Layia chrysanthemoides	Layia chrysanthemoides	Layia chrysanthemoides (DC.) A. Gray	Layia	chrysanthemoides	(DC.) A. Gray				1	1	0	1
1232	Dicot	Asteraceae	Layia discoidea	Layia discoidea	Layia discoidea D.D. Keck	Layia	discoidea	D.D. Keck				1	1	0	1
1233	Dicot	Asteraceae	Layia fremontii	Layia fremontii	Layia fremontii (Torrey & A. Gray) A. Gray	Layia	fremontii	(Torrey & A. Gray) A. Gray				1	1	0	1
1234	Dicot	Asteraceae	Layia gaillardioides	Layia gaillardioides	Layia gaillardioides (Hook. & Arn.) DC.	Layia	gaillardioides	(Hook. & Arn.) DC.				1	1	0	1
1235	Dicot	Asteraceae	Layia glandulosa	Layia glandulosa	Layia glandulosa (Hook.) Hook. & Arn.	Layia	glandulosa	(Hook.) Hook. & Arn.				1	1	0	1
1236	Dicot	Asteraceae	Layia heterotricha	Layia heterotricha	Layia heterotricha (DC.) Hook. & Arn.	Layia	heterotricha	(DC.) Hook. & Arn.				1	1	0	1
1237	Dicot	Asteraceae	Layia hieracioides	Layia hieracioides	Layia hieracioides (DC.) Hook. & Arn.	Layia	hieracioides	(DC.) Hook. & Arn.				1	1	0	1
1238	Dicot	Asteraceae	Layia jonesii	Layia jonesii	Layia jonesii A. Gray	Layia	jonesii	A. Gray				1	1	0	1
1239	Dicot	Asteraceae	Layia leucopappa	Layia leucopappa	Layia leucopappa D.D. Keck	Layia	leucopappa	D.D. Keck				1	1	0	1
1240	Dicot	Asteraceae	Layia munzii	Layia munzii	Layia munzii D.D. Keck	Layia	munzii	D.D. Keck				1	1	0	1
1241	Dicot	Asteraceae	Layia pentachaeta	Layia pentachaeta	Layia pentachaeta A. Gray	Layia	pentachaeta	A. Gray				1	0	0	1
1242	Dicot	Asteraceae	Layia pentachaeta ssp. albida	Layia pentachaeta	Layia pentachaeta A. Gray ssp. albida D.D. Keck	Layia	pentachaeta	A. Gray	ssp.	albida	D.D. Keck	1	1	1	0
1243	Dicot	Asteraceae	Layia pentachaeta ssp. pentachaeta	Layia pentachaeta	Layia pentachaeta A. Gray ssp. pentachaeta	Layia	pentachaeta	A. Gray	ssp.	pentachaeta		1	1	1	0
1244	Dicot	Asteraceae	Layia platyglossa	Layia platyglossa	Layia platyglossa (Fisch. & C.A. Mey.) A. Gray	Layia	platyglossa	(Fisch. & C.A. Mey.) A. Gray				1	1	0	1
1245	Dicot	Asteraceae	Layia septentrionalis	Layia septentrionalis	Layia septentrionalis D.D. Keck	Layia	septentrionalis	D.D. Keck				1	1	0	1
1246	Dicot	Asteraceae	Lembertia congdonii	Lembertia congdonii	Lembertia congdonii (A. Gray) Greene	Lembertia	congdonii	(A. Gray) Greene				1	1	0	1
1247	Dicot	Asteraceae	Leontodon taraxacoides	Leontodon taraxacoides	Leontodon taraxacoides (Villars) Mérat	Leontodon	taraxacoides	(Villars) Mérat 				1	0	0	1
1248	Dicot	Asteraceae	Leontodon taraxacoides ssp. longirostris	Leontodon taraxacoides	Leontodon taraxacoides (Villars) Mérat ssp. longirostris Finch & Sell	Leontodon	taraxacoides	(Villars) Mérat	ssp.	longirostris	Finch & Sell 	1	1	1	0
1249	Dicot	Asteraceae	Leontodon taraxacoides ssp. taraxacoides	Leontodon taraxacoides	Leontodon taraxacoides (Villars) Mérat ssp. taraxacoides	Leontodon	taraxacoides	(Villars) Mérat	ssp.	taraxacoides		1	1	1	0
1250	Dicot	Asteraceae	Lepidospartum latisquamum	Lepidospartum latisquamum	Lepidospartum latisquamum S. Watson	Lepidospartum	latisquamum	S. Watson				1	1	0	1
1251	Dicot	Asteraceae	Lepidospartum squamatum	Lepidospartum squamatum	Lepidospartum squamatum (A. Gray) A. Gray	Lepidospartum	squamatum	(A. Gray) A. Gray				1	1	0	1
1252	Dicot	Asteraceae	Lessingia arachnoidea	Lessingia arachnoidea	Lessingia arachnoidea Greene	Lessingia	arachnoidea	Greene				1	1	0	1
1253	Dicot	Asteraceae	Lessingia filaginifolia	Lessingia filaginifolia	Lessingia filaginifolia (Hook. & Arn.) M.A. Lane	Lessingia	filaginifolia	(Hook. & Arn.) M.A. Lane				1	0	0	1
1254	Dicot	Asteraceae	Lessingia filaginifolia var. californica	Lessingia filaginifolia	Lessingia filaginifolia (Hook. & Arn.) M.A. Lane var. californica (DC.) M.A. Lane	Lessingia	filaginifolia	(Hook. & Arn.) M.A. Lane	var.	californica	(DC.) M.A. Lane	1	1	1	0
1255	Dicot	Asteraceae	Lessingia filaginifolia var. filaginifolia	Lessingia filaginifolia	Lessingia filaginifolia (Hook. & Arn.) M.A. Lane var. filaginifolia	Lessingia	filaginifolia	(Hook. & Arn.) M.A. Lane	var.	filaginifolia		1	1	1	0
1256	Dicot	Asteraceae	Lessingia germanorum	Lessingia germanorum	Lessingia germanorum Cham.	Lessingia	germanorum	Cham.				1	1	0	1
1257	Dicot	Asteraceae	Lessingia glandulifera	Lessingia glandulifera	Lessingia glandulifera A. Gray	Lessingia	glandulifera	A. Gray				1	0	0	1
1258	Dicot	Asteraceae	Lessingia glandulifera var. glandulifera	Lessingia glandulifera	Lessingia glandulifera A. Gray var. glandulifera	Lessingia	glandulifera	A. Gray	var.	glandulifera		1	1	1	0
1259	Dicot	Asteraceae	Lessingia glandulifera var. pectinata	Lessingia glandulifera	Lessingia glandulifera A. Gray var. pectinata (Greene) Jeps.	Lessingia	glandulifera	A. Gray	var.	pectinata	(Greene) Jeps.	1	1	1	0
1260	Dicot	Asteraceae	Lessingia glandulifera var. tomentosa	Lessingia glandulifera	Lessingia glandulifera A. Gray var. tomentosa (Greene) Ferris	Lessingia	glandulifera	A. Gray	var.	tomentosa	(Greene) Ferris	1	1	1	0
1261	Dicot	Asteraceae	Lessingia hololeuca	Lessingia hololeuca	Lessingia hololeuca Greene	Lessingia	hololeuca	Greene				1	1	0	1
1262	Dicot	Asteraceae	Lessingia lemmonii	Lessingia lemmonii	Lessingia lemmonii A. Gray	Lessingia	lemmonii	A. Gray				1	0	0	1
1263	Dicot	Asteraceae	Lessingia lemmonii var. lemmonii	Lessingia lemmonii	Lessingia lemmonii A. Gray var. lemmonii	Lessingia	lemmonii	A. Gray	var.	lemmonii		1	1	1	0
1264	Dicot	Asteraceae	Lessingia lemmonii var. peirsonii	Lessingia lemmonii	Lessingia lemmonii A. Gray var. peirsonii (J.T. Howell) Ferris	Lessingia	lemmonii	A. Gray	var.	peirsonii	(J.T. Howell) Ferris	1	1	1	0
1265	Dicot	Asteraceae	Lessingia lemmonii var. ramulosissima	Lessingia lemmonii	Lessingia lemmonii A. Gray var. ramulosissima (Nelson) Ferris	Lessingia	lemmonii	A. Gray	var.	ramulosissima	(Nelson) Ferris	1	1	1	0
1266	Dicot	Asteraceae	Lessingia leptoclada	Lessingia leptoclada	Lessingia leptoclada A. Gray	Lessingia	leptoclada	A. Gray				1	1	0	1
1267	Dicot	Asteraceae	Lessingia micradenia	Lessingia micradenia	Lessingia micradenia Greene	Lessingia	micradenia	Greene				1	0	0	1
1268	Dicot	Asteraceae	Lessingia micradenia var. glabrata	Lessingia micradenia	Lessingia micradenia Greene var. glabrata (D.D. Keck) Ferris	Lessingia	micradenia	Greene	var.	glabrata	(D.D. Keck) Ferris	1	1	1	0
1269	Dicot	Asteraceae	Lessingia micradenia var. micradenia	Lessingia micradenia	Lessingia micradenia Greene var. micradenia	Lessingia	micradenia	Greene	var.	micradenia		1	1	1	0
1270	Dicot	Asteraceae	Lessingia nana	Lessingia nana	Lessingia nana A. Gray	Lessingia	nana	A. Gray				1	1	0	1
1271	Dicot	Asteraceae	Lessingia nemaclada	Lessingia nemaclada	Lessingia nemaclada Greene	Lessingia	nemaclada	Greene				1	1	0	1
1272	Dicot	Asteraceae	Lessingia occidentalis	Lessingia occidentalis	Lessingia occidentalis (H.M. Hall) M.A. Lane	Lessingia	occidentalis	(H.M. Hall) M.A. Lane				1	1	0	1
1273	Dicot	Asteraceae	Lessingia ramulosa	Lessingia ramulosa	Lessingia ramulosa A. Gray	Lessingia	ramulosa	A. Gray				1	1	0	1
1274	Dicot	Asteraceae	Lessingia tenuis	Lessingia tenuis	Lessingia tenuis (A. Gray) Coville	Lessingia	tenuis	(A. Gray) Coville				1	1	0	1
1275	Dicot	Asteraceae	Lessingia virgata	Lessingia virgata	Lessingia virgata A. Gray	Lessingia	virgata	A. Gray				1	1	0	1
1276	Dicot	Asteraceae	Leucanthemum maximum	Leucanthemum maximum	Leucanthemum maximum (Ramond) DC.	Leucanthemum	maximum	(Ramond) DC.				1	1	0	1
1277	Dicot	Asteraceae	Leucanthemum vulgare	Leucanthemum vulgare	Leucanthemum vulgare Lam.	Leucanthemum	vulgare	Lam.				1	1	0	1
1278	Dicot	Asteraceae	Luina hypoleuca	Luina hypoleuca	Luina hypoleuca Benth.	Luina	hypoleuca	Benth.				1	1	0	1
1279	Dicot	Asteraceae	Machaeranthera arida	Machaeranthera arida	Machaeranthera arida B.L. Turner & D.B. Horne	Machaeranthera	arida	B.L. Turner & D.B. Horne				1	1	0	1
1280	Dicot	Asteraceae	Machaeranthera asteroides	Machaeranthera asteroides	Machaeranthera asteroides (Torrey) Greene	Machaeranthera	asteroides	(Torrey) Greene				1	0	0	1
1281	Dicot	Asteraceae	Machaeranthera asteroides var. asteroides	Machaeranthera asteroides	Machaeranthera asteroides (Torrey) Greene var. asteroides	Machaeranthera	asteroides	(Torrey) Greene	var.	asteroides		1	1	1	0
1282	Dicot	Asteraceae	Machaeranthera asteroides var. lagunensis	Machaeranthera asteroides	Machaeranthera asteroides (Torrey) Greene var. lagunensis (D.D. Keck) B.L. Turner	Machaeranthera	asteroides	(Torrey) Greene	var.	lagunensis	(D.D. Keck) B.L. Turner	1	1	1	0
