id	group	family	taxon	binomial	taxon.auth	genus	species	speciesAuth	intraRank	intraName	intraAuth	tjm1.valid	mrt	intra_rank	species_rank_or_only_subsp_in_CA
34	Fern	Equisetaceae	Equisetum telmateia ssp. braunii	Equisetum telmateia	Equisetum telmateia Ehrh. ssp. braunii (Milde) Hauke	Equisetum	telmateia	Ehrh.	ssp.	braunii	(Milde) Hauke	1	1	1	1
35	Fern	Isoetaceae	Isoetes bolanderi	Isoetes bolanderi	Isoetes bolanderi Engelm.	Isoetes	bolanderi	Engelm.				1	1	0	1
36	Fern	Isoetaceae	Isoetes echinospora	Isoetes echinospora	Isoetes echinospora Durieu	Isoetes	echinospora	Durieu				1	1	0	1
37	Fern	Isoetaceae	Isoetes howellii	Isoetes howellii	Isoetes howellii Engelm.	Isoetes	howellii	Engelm.				1	1	0	1
38	Fern	Isoetaceae	Isoetes nuttallii	Isoetes nuttallii	Isoetes nuttallii Engelm.	Isoetes	nuttallii	Engelm.				1	1	0	1
39	Fern	Isoetaceae	Isoetes occidentalis	Isoetes occidentalis	Isoetes occidentalis L.F. Hend.	Isoetes	occidentalis	L.F. Hend.				1	1	0	1
40	Fern	Isoetaceae	Isoetes orcuttii	Isoetes orcuttii	Isoetes orcuttii A.A. Eaton	Isoetes	orcuttii	A.A. Eaton				1	1	0	1
41	Fern	Lycopodiaceae	Lycopodiella inundata	Lycopodiella inundata	Lycopodiella inundata (L.) Holub	Lycopodiella	inundata	(L.) Holub				1	1	0	1
42	Fern	Lycopodiaceae	Lycopodium clavatum	Lycopodium clavatum	Lycopodium clavatum L.	Lycopodium	clavatum	L.				1	1	0	1
43	Fern	Marsileaceae	Marsilea oligospora	Marsilea oligospora	Marsilea oligospora Goodd.	Marsilea	oligospora	Goodd.				1	1	0	1
44	Fern	Marsileaceae	Marsilea vestita ssp. vestita	Marsilea vestita	Marsilea vestita Hook. & Grev. ssp. vestita	Marsilea	vestita	Hook. & Grev.	ssp.	vestita		1	1	1	1
45	Fern	Marsileaceae	Pilularia americana	Pilularia americana	Pilularia americana A. Braun	Pilularia	americana	A. Braun				1	1	0	1
46	Fern	Ophioglossaceae	Botrychium ascendens	Botrychium ascendens	Botrychium ascendens W.H. Wagner	Botrychium	ascendens	W.H. Wagner				1	1	0	1
47	Fern	Ophioglossaceae	Botrychium crenulatum	Botrychium crenulatum	Botrychium crenulatum W.H. Wagner	Botrychium	crenulatum	W.H. Wagner				1	1	0	1
48	Fern	Ophioglossaceae	Botrychium lunaria	Botrychium lunaria	Botrychium lunaria (L.) Sw.	Botrychium	lunaria	(L.) Sw.				1	1	0	1
49	Fern	Ophioglossaceae	Botrychium minganense	Botrychium minganense	Botrychium minganense Victorin	Botrychium	minganense	Victorin				1	1	0	1
50	Fern	Ophioglossaceae	Botrychium montanum	Botrychium montanum	Botrychium montanum W.H. Wagner	Botrychium	montanum	W.H. Wagner				1	1	0	1
